"","data_mes","mutuario_cat","valor_mes","qde","valor_acum"
"78",2019-07-01,"Estado do Rio de Janeiro",113813958.24,10,12348675773.59
"79",2019-08-01,"Demais entes",469523962.96,19,4024713971.98
"80",2019-08-01,"Estado do Rio de Janeiro",168751014.42,12,12517426788.01
"81",2019-09-01,"Demais entes",174987955.52,14,4199701927.5
"82",2019-09-01,"Estado do Rio de Janeiro",245626506.19,12,12763053294.2
"83",2019-10-01,"Demais entes",316950129.77,18,4516652057.27
"84",2019-10-01,"Estado do Rio de Janeiro",376986839.72,16,13140040133.92
"85",2019-11-01,"Demais entes",158351409.58,19,4675003466.85
"86",2019-11-01,"Estado do Rio de Janeiro",601517018.99,16,13741557152.91
"87",2019-12-01,"Demais entes",651995822.67,16,5326999289.52
"88",2019-12-01,"Estado do Rio de Janeiro",545705136.16,12,14287262289.07
