Relatório de Estoque de Garantias;;;;;;;;;;;;;;;;;;;;;;;;;
Data de Emissão: 15/01/2020 09:58;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Dívida: Interna - Externa;;;;;;;;;;;;;;;;;;;;;;;;;
Selecionar mutuário(s) por: Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Credor(es): Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Selecionar operação de crédito por: Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Cálculo: Apropriação;;;;;;;;;;;;;;;;;;;;;;;;;
Posição: Diário;;;;;;;;;;;;;;;;;;;;;;;;;
Data de Referência: 31/12/2019;;;;;;;;;;;;;;;;;;;;;;;;;
Detalhamento: Por tranche;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Nome do Contrato;CADIP/ROF;Inscrição Genérica;Tipo de Dívida;Mutuário;Tipo Mutuário;UF;Região;Agrupador de Tipo Mutuário;CAPAG;Credor;Classificação de Credor;Contragarantia;Moeda;Indexador;Tipo de Indexador de Juros;Indexador de Juros;Saldo Principal (Moeda de Origem);Saldo Juros (Moeda de Origem);Saldo Estoque (Moeda de Origem);Saldo Principal (USD);Saldo Juros (USD);Saldo Estoque (USD);Saldo Principal (BRL);Saldo Juros (BRL);Saldo Estoque (BRL)
AFD CBR 1045;TA612684;12241;Externa;CEEE-D-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,70%;12.375.350,04;148.641,70;12.523.991,74;12.375.350,04;148.641,70;12.523.991,74;49.881.323,41;599.130,10;50.480.453,51
AFD CBR 1045;TA612684;12241;Externa;CEEE-D-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,81%;11.412.377,42;140.283,48;11.552.660,90;11.412.377,42;140.283,48;11.552.660,90;45.999.869,67;565.440,62;46.565.310,29
AFD CBR 1045;TA612684;12241;Externa;CEEE-D-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,02%;20.725.587,72;212.920,87;20.938.508,59;20.725.587,72;212.920,87;20.938.508,59;83.538.626,42;858.220,15;84.396.846,57
AFD CBR 1045;TA612684;12241;Externa;CEEE-D-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,33%;23.721.918,90;262.496,21;23.984.415,11;23.721.918,90;262.496,21;23.984.415,11;95.615.938,51;1.058.043,47;96.673.981,98
AFD CBR 1046;TA630381;12247;Externa;Minas Gerais;Estados;MG;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;3,21%;260.000.000,00;649.133,33;260.649.133,33;292.240.000,00;729.625,86;292.969.625,86;1.177.931.768,00;2.940.902,97;1.180.872.670,97
AFD CBR 1049;AFD01049;12251;Externa;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;2,60%;96.666.666,67;537.574,07;97.204.240,74;108.653.333,34;604.233,25;109.257.566,59;437.948.990,68;2.435.482,98;440.384.473,66
AFD CBR 1049;AFD01049;12251;Externa;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;3,10%;96.666.666,67;640.953,70;97.307.620,37;108.653.333,34;720.431,96;109.373.765,30;437.948.990,68;2.903.845,10;440.852.835,78
AFD CBR 1049;AFD01049;12251;Externa;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;2,31%;19.333.333,33;95.522,78;19.428.856,11;21.730.666,66;107.367,60;21.838.034,27;87.589.798,12;432.766,60;88.022.564,72
AFD CBR 1049;AFD01049;12251;Externa;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;2,27%;29.000.000,00;140.803,06;29.140.803,06;32.596.000,00;158.262,64;32.754.262,64;131.384.697,20;637.909,22;132.022.606,42
AFD CBR 1049;AFD01049;12251;Externa;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;2,38%;48.333.333,33;246.043,52;48.579.376,85;54.326.666,66;276.552,92;54.603.219,58;218.974.495,32;1.114.701,84;220.089.197,16
AFD CBR 3005;AFD30005;12231;Externa;Curitiba;Municípios;PR;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;1,06%;28.920.000,00;52.795,07;28.972.795,07;32.506.080,00;59.341,66;32.565.421,66;131.022.256,66;239.188,42;131.261.445,08
BANK OF AMERICA-MA/2013;BOFAMA13;12203;Externa;Maranhão;Estados;MA;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;C;BOFA;Credores Privados;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;USD;;Pré-fixado;5,48%;371.600.292,63;8.932.507,19;380.532.799,82;371.600.292,63;8.932.507,19;380.532.799,82;1.497.809.299,50;36.004.256,73;1.533.813.556,23
BANK OF AMERICA-SC/2012;SClinha1;12202;Externa;Santa Catarina;Estados;SC;Sul;Garantias a Estados, Municípios e Entidades Controladas;C;BOFA;Credores Privados;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;USD;;Pré-fixado;4%;322.512.182,00;143.338,75;322.655.520,75;322.512.182,00;143.338,75;322.655.520,75;1.299.949.851,99;577.755,50;1.300.527.607,49
BB - 2012735;2012000998;12465;Interna;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 3,85%;5.269.467.106,27;12.954.106,64;5.282.421.212,91;1.307.332.995,82;3.213.860,28;1.310.546.856,11;5.269.467.106,27;12.954.106,64;5.282.421.212,91
BB - 2012769;2012001828;12464;Interna;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;706.303.897,95;1.902.802,86;708.206.700,81;175.231.075,98;472.077,52;175.703.153,50;706.303.897,95;1.902.802,86;708.206.700,81
BB - 2012772;2018000203;12468;Interna;Acre;Estados;AC;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;60.161.925,51;1.673.291,52;61.835.217,03;14.925.924,90;415.136,71;15.341.061,61;60.161.925,51;1.673.291,52;61.835.217,03
BB - 2012784;2012001845;12448;Interna;Tocantins;Estados;TO;Norte;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;418.173.745,41;1.126.572,41;419.300.317,82;103.747.176,77;279.497,96;104.026.674,73;418.173.745,41;1.126.572,41;419.300.317,82
BB - 2012786;2018000204;12471;Interna;Rio Grande do Sul;Estados;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;D;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;683.687.531,89;19.015.490,96;702.703.022,85;169.620.049,10;4.717.664,66;174.337.713,76;683.687.531,89;19.015.490,96;702.703.022,85
BB - 2012790;2013000008;12463;Interna;Minas Gerais;Estados;MG;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 3,6%;5.783.815.333,70;9.985.114,53;5.793.800.448,23;1.434.940.663,83;2.477.265,62;1.437.417.929,45;5.783.815.333,70;9.985.114,53;5.793.800.448,23
BB - 2012796;2018000199;12441;Interna;Ceará;Estados;CE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;732.724.190,11;20.379.353,96;753.103.544,07;181.785.841,20;5.056.033,43;186.841.874,63;732.724.190,11;20.379.353,96;753.103.544,07
BB - 2012800;2013000009;12440;Interna;Amazonas;Estados;AM;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;410.625.821,90;1.106.238,08;411.732.059,98;101.874.568,16;274.453,09;102.149.021,26;410.625.821,90;1.106.238,08;411.732.059,98
BB - 2012802;2013000011;12437;Interna;Mato Grosso;Estados;MT;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 3,8%;264.138.090,29;987.587,88;265.125.678,17;65.531.567,79;245.016,47;65.776.584,26;264.138.090,29;987.587,88;265.125.678,17
BB - 2012802;2013000012;12437;Interna;Mato Grosso;Estados;MT;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 3,8%;256.422.419,53;958.739,70;257.381.159,23;63.617.341,78;237.859,35;63.855.201,14;256.422.419,53;958.739,70;257.381.159,23
BB - 2012802;2013000010;12437;Interna;Mato Grosso;Estados;MT;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 3,8%;166.904.172,82;624.039,26;167.528.212,08;41.408.235,00;154.821,56;41.563.056,56;166.904.172,82;624.039,26;167.528.212,08
BB - 2012805;2018000206;12439;Interna;Mato Grosso;Estados;MT;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;400.678.012,59;11.144.110,10;411.822.122,69;99.406.557,82;2.764.807,63;102.171.365,44;400.678.012,59;11.144.110,10;411.822.122,69
BB - 2012810;2012001840;12456;Interna;Roraima;Estados;RR;Norte;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;276.067.138,22;743.733,01;276.810.871,23;68.491.115,25;184.517,08;68.675.632,33;276.067.138,22;743.733,01;276.810.871,23
BB - 2012820;2013000017;12438;Interna;Rondônia;Estados;RO;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;286.630.238,78;772.190,32;287.402.429,10;71.111.776,81;191.577,22;71.303.354,03;286.630.238,78;772.190,32;287.402.429,10
BB - 2013836;2013000109;12443;Interna;Rio Grande do Norte;Estados;RN;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;258.873.251,03;697.411,94;259.570.662,97;64.225.382,94;173.025,02;64.398.407,96;258.873.251,03;697.411,94;259.570.662,97
BB - 2013850;2013000326;12431;Interna;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 3,73%;4.351.742.220,00;37.671.620,86;4.389.413.840,86;1.079.649.247,03;9.346.173,33;1.088.995.420,36;4.351.742.220,00;37.671.620,86;4.389.413.840,86
BB - 2013877;2013000486;12470;Interna;Santa Catarina;Estados;SC;Sul;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 3,75%;1.314.500.968,63;36.066.418,67;1.350.567.387,30;326.122.253,86;8.947.929,31;335.070.183,17;1.314.500.968,63;36.066.418,67;1.350.567.387,30
