Relatório de Composição de Garantias;;;
Data de Emissão: 15/01/2020 11:01;;;
Tipo de Dívida: Interna - Externa;;;
Selecionar mutuário(s) por: Não Informado;;;
Credor(es): Não Informado;;;
Selecionar operação de crédito por: Não Informado;;;
Tipo de Cálculo: Apropriação;;;
Posição: Diário;;;
Data de Referência: 31/12/2019;;;
Tipo de Composição: Tipo de Mutuário;;;
;;;
Agrupador;Financeiro (R$);Percentual do Agrupador;Percentual da Garantia Total
Contagem;0;0%;0%
Jacareí;0;0%;0%
Bom Jesus;0;0%;0%
Cotiporã;0;0%;0%
Alto Feliz;0;0%;0%
Campinas das Missões;0;0%;0%
Vila Velha;0;0%;0%
Schroeder;0;0%;0%
João Pessoa;0;0%;0%
Itá;0;0%;0%
Bancos Federais;17.667.782.526,50;100%;6,90%
BNDES;11.809.102.147,31;66,84%;4,61%
CAIXA;5.293.105.608,46;29,96%;2,07%
Banco do Nordeste;428.520.032,87;2,43%;0,17%
Banco do Brasil;137.054.737,85;0,78%;0,05%
Estatais Federais;10.533.419.305,09;100%;4,12%
ELETROBRÁS;3.717.608.532,51;35,29%;1,45%
FINEP;3.259.815.961,14;30,95%;1,27%
ELETRONUCLEAR;3.190.860.758,94;30,29%;1,25%
Furnas Centrais Elétricas;365.134.052,50;3,47%;0,14%
Entidades Estaduais Controladas;7.745.530.366,87;100%;3,03%
SABESP-SP;4.761.522.308,62;61,47%;1,86%
CEEE-D-RS;764.971.426,83;9,88%;0,30%
CEEE-GT-RS;524.976.540,37;6,78%;0,21%
CAESB-DF;478.305.481,32;6,18%;0,19%
CELESC-SC;467.792.069,55;6,04%;0,18%
CAGECE-CE;206.768.878,46;2,67%;0,08%
COPASA-MG;201.355.857,58;2,60%;0,08%
CASAN-SC;157.602.593,51;2,03%;0,06%
DAEE-SP;99.117.338,18;1,28%;0,04%
SANEAGO-GO;83.117.872,45;1,07%;0,03%
