;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa
Agrupador;Total (R$);Total (%);IPCA (R$);IPCA (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Cambial (R$);Cambial (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);220 - USD (R$);220 - USD (%);IPCA (R$);IPCA (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);USD (R$);USD (%);EUR (R$);EUR (%);JPY (R$);JPY (%);Demais (R$);Demais (%)
Santa Catarina;10.549.128.445,37;3,46%;0;0,00%;0;0,00%;3.655.534.730,47;1,20%;0;0,00%;5.014.359.872,99;1,65%;1.879.233.841,91;0,62%;7.214.670.678,26;6,32%;1.679.902.105,88;1,47%;0;0,00%;0;0,00%;3.655.534.730,47;3,20%;0;0,00%;1.879.233.841,91;1,65%;3.334.457.767,11;1,75%;3.334.457.767,11;1,75%;0;0,00%;0;0,00%;0;0,00%
Goiás;9.198.333.637,49;3,02%;0;0,00%;0;0,00%;4.458.947.460,59;1,46%;0;0,00%;2.880.854.544,36;0,95%;1.858.531.632,54;0,61%;9.150.102.334,99;8,02%;2.832.623.241,86;2,48%;0;0,00%;0;0,00%;4.458.947.460,59;3,91%;0;0,00%;1.858.531.632,54;1,63%;48.231.302,50;0,03%;48.231.302,50;0,03%;0;0,00%;0;0,00%;0;0,00%
Amazonas;6.884.261.613,75;2,26%;0;0,00%;0;0,00%;404.563.943,21;0,13%;0;0,00%;4.948.497.908,07;1,62%;1.531.199.762,47;0,50%;1.935.763.705,68;1,70%;0;0,00%;0;0,00%;0;0,00%;404.563.943,21;0,35%;0;0,00%;1.531.199.762,47;1,34%;4.948.497.908,07;2,59%;4.948.497.908,07;2,59%;0;0,00%;0;0,00%;0;0,00%
Espírito Santo;5.337.767.859,63;1,75%;0;0,00%;0;0,00%;3.109.997.198,67;1,02%;750.900.614,26;0,25%;1.476.870.046,70;0,48%;0;0,00%;3.860.897.812,93;3,38%;0;0,00%;0;0,00%;0;0,00%;3.109.997.198,67;2,73%;750.900.614,26;0,66%;0;0,00%;1.476.870.046,70;0,77%;1.476.870.046,70;0,77%;0;0,00%;0;0,00%;0;0,00%
Paraná;5.011.803.286,14;1,64%;0;0,00%;0;0,00%;1.008.534.523,12;0,33%;0;0,00%;3.203.268.763,02;1,05%;800.000.000,00;0,26%;1.808.534.523,12;1,59%;0;0,00%;0;0,00%;0;0,00%;1.008.534.523,12;0,88%;0;0,00%;800.000.000,00;0,70%;3.203.268.763,02;1,68%;3.076.721.926,78;1,61%;0;0,00%;126.546.836,25;0,07%;0;0,00%
Piauí;4.918.886.359,01;1,61%;0;0,00%;0;0,00%;645.253.978,01;0,21%;0;0,00%;4.016.838.025,68;1,32%;256.794.355,32;0,08%;1.850.156.238,77;1,62%;948.107.905,44;0,83%;0;0,00%;0;0,00%;645.253.978,01;0,57%;0;0,00%;256.794.355,32;0,23%;3.068.730.120,24;1,61%;2.999.380.050,41;1,57%;0;0,00%;0;0,00%;69.350.069,83;0,04%
Maranhão;4.869.318.452,30;1,60%;0;0,00%;0;0,00%;3.032.322.953,42;0,99%;0;0,00%;1.435.623.968,58;0,47%;401.371.530,30;0,13%;3.433.694.483,72;3,01%;0;0,00%;0;0,00%;0;0,00%;3.032.322.953,42;2,66%;0;0,00%;401.371.530,30;0,35%;1.435.623.968,58;0,75%;1.435.623.968,58;0,75%;0;0,00%;0;0,00%;0;0,00%
Pará;3.219.789.156,85;1,06%;0;0,00%;0;0,00%;689.269.395,29;0,23%;0;0,00%;1.808.003.705,26;0,59%;722.516.056,30;0,24%;1.411.785.451,59;1,24%;0;0,00%;0;0,00%;0;0,00%;689.269.395,29;0,60%;0;0,00%;722.516.056,30;0,63%;1.808.003.705,26;0,95%;1.549.875.215,97;0,81%;0;0,00%;258.128.489,30;0,14%;0;0,00%
Alagoas;3.136.355.173,41;1,03%;0;0,00%;0;0,00%;614.867.644,56;0,20%;0;0,00%;2.015.533.894,76;0,66%;505.953.634,09;0,17%;1.120.821.278,65;0,98%;0;0,00%;0;0,00%;0;0,00%;614.867.644,56;0,54%;0;0,00%;505.953.634,09;0,44%;2.015.533.894,76;1,06%;2.015.533.894,76;1,06%;0;0,00%;0;0,00%;0;0,00%
Mato Grosso;3.026.149.050,43;0,99%;0;0,00%;0;0,00%;1.224.287.190,78;0,40%;0;0,00%;1.298.360.450,88;0,43%;503.501.408,77;0,17%;1.727.788.599,55;1,51%;0;0,00%;0;0,00%;0;0,00%;1.224.287.190,78;1,07%;0;0,00%;503.501.408,77;0,44%;1.298.360.450,88;0,68%;1.298.360.450,88;0,68%;0;0,00%;0;0,00%;0;0,00%
