;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa
Agrupador;Total (R$);Total (%);IPCA (R$);IPCA (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Cambial (R$);Cambial (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);220 - USD (R$);220 - USD (%);IPCA (R$);IPCA (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);USD (R$);USD (%);EUR (R$);EUR (%);JPY (R$);JPY (%);Demais (R$);Demais (%)
Ribeirão Preto;165.172.571,66;0,05%;0;0,00%;0;0,00%;19.682.275,65;0,01%;145.490.296,01;0,05%;0;0,00%;0;0,00%;165.172.571,66;0,14%;0;0,00%;0;0,00%;0;0,00%;19.682.275,65;0,02%;145.490.296,01;0,13%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Canoas;165.109.999,92;0,05%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;165.109.999,92;0,05%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;165.109.999,92;0,09%;165.109.999,92;0,09%;0;0,00%;0;0,00%;0;0,00%
Cascavel;164.510.017,61;0,05%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;136.510.017,61;0,04%;28.000.000,00;0,01%;28.000.000,00;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;28.000.000,00;0,02%;136.510.017,61;0,07%;136.510.017,61;0,07%;0;0,00%;0;0,00%;0;0,00%
Camaçari;161.389.612,99;0,05%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;161.389.612,99;0,05%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;161.389.612,99;0,08%;161.389.612,99;0,08%;0;0,00%;0;0,00%;0;0,00%
São Luís;158.490.013,14;0,05%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;158.490.013,14;0,05%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;158.490.013,14;0,08%;158.490.013,14;0,08%;0;0,00%;0;0,00%;0;0,00%
Hortolândia;152.413.623,98;0,05%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;152.413.623,98;0,05%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;152.413.623,98;0,08%;152.413.623,98;0,08%;0;0,00%;0;0,00%;0;0,00%
Corumbá;141.161.116,60;0,05%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;141.161.116,60;0,05%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;141.161.116,60;0,07%;141.161.116,60;0,07%;0;0,00%;0;0,00%;0;0,00%
Vitória;125.154.431,70;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;125.154.431,70;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;125.154.431,70;0,07%;125.154.431,70;0,07%;0;0,00%;0;0,00%;0;0,00%
Aparecida de Goiânia;124.688.070,16;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;124.688.070,16;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;124.688.070,16;0,07%;124.688.070,16;0,07%;0;0,00%;0;0,00%;0;0,00%
Serra;121.532.750,30;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;121.532.750,30;0,04%;121.532.750,30;0,11%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;121.532.750,30;0,11%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Maceió;106.225.914,10;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;106.225.914,10;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;106.225.914,10;0,06%;106.225.914,10;0,06%;0;0,00%;0;0,00%;0;0,00%
Aracaju;103.073.604,94;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;103.073.604,94;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;103.073.604,94;0,05%;103.073.604,94;0,05%;0;0,00%;0;0,00%;0;0,00%
Novo Hamburgo;95.846.222,07;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;95.846.222,07;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;95.846.222,07;0,05%;95.846.222,07;0,05%;0;0,00%;0;0,00%;0;0,00%
Itajaí;92.429.357,79;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;92.429.357,79;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;92.429.357,79;0,05%;92.429.357,79;0,05%;0;0,00%;0;0,00%;0;0,00%
Santos;90.769.498,48;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;90.769.498,48;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;90.769.498,48;0,05%;90.769.498,48;0,05%;0;0,00%;0;0,00%;0;0,00%
Parauapebas;83.421.557,73;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;83.421.557,73;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;83.421.557,73;0,04%;83.421.557,73;0,04%;0;0,00%;0;0,00%;0;0,00%
Santo André;82.113.068,58;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;79.288.642,58;0,03%;2.824.426,00;0,00%;2.824.426,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.824.426,00;0,00%;79.288.642,58;0,04%;79.288.642,58;0,04%;0;0,00%;0;0,00%;0;0,00%
Linhares;81.681.485,60;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;81.681.485,60;0,03%;81.681.485,60;0,07%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;81.681.485,60;0,07%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Palmas;80.049.454,55;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;80.049.454,55;0,03%;0;0%;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0%;80.049.454,55;0,04%;80.049.454,55;0,04%;0;0,00%;0;0,00%;0;0,00%
Sobral;77.762.224,14;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;77.762.224,14;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;77.762.224,14;0,04%;77.762.224,14;0,04%;0;0,00%;0;0,00%;0;0,00%
Paranaguá;73.959.403,74;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;58.959.403,74;0,02%;15.000.000,00;0,00%;15.000.000,00;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;15.000.000,00;0,01%;58.959.403,74;0,03%;58.959.403,74;0,03%;0;0,00%;0;0,00%;0;0,00%
Toledo;71.946.003,35;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;70.946.003,35;0,02%;1.000.000,00;0,00%;1.000.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.000.000,00;0,00%;70.946.003,35;0,04%;23.777.028,79;0,01%;47.168.974,55;0,02%;0;0,00%;0;0,00%
Alagoinhas;59.552.174,98;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;59.552.174,98;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;59.552.174,98;0,03%;59.552.174,98;0,03%;0;0,00%;0;0,00%;0;0,00%
Contagem;57.062.486,49;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;57.062.486,49;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;57.062.486,49;0,03%;57.062.486,49;0,03%;0;0,00%;0;0,00%;0;0,00%
Criciúma;53.231.975,19;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;33.792.145,92;0,01%;19.439.829,27;0,01%;19.439.829,27;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;19.439.829,27;0,02%;33.792.145,92;0,02%;33.792.145,92;0,02%;0;0,00%;0;0,00%;0;0,00%
Maringá;47.019.708,32;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;38.494.144,71;0,01%;8.525.563,61;0,00%;8.525.563,61;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;8.525.563,61;0,01%;38.494.144,71;0,02%;38.494.144,71;0,02%;0;0,00%;0;0,00%;0;0,00%
Ouro Preto;45.000.000,00;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;45.000.000,00;0,01%;45.000.000,00;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;45.000.000,00;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Colatina;44.198.747,71;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;44.198.747,71;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;44.198.747,71;0,02%;44.198.747,71;0,02%;0;0,00%;0;0,00%;0;0,00%
Sete Lagoas;42.368.878,74;0,01%;0;0,00%;0;0,00%;0;0,00%;42.368.878,74;0,01%;0;0,00%;0;0,00%;42.368.878,74;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;42.368.878,74;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Araguaína;42.144.419,28;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;42.144.419,28;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;42.144.419,28;0,02%;42.144.419,28;0,02%;0;0,00%;0;0,00%;0;0,00%
Muriaé;41.543.743,33;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;41.543.743,33;0,01%;41.543.743,33;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;41.543.743,33;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Chapecó;39.857.796,62;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;39.857.796,62;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;39.857.796,62;0,02%;39.857.796,62;0,02%;0;0,00%;0;0,00%;0;0,00%
Cariacica;38.791.681,13;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;38.791.681,13;0,01%;38.791.681,13;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;38.791.681,13;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
São Gonçalo do Amarante;37.846.814,40;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;37.846.814,40;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;37.846.814,40;0,02%;37.846.814,40;0,02%;0;0,00%;0;0,00%;0;0,00%
Passo Fundo;36.945.893,79;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;36.945.893,79;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;36.945.893,79;0,02%;36.945.893,79;0,02%;0;0,00%;0;0,00%;0;0,00%
Belford Roxo;35.570.866,28;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;35.570.866,28;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;35.570.866,28;0,02%;35.570.866,28;0,02%;0;0,00%;0;0,00%;0;0,00%
Jaraguá do Sul;35.000.000,00;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;35.000.000,00;0,01%;35.000.000,00;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;35.000.000,00;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Rio Branco;34.808.454,05;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;34.808.454,05;0,01%;34.808.454,05;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;34.808.454,05;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
São Caetano do Sul;33.305.915,53;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;33.305.915,53;0,01%;33.305.915,53;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;33.305.915,53;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Catanduva;33.060.710,79;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;33.060.710,79;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;33.060.710,79;0,02%;33.060.710,79;0,02%;0;0,00%;0;0,00%;0;0,00%
Jacareí;30.800.520,00;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;30.800.520,00;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;30.800.520,00;0,02%;30.800.520,00;0,02%;0;0,00%;0;0,00%;0;0,00%
Maracanaú;29.719.800,00;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;29.719.800,00;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;29.719.800,00;0,02%;29.719.800,00;0,02%;0;0,00%;0;0,00%;0;0,00%
Suzano;29.158.894,53;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;29.158.894,53;0,01%;29.158.894,53;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;29.158.894,53;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Mogi das Cruzes;28.593.060,00;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.593.060,00;0,00%;24.000.000,00;0,01%;24.000.000,00;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;24.000.000,00;0,02%;4.593.060,00;0,00%;4.593.060,00;0,00%;0;0,00%;0;0,00%;0;0,00%
Ponta Porã;28.371.893,34;0,01%;0;0,00%;0;0,00%;0;0,00%;14.052.353,34;0,00%;14.319.540,00;0,00%;0;0,00%;14.052.353,34;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;14.052.353,34;0,01%;0;0,00%;14.319.540,00;0,01%;14.319.540,00;0,01%;0;0,00%;0;0,00%;0;0,00%
Ponta Grossa;28.287.053,35;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;28.287.053,35;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;28.287.053,35;0,01%;28.287.053,35;0,01%;0;0,00%;0;0,00%;0;0,00%
Santa Maria;27.880.276,61;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;27.880.276,61;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;27.880.276,61;0,01%;27.880.276,61;0,01%;0;0,00%;0;0,00%;0;0,00%
Boa Vista;27.778.572,38;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;27.778.572,38;0,01%;27.778.572,38;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;27.778.572,38;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Pelotas;25.597.769,27;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;25.597.769,27;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;25.597.769,27;0,01%;25.597.769,27;0,01%;0;0,00%;0;0,00%;0;0,00%
Cachoeirinha;24.903.142,71;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;24.903.142,71;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;24.903.142,71;0,01%;24.903.142,71;0,01%;0;0,00%;0;0,00%;0;0,00%
Itapipoca;24.745.871,25;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;24.745.871,25;0,01%;24.745.871,25;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;24.745.871,25;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Aracati;23.544.000,00;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;23.544.000,00;0,01%;23.544.000,00;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;23.544.000,00;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Uberaba;21.559.168,45;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;21.559.168,45;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;21.559.168,45;0,01%;21.559.168,45;0,01%;0;0,00%;0;0,00%;0;0,00%
Piraquara;21.470.357,88;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;21.470.357,88;0,01%;21.470.357,88;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;21.470.357,88;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Votuporanga;18.571.428,56;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;18.571.428,56;0,01%;18.571.428,56;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;18.571.428,56;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Camocim;18.467.293,52;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;18.467.293,52;0,01%;18.467.293,52;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;18.467.293,52;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Guarulhos;18.097.119,70;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;18.097.119,70;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;18.097.119,70;0,01%;18.097.119,70;0,01%;0;0,00%;0;0,00%;0;0,00%
Sorocaba;17.589.130,24;0,01%;0;0,00%;0;0,00%;0;0,00%;92.483,75;0,00%;17.496.646,49;0,01%;0;0,00%;92.483,75;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;92.483,75;0,00%;0;0,00%;17.496.646,49;0,01%;17.496.646,49;0,01%;0;0,00%;0;0,00%;0;0,00%
Bagé;16.444.924,10;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;16.444.924,10;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;16.444.924,10;0,01%;16.444.924,10;0,01%;0;0,00%;0;0,00%;0;0,00%
Ituiutaba;16.000.000,00;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;16.000.000,00;0,01%;16.000.000,00;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;16.000.000,00;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Itatiaia;15.010.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;15.010.000,00;0,00%;15.010.000,00;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;15.010.000,00;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Tanguá;14.607.778,73;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;14.607.778,73;0,00%;14.607.778,73;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;14.607.778,73;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Gurupi;14.246.500,72;0,00%;0;0,00%;0;0,00%;0;0,00%;14.246.500,72;0,00%;0;0,00%;0;0,00%;14.246.500,72;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;14.246.500,72;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Rio Grande;13.923.627,36;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;13.923.627,36;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;13.923.627,36;0,01%;13.923.627,36;0,01%;0;0,00%;0;0,00%;0;0,00%
Aquidauana;13.715.707,73;0,00%;0;0,00%;0;0,00%;0;0,00%;13.715.707,73;0,00%;0;0,00%;0;0,00%;13.715.707,73;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;13.715.707,73;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Camboriú;13.300.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;13.300.000,00;0,00%;13.300.000,00;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;13.300.000,00;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Pomerode;12.908.999,60;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;12.908.999,60;0,00%;12.908.999,60;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;12.908.999,60;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Mineiros;11.840.755,91;0,00%;0;0,00%;0;0,00%;0;0,00%;11.840.755,91;0,00%;0;0,00%;0;0,00%;11.840.755,91;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;11.840.755,91;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Vila Velha;11.702.036,16;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;11.702.036,16;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;11.702.036,16;0,01%;11.702.036,16;0,01%;0;0,00%;0;0,00%;0;0,00%
Jandira;11.438.930,42;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;11.438.930,42;0,00%;11.438.930,42;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;11.438.930,42;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Tapejara;11.388.022,54;0,00%;0;0,00%;0;0,00%;0;0,00%;8.600.342,96;0,00%;0;0,00%;2.787.679,58;0,00%;11.388.022,54;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;8.600.342,96;0,01%;2.787.679,58;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Timbó;10.823.989,82;0,00%;0;0,00%;0;0,00%;0;0,00%;7.123.423,83;0,00%;0;0,00%;3.700.565,99;0,00%;10.823.989,82;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;7.123.423,83;0,01%;3.700.565,99;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Prudentópolis;10.220.684,81;0,00%;0;0,00%;0;0,00%;0;0,00%;10.220.684,81;0,00%;0;0,00%;0;0,00%;10.220.684,81;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;10.220.684,81;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Panambi;9.607.959,02;0,00%;0;0,00%;0;0,00%;0;0,00%;9.607.959,02;0,00%;0;0,00%;0;0,00%;9.607.959,02;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;9.607.959,02;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Betim;9.391.708,23;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;9.391.708,23;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;9.391.708,23;0,00%;9.391.708,23;0,00%;0;0,00%;0;0,00%;0;0,00%
Costa Rica;8.380.038,84;0,00%;0;0,00%;0;0,00%;0;0,00%;8.380.038,84;0,00%;0;0,00%;0;0,00%;8.380.038,84;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;8.380.038,84;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Araquari;7.817.082,26;0,00%;0;0,00%;0;0,00%;0;0,00%;7.817.082,26;0,00%;0;0,00%;0;0,00%;7.817.082,26;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;7.817.082,26;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Ubaíra;7.600.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;7.600.000,00;0,00%;7.600.000,00;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;7.600.000,00;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Nova Alvorada do Sul;7.366.520,61;0,00%;0;0,00%;0;0,00%;0;0,00%;4.827.011,78;0,00%;0;0,00%;2.539.508,83;0,00%;7.366.520,61;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.827.011,78;0,00%;2.539.508,83;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Campinas;7.067.347,37;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;7.067.347,37;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;7.067.347,37;0,00%;7.067.347,37;0,00%;0;0,00%;0;0,00%;0;0,00%
Santa Rosa;7.000.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;7.000.000,00;0,00%;7.000.000,00;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;7.000.000,00;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
