"","date","lender","borrower","amount_honoured"
"351",2018-09-25,"Caixa Econômica Federal","Roraima",2727356.3
"352",2018-09-15,"Caixa Econômica Federal","Roraima",2849979.02
"353",2018-09-20,"Japan International Cooperation Agency","Rio de Janeiro",43810.83
"354",2018-09-25,"Caixa Econômica Federal","Rio de Janeiro",12924089.79
"355",2018-09-20,"Japan International Cooperation Agency","Rio de Janeiro",31965370.47
"356",2018-09-17,"Banco Suiço de Investimento - Credit Suisse-Brasil","Rio de Janeiro",78708667.32
"357",2018-09-17,"Banco do Brasil S/A","Rio de Janeiro",9606967.46
"358",2018-09-19,"Caixa Econômica Federal","Rio de Janeiro",1007321.01
"359",2018-09-19,"Caixa Econômica Federal","Rio de Janeiro",2697793.66
"360",2018-09-17,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",4999840.45
"361",2018-09-17,"Caixa Econômica Federal","Rio de Janeiro",7691926.17
"362",2018-09-17,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",26112560.39
"363",2018-09-17,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",3327241.51
"364",2018-09-17,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",29492596.08
"365",2018-09-13,"Corporacão Andina de Fomento","Rio de Janeiro",24250368.47
"366",2018-09-13,"Corporacão Andina de Fomento","Rio de Janeiro",49468519.9
"367",2018-09-09,"BID","Rio de Janeiro",7015158.25
"368",2018-09-09,"BID","Rio de Janeiro",49150367.93
"369",2018-08-15,"Banco Mundial","Piauí",71465254.16
"370",2018-08-15,"Caixa Econômica Federal","Goiás",33593465.12
"371",2018-08-25,"Caixa Econômica Federal","Roraima",2929519.41
"372",2018-08-15,"Caixa Econômica Federal","Roraima",2714544.69
"373",2018-08-25,"Caixa Econômica Federal","Rio de Janeiro",13232875.83
"374",2018-08-15,"Banco Mundial","Rio de Janeiro",28780523.97
"375",2018-08-15,"Banco Mundial","Rio de Janeiro",3319180.4
"376",2018-08-20,"Caixa Econômica Federal","Rio de Janeiro",2706141.33
"377",2018-08-15,"Banco Mundial","Rio de Janeiro",27850268.86
"378",2018-08-20,"Caixa Econômica Federal","Rio de Janeiro",1007559.79
"379",2018-08-15,"Banco do Brasil S/A","Rio de Janeiro",9081100.98
"380",2018-08-15,"Caixa Econômica Federal","Rio de Janeiro",7654115.08
"381",2018-08-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",24886892.49
"382",2018-08-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",3190515.98
"383",2018-08-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",27809832.3
"384",2018-08-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",4837830.12
"385",2018-07-24,"Banco do Brasil S/A","Minas Gerais",135883514.13
"386",2018-07-25,"Caixa Econômica Federal","Roraima",2786949.07
"387",2018-07-28,"BID","Rio de Janeiro",21839399.18
"388",2018-07-25,"Caixa Econômica Federal","Rio de Janeiro",13261452.32
"389",2018-07-19,"Caixa Econômica Federal","Rio de Janeiro",1011770.43
"390",2018-07-19,"Caixa Econômica Federal","Rio de Janeiro",2716399.57
"391",2018-07-16,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",29879864.15
"392",2018-07-16,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",5165639.27
"393",2018-07-16,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",26542420.61
"394",2018-07-16,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",3233279.37
"395",2018-07-16,"Caixa Econômica Federal","Rio de Janeiro",7799997.44
