Relatório de Honras e Atrasos
Data de Emissão: 30/04/2020 11:35
Tipo de Dívida: Interna - Externa
Selecionar mutuário(s) por: Não Informado
Credor(es): Não Informado
Selecionar operação de crédito por: Não Informado
Status Atraso: Honra de Aval
Data Regularização Inicial: 01/01/2016
Data Regularização Final: 30/04/2020

Data de Vencimento;Tipo de Dívida;Nome do Contrato;Credor;Classificação do Credor;Mutuário;Tipo de Mutuário;Processo PGFN;Status;Data Limite da União;Data Regularização do Atraso;Moeda de Origem;Total no Vencimento (Moeda de Origem);Honra - Principal (Moeda de Origem);Honra - Juros/Encargos (Moeda de Origem);Honra - Mora (Moeda de Origem);Honra - Total (Moeda de Origem);Honra - Principal (R$);Honra Juros/Encargos (R$);Honra - Mora (R$);Honra - Total (R$);Ano Regularização;Mês Regularização;
15/12/2019;Interna;BNDES - 2014976;Banco Nacional de Desenvolvimento Econômico e Social;Bancos Federais;Rio de Janeiro;Estados;17944.000487/2014-87;Honra de Aval;16/01/2020;19/12/2019;Real;22.176.992,04;11.104.669,69;11.074.915,46;691.847,04;22.871.432,19;11.104.669,69;11.074.915,46;691.847,04;22.871.432,19;2019;Dezembro;
16/12/2019;Interna;BB - 2013836;Banco do Brasil S/A;Bancos Federais;Rio Grande do Norte;Estados;17944.001447/2012-91;Honra de Aval;30/12/2019;19/12/2019;Real;2.949.953,66;1.578.732,74;1.371.220,92;31.213,75;2.981.167,41;1.578.732,74;1.371.220,92;31.213,75;2.981.167,41;2019;Dezembro;
15/12/2019;Interna;BNDES - 2016004;Banco Nacional de Desenvolvimento Econômico e Social;Bancos Federais;Rio de Janeiro;Estados;17944.000158/2016-06;Honra de Aval;09/01/2020;19/12/2019;Real;2.950.616,15;1.681.263,66;1.269.964,67;63.142,94;3.014.371,27;1.681.263,66;1.269.964,67;63.142,94;3.014.371,27;2019;Dezembro;
15/12/2019;Interna;BNDES - 2013848;Banco Nacional de Desenvolvimento Econômico e Social;Bancos Federais;Rio de Janeiro;Estados;17944.000161/2013-79;Honra de Aval;30/12/2019;19/12/2019;Real;23.974.918,60;9.907.523,38;14.067.395,22;750.465,10;24.725.383,70;9.907.523,38;14.067.395,22;750.465,10;24.725.383,70;2019;Dezembro;
15/12/2019;Interna;BNDES - 2011684;Banco Nacional de Desenvolvimento Econômico e Social;Bancos Federais;Rio de Janeiro;Estados;17944.001256/2010-67;Honra de Aval;30/12/2019;19/12/2019;Real;4.200.976,41;2.886.993,21;1.313.983,20;131.787,82;4.332.764,23;2.886.993,21;1.313.983,20;131.787,82;4.332.764,23;2019;Dezembro;
16/12/2019;Interna;BB - 2012735;Banco do Brasil S/A;Bancos Federais;Rio de Janeiro;Estados;17944.000532/2012-31;Honra de Aval;30/12/2019;19/12/2019;Real;418.593.815,03;215.422.330,92;203.171.484,11;4.294.614,21;422.888.429,24;215.422.330,92;203.171.484,11;4.294.614,21;422.888.429,24;2019;Dezembro;
16/12/2019;Interna;BB - 2012769;Banco do Brasil S/A;Bancos Federais;Rio de Janeiro;Estados;17944.001308/2012-67;Honra de Aval;30/12/2019;19/12/2019;Real;8.106.173,78;4.356.281,35;3.749.892,43;85.770,72;8.191.944,50;4.356.281,35;3.749.892,43;85.770,72;8.191.944,50;2019;Dezembro;
16/12/2019;Interna;BNDES - 2013840;Banco Nacional de Desenvolvimento Econômico e Social;Bancos Federais;Rio Grande do Norte;Estados;17944.000026/2013-23;Honra de Aval;30/12/2019;18/12/2019;Real;2.171.763,88;1.206.156,89;965.606,99;45.302,20;2.217.066,08;1.206.156,89;965.606,99;45.302,20;2.217.066,08;2019;Dezembro;
16/12/2019;Interna;CAIXA - 20120856;Caixa Econômica Federal;Bancos Federais;Amapá;Estados;17944.001452/2012-01;Honra de Aval;09/01/2020;18/12/2019;Real;8.173.800,74;4.367.478,08;3.806.322,66;494.904,56;8.668.705,30;4.367.478,08;3.806.322,66;494.904,56;8.668.705,30;2019;Dezembro;
16/12/2019;Interna;BNDES - 2013858;Banco Nacional de Desenvolvimento Econômico e Social;Bancos Federais;Amapá;Estados;17944.001498/2012-12;Honra de Aval;30/12/2019;18/12/2019;Real;5.555.393,42;3.068.201,72;2.487.191,70;115.883,47;5.671.276,89;3.068.201,72;2.487.191,70;115.883,47;5.671.276,89;2019;Dezembro;
16/12/2019;Interna;BNDES - 2012792;Banco Nacional de Desenvolvimento Econômico e Social;Bancos Federais;Minas Gerais;Estados;17944.001163/2012-02;Honra de Aval;30/12/2019;18/12/2019;Real;3.742.200,13;3.154.527,44;587.672,69;78.060,92;3.820.261,05;3.154.527,44;587.672,69;78.060,92;3.820.261,05;2019;Dezembro;
16/12/2019;Interna;BNDES - 2013854;Banco Nacional de Desenvolvimento Econômico e Social;Bancos Federais;Amapá;Estados;17944.000002/2013-74;Honra de Aval;30/12/2019;18/12/2019;Real;2.365.032,37;1.306.189,47;1.058.842,90;49.333,71;2.414.366,08;1.306.189,47;1.058.842,90;49.333,71;2.414.366,08;2019;Dezembro;
