"","Inicio","Classificador","Periodo","total_total","interna_cambial","interna_total","externa_total","ATM_Total","Custo_Total","Ate_12_meses","Ate_12_meses_percentual","De_1_2_anos","De_1_2_anos_percentual","De_2_3_anos","De_2_3_anos_percentual","De_3_4_anos","De_3_4_anos_percentual","De_4_5_anos","De_4_5_anos_percentual","Acima_5_anos","Acima_5_anos_percentual","interna_demais"
"29",NA,NA,2020-04-30,1858195060.35,0,577380952.42,1280814107.93,7.559803097,NA,168326389.4,NA,214726945.9,NA,214131935.9,NA,191101266.3,NA,169180559.5,NA,1316133466,NA,577380952.42
"30",NA,NA,2020-04-30,1795419126.39,0,380678242.07,1414740884.32,7.309711977,NA,201743227.7,NA,200097443.7,NA,204161042.9,NA,209429657,NA,197937128.9,NA,1326221226,NA,380678242.07
"31",NA,NA,2020-04-30,1777054848.04,0,114126372.36,1662928475.68,8.181411342,NA,167503960,NA,167171256.4,NA,163408838,NA,165431341.7,NA,167421756.2,NA,1413053311,NA,114126372.36
"32",NA,NA,2020-04-30,1761765153.48,0,0,1761765153.48,7.832087544,NA,122433285.3,NA,168677827.7,NA,192765907.7,NA,187830986.1,NA,182941219.9,NA,1364274295,NA,0
"33",NA,NA,2020-04-30,1143871091.43,0,709590774.79,434280316.64,4.20709815,NA,194757028.7,NA,193834900.5,NA,159495492,NA,154848216.8,NA,146577024.8,NA,474790404.6,NA,709590774.79
"34",NA,NA,2020-04-30,669017918.83,0,126621372.47,542396546.36,5.807492451,NA,91236712.58,NA,99360807.11,NA,95652338.97,NA,80688312.23,NA,55667042.3,NA,405851128.8,NA,126621372.47
"35",NA,NA,2020-04-30,640833072.5,0,7627700.58,633205371.92,14.99787371,NA,16706022.48,NA,15250906.22,NA,15841521.54,NA,41522810.5,NA,40963837.24,NA,743145850.8,NA,7627700.58
"36",NA,NA,2020-04-30,635179632.41,0,0,635179632.41,8.949641841,NA,49103447.75,NA,48964906.81,NA,49586321.55,NA,50307140.54,NA,45769737.06,NA,551812455.5,NA,0
"37",NA,NA,2020-04-30,532033333.15,0,532033333.15,0,8.839897536,NA,62840737.64,NA,62840675.08,NA,62840675.1,NA,62840675.1,NA,62840675.1,NA,612696582.2,NA,532033333.15
"38",NA,NA,2020-04-30,489631257.12,0,3902330.46,485728926.66,5.746749519,NA,70723848.08,NA,66226578.22,NA,65607279.53,NA,65008390.26,NA,34084666.37,NA,263198345,NA,3902330.46
"39",NA,NA,2020-04-30,368086231.31,0,0,368086231.31,6.528480207,NA,19439213.88,NA,49050804.93,NA,47897817.98,NA,46744137.32,NA,45580479.37,NA,251561806.5,NA,0
"40",NA,NA,2020-04-30,367900507.05,0,0,367900507.05,5.805955924,NA,42048617.18,NA,41135020.88,NA,40421383,NA,39705693.85,NA,38996393.63,NA,236066276.4,NA,0
"41",NA,NA,2020-04-30,361290682.97,0,1.3e+08,231290682.97,6.632884361,NA,32239067.74,NA,39144229.14,NA,38339132.81,NA,37516048.29,NA,36733543.04,NA,252404904.5,NA,1.3e+08
"42",NA,NA,2020-04-30,313678302.97,0,0,313678302.97,8.761082607,NA,31939990.07,NA,31054111.75,NA,30338525.93,NA,29633962.7,NA,24601636.63,NA,248901148.8,NA,0
"43",NA,NA,2020-04-30,292550988.82,0,0,292550988.82,4.84109589,NA,10239811.95,NA,9658407.553,NA,60803034.84,NA,59193300.21,NA,57621052.63,NA,163081263.7,NA,0
"44",NA,NA,2020-04-30,287489682.55,0,0,287489682.55,8.671958076,NA,24195733.69,NA,23821029.61,NA,23443788.81,NA,23077107.89,NA,22679269.75,NA,242848469.1,NA,0
"45",NA,NA,2020-04-30,284963669.06,0,0,284963669.06,7.244567405,NA,29734649.75,NA,27582686.08,NA,26330714.3,NA,26074912.85,NA,25628747.64,NA,219359160.9,NA,0
"46",NA,NA,2020-04-30,282913122.66,0,50252089.2,232661033.46,8.457955579,NA,21563248.43,NA,20628079.8,NA,22051421.3,NA,23543205.72,NA,23624029.68,NA,236977312.8,NA,50252089.2
"47",NA,NA,2020-04-30,217500954.05,0,0,217500954.05,8.812401605,NA,18131455.64,NA,17274893.3,NA,22222814.45,NA,21770067.12,NA,21297603.96,NA,175891486.6,NA,0
"48",NA,NA,2020-04-30,202439086.98,0,202439086.98,0,7.964171835,NA,26756965.07,NA,26492686.52,NA,26212155.02,NA,25914321.01,NA,25598117.22,NA,212502490.7,NA,202439086.98
"49",NA,NA,2020-04-30,195974999.94,0,0,195974999.94,3.155321388,NA,40226090.66,NA,38371284.4,NA,37044248.44,NA,35831006.28,NA,34606050.03,NA,49643240.41,NA,0
