"","Inicio","Classificador","UF","Credor","tipo_credor","Projeto","honras","data","Moeda","valor","data_date"
"144","Ceara","Estados","CE","BID","Organismos Multilaterais","Programa de Modernização Fiscal do Estado do Ceará",NA,"20/05/2009","USD",4.1e+07,2009-05-20
"145","Ceara","Estados","CE","BIRD","Organismos Multilaterais","Projeto de Apoio à Inclusão Social e ao Desenvolvimento Econômico do Ceará",NA,"19/03/2009","USD",2.4e+08,2009-03-19
"146","Ceara","Estados","CE","BIRD","Organismos Multilaterais","Projeto de Combate à Pobreza no Ceará - PCPR",NA,"07/07/2006","USD",37500000,2006-07-07
"147","Ceara","Estados","CE","KFW","Agências Governamentais","Saneamento Básico Ceará II",NA,"07/12/2005","EUR",8691961.98,2005-12-07
"148","Ceara","Estados","CE","BNB","Bancos Federais","Prodetur II",NA,"20/10/2005","R$",85457059.71,2005-10-20
"149","Ceara","Estados","CE","BIRD","Organismos Multilaterais","PROJETO DE DESENVOLVIMENTO E INCLUSÃO SOCIAL MULTISETORIAL DO CEARÁ",NA,"18/10/2005","USD",149750000,2005-10-18
"150","Ceara","Estados","CE","BNB","Bancos Federais","Prodetur II",NA,"25/08/2005","R$",52973098.52,2005-08-25
"151","Ceara","Estados","CE","BNB","Bancos Federais","Prodetur I",NA,"04/07/2002","R$",14112675.58,2002-07-04
"152","Ceara","Estados","CE","BID","Organismos Multilaterais","A definir",NA,"19/12/1997","USD",1.15e+08,1997-12-19
"153","Ceara","Estados","CE","JICA","Agências Governamentais","A definir",NA,"01/08/1997","JPY",5.242e+09,1997-08-01
"154","Ceara","Estados","CE","BID","Organismos Multilaterais","Programa de Apoio às Reformas Sociais para o Desenvolvimento de Crianças e Adolescentes no Estado do Ceará",NA,"21/05/1997","USD",4.2e+07,1997-05-21
"155","Ceara","Estados","CE","BID","Organismos Multilaterais","A definir.",NA,"09/12/1992","USD",159300000,1992-12-09
"156","Ceara","Estados","CE","BID","Organismos Multilaterais","A definir",NA,"09/12/1992","USD",39900000,1992-12-09
"157","Distrito Federal","Estados","DF","BB","Bancos Federais","Programa de Infraestrutura Urbana e Social (infraestrutura urbana e social e desenvolvimento institucional). Lei Distrital nº 5.731, de 07/11/2016",NA,"29/12/2016","R$",6e+08,2016-12-29
"158","Distrito Federal","Estados","DF","BID","Organismos Multilaterais","Programa de Desenvolvimento Fazendário do Distrito Federal - PRODEFAZ/PROFISCO",NA,"29/02/2016","USD",31997000,2016-02-29
"159","Distrito Federal","Estados","DF","BB","Bancos Federais","Complementação de recursos para realização de melhorias viárias, adequação e implantação de calçadas, implantação de malha cicloviária, aporte de contrapartida de recursos do tesouro distrital à execução de empreendimentos de infraestrutura (Lei Distrital nº 5.394, de 27/08/2014)",NA,"29/01/2015","R$",5e+08,2015-01-29
"160","Distrito Federal","Estados","DF","BID","Organismos Multilaterais","Programa de Desenvolvimento Econômico do Distrito Federal - ADEs(PROCIDADES)- GDF",NA,"10/09/2014","USD",5e+07,2014-09-10
"161","Distrito Federal","Estados","DF","BB","Bancos Federais","Contrapartidas das Obras do Programa de Aceleração do Crescimento (PAC), do Programa Minha Casa Minha Vida (PMCMV) e dos projetos de mobilidade urbana diretamente associados à Copa de 2014. Art. 9º-S da Resolução nº 2.827, de 30/03/2001, alterada pelas Resoluções nº 4.098, de 28 de junho de 2012, e nº 4.158, de 22/11/2012, ambas do Conselho Monetário Nacional. Leis Distritais nº 5.001, de 20/12/2012, e nº 5.282, de 24/12/2013",NA,"29/08/2014","R$",67786728.82,2014-08-29
"162","Distrito Federal","Estados","DF","BNDES","Bancos Federais","PROINVESTE - Programa de Apoio ao Investimento dos Estados e do Distrito Federal",NA,"31/01/2013","R$",311152640.6,2013-01-31
"163","Distrito Federal","Estados","DF","BIRD","Organismos Multilaterais","Programa de Modernização da Gestão Pública do Distrito Federal - Gestão GDF",NA,"10/09/2009","USD",1.3e+08,2009-09-10
"164","Distrito Federal","Estados","DF","BID","Organismos Multilaterais","Programa de Transporte Urbano do Distrito Federal",NA,"30/01/2008","USD",176775000,2008-01-30
"165","Distrito Federal","Estados","DF","BIRD","Organismos Multilaterais","Programa Brasília Sustentável",NA,"23/02/2006","USD",57643000,2006-02-23
"166","Distrito Federal","Estados","DF","BID","Organismos Multilaterais","Programa de Saneamento Básico do Distrito Federal
.",NA,"11/06/2001","USD",1.3e+08,2001-06-11
"167","Espirito Santo","Estados","ES","CAIXA","Bancos Federais","Repactuação Dívida FGTS",NA,"24/08/2018","R$",905518225.03,2018-08-24
"168","Espirito Santo","Estados","ES","BID","Organismos Multilaterais","Projeto Estado Presente",NA,"28/12/2017","USD",5.6e+07,2017-12-28
"169","Espirito Santo","Estados","ES","BIRD","Organismos Multilaterais","Programa de Gestão Integrada das Águas e da Paisagem do Espírito Santo",NA,"28/09/2015","USD",2.25e+08,2015-09-28
"170","Espirito Santo","Estados","ES","BNDES","Bancos Federais","Despesas de Capital constantes do Plano Plurianual - PPA e leis orçamentárias, no âmbito do Programa Especial de apoio aos Estados - PROPAE",NA,"07/12/2012","R$",3e+09,2012-12-07
"171","Espirito Santo","Estados","ES","CAIXA","Bancos Federais","PROEDES - Programa Estadual de Desenvolvimento Sustentável",NA,"30/11/2012","R$",415559740.08,2012-11-30
"172","Espirito Santo","Estados","ES","BID","Organismos Multilaterais","Programa Rodoviário do Espírito Santo III",NA,"21/12/2011","USD",1.75e+08,2011-12-21
"173","Espirito Santo","Estados","ES","BID","Organismos Multilaterais","Plano de Desenvolvimento da Administração Fazendária - PROFAZ - Espírito Santo",NA,"05/11/2010","USD",21992000,2010-11-05
"174","Espirito Santo","Estados","ES","BNDES","Bancos Federais","Programas de desenvolvimento integrado constantes do plano plurianual (PPA) e leis orçamentárias do beneficiário.",NA,"20/05/2010","R$",9e+07,2010-05-20
"175","Espirito Santo","Estados","ES","BIRD","Organismos Multilaterais","Programa de Gerenciamento da Poluição Costeira e de Águas do Espírito Santo - Projetos Águas Limpas II",NA,"17/09/2009","USD",71500000,2009-09-17
"176","Espirito Santo","Estados","ES","BID","Organismos Multilaterais","Programa Rodoviário do Espírito Santo II",NA,"28/03/2006","USD",73500000,2006-03-28
"177","Espirito Santo","Estados","ES","BIRD","Organismos Multilaterais","Projeto de Gerenciamento da Poluição Costeira e de Águas do Espírito Santo - Projeto Águas Limpas",NA,"10/11/2004","USD",3.6e+07,2004-11-10
"178","Espirito Santo","Estados","ES","BID","Organismos Multilaterais","A definir",NA,"28/02/1992","USD",15600000,1992-02-28
"179","Goias","Estados","GO","CAIXA","Bancos Federais","Assunção da Dívida do Contrato nº 0412.113-76/2014, firmado em 11/09/2014 com a CEF",8,"02/08/2016","R$",2157785203.12,2016-08-02
"180","Goias","Estados","GO","BID","Organismos Multilaterais","Programa de Modernização da Administração Fazendária do Estado de Goiás - PROFISCO.",NA,"23/08/2013","USD",11577000,2013-08-23
"181","Goias","Estados","GO","BB","Bancos Federais","""Programa Goiás Estruturante, com programas e projetos referidos na Lei estadual nº 18.032, de 22/05/2013:",1,"08/08/2013","R$",1.56e+09,2013-08-08
"182","Goias","Estados","GO","BNDES","Bancos Federais","Financiamento de Despesas de Capital, relativas à amortização de dívida decorrente do Contrato 10.2.0137.1, de 01/06/2010, entre o mutuário e o BNDES, e aporte para aumento ed capital da SANEAGO - Sanemaneto de Goiás S/A",7,"18/01/2013","R$",260416043.3,2013-01-18
"183","Goias","Estados","GO","CAIXA","Bancos Federais","PROINVESTE - Programa de Apoio ao Investimento dos Estados e Distrito Federal",7,"28/12/2012","R$",366969587.8,2012-12-28
"184","Goias","Estados","GO","BNDES","Bancos Federais","Construção, adequação, modernização e balizamento noturno dos aeródromos e aeroportos e Programa RODOVIDA - Pavimentada e Não Pavimentada",4,"11/10/2012","R$",1.5e+09,2012-10-11
"185","Goias","Estados","GO","CAIXA","Bancos Federais","Saneamento da CELG-D",9,"27/12/2011","R$",3.527e+09,2011-12-27
"186","Maranhao","Estados","MA","BID","Organismos Multilaterais","Projeto de modernização da gestão fiscal do Estado do Maranhão - PROFISCO II - MA",NA,"21/02/2019","USD",3.5e+07,2019-02-21
"187","Maranhao","Estados","MA","BB","Bancos Federais","Programa Maranhão mais Justo e Competitivo II",NA,"12/12/2017","R$",55692000,2017-12-12
"188","Maranhao","Estados","MA","CAIXA","Bancos Federais","Programa Maranhão Mais Justo e Competitivo",NA,"30/12/2016","R$",444750000,2016-12-30
"189","Maranhao","Estados","MA","BNDES","Bancos Federais","Linha de Financiamento BNDES Estados",NA,"18/09/2013","R$",2799659479.61,2013-09-18
"190","Maranhao","Estados","MA","BOFA","Credores Privados","Financiamento da quitação do resíduo das dívidas constituídas pelo Estado em razão das Leis Federais nºs 8727/93 e 9494/97",NA,"23/07/2013","USD",661967121.34,2013-07-23
"191","Maranhao","Estados","MA","BNDES","Bancos Federais","PROINVESTE - Programa de Apoio ao Investimento dos Estados e do Distrito Federal",NA,"14/01/2013","R$",1001340520.39,2013-01-14
"192","Maranhao","Estados","MA","BID","Organismos Multilaterais","Projeto de Fortalecimento da Gestão Fiscal do Estado do Maranhão-PROFIS",NA,"29/09/2010","USD",13200000,2010-09-29
"193","Maranhao","Estados","MA","BNDES","Bancos Federais","Programas de desenvolvimento integrado constantes do plano plurianual (PPA) e leis orçamentárias do beneficiário.",NA,"26/06/2010","R$",433092000,2010-06-26
"194","Maranhao","Estados","MA","BIRD","Organismos Multilaterais","Programa de Combate à Pobreza Rural - PCPR II",NA,"15/02/2006","USD",3e+07,2006-02-15
"195","Mato Grosso","Estados","MT","BIRD","Organismos Multilaterais","Empréstimo de Política de Desenvolvimento com Sustentabilidade Fiscal e Ambiental no Estado de Mato Grosso. Liquidação de dívida do Estado com o Bank of America",NA,"06/09/2019","USD",2.5e+08,2019-09-06
"196","Mato Grosso","Estados","MT","BB","Bancos Federais","Programa de Restauração e Revitalização de Rodovias Pavimentadas e Pavimentação de Rodovias",NA,"27/10/2014","R$",1.3e+08,2014-10-27
"197","Mato Grosso","Estados","MT","BB","Bancos Federais","Programa PROCONCRETO - Pontes de Concreto",NA,"27/10/2014","R$",4.7e+08,2014-10-27
"198","Mato Grosso","Estados","MT","BB","Bancos Federais","Investimentos em ampliação e melhoria da infraestrutura viária constantes do Programa Mato Grosso Integrado, Sustentável e Competitivo (Lei nº 9.763, de 21 de junho de 2012) - Subcrédito B",NA,"27/12/2012","R$",1416670000,2012-12-27
"199","Mato Grosso","Estados","MT","BB","Bancos Federais","Programa de Apoio ao Investimento dos Estados e do Distrito Federal - PROINVESTE",NA,"27/12/2012","R$",460068420,2012-12-27
"200","Mato Grosso","Estados","MT","CAIXA","Bancos Federais","Programa de Aceleração do Crescimento - CPAC",NA,"27/12/2012","R$",727920000,2012-12-27
"201","Mato Grosso","Estados","MT","BID","Organismos Multilaterais","Programa de Desenvolvimento da Administração Fazendária - PROFISCO do Estado do Mato Grosso.",NA,"20/12/2012","USD",15032000,2012-12-20
"202","Mato Grosso","Estados","MT","BOFA","Credores Privados","Reestruturação de parte das dívidas do Estado de Mato Grosso oriundas de leis federais",1,"10/09/2012","USD",478958330.51,2012-09-10
"203","Mato Grosso do Sul","Estados","MS","BID","Organismos Multilaterais","Projeto de Modernização da Gestão Fiscal do Estado de Mato Grosso do Sul - PROFISCO II - MS",NA,"16/09/2019","USD",47700000,2019-09-16
"204","Mato Grosso do Sul","Estados","MS","BNDES","Bancos Federais","Linha de Financiamento Logística - Modal Rodoviário e Linha de Financiamento BNDES Estados",NA,"03/06/2013","R$",733500000,2013-06-03
"205","Mato Grosso do Sul","Estados","MS","BNDES","Bancos Federais","PROINVESTE - Programa de Apoio ao Investimento dos Estados e do Distrito Federal",NA,"28/12/2012","R$",357416000,2012-12-28
"206","Mato Grosso do Sul","Estados","MS","BID","Organismos Multilaterais","Programa de Modernização da Administração Tributária, Financeira e Patrimonial do Estado de Mato Grosso do Sul.",NA,"29/10/2010","USD",1.2e+07,2010-10-29
"207","Mato Grosso do Sul","Estados","MS","BIRD","Organismos Multilaterais","Programa de Transportes e Desenvolvimento Sustentável do Estado do Mato Grosso do Sul (PDE/MS)",NA,"16/09/2010","USD",3e+08,2010-09-16
"208","Mato Grosso do Sul","Estados","MS","BNDES","Bancos Federais","Programas de desenvolvimento integrado constantes do plano plurianual (PPA) e leis orçamentárias do beneficiário.",NA,"16/07/2010","R$",79920000,2010-07-16
"209","Mato Grosso do Sul","Estados","MS","FONPLATA","Organismos Multilaterais","Projeto de Melhoria da Infra-estrutura viária da região sul fronteira",NA,"04/07/2006","USD",2.8e+07,2006-07-04
"210","Minas Gerais","Estados","MG","CAIXA","Bancos Federais","Programa Saneamento para Todos",NA,"28/11/2013","R$",120887500,2013-11-28
"211","Minas Gerais","Estados","MG","CAIXA","Bancos Federais","Programa Saneamento para Todos",NA,"28/11/2013","R$",94254505.82,2013-11-28
"212","Minas Gerais","Estados","MG","CAIXA","Bancos Federais","Programa Saneamento para Todos",NA,"28/11/2013","R$",237500000,2013-11-28
"213","Minas Gerais","Estados","MG","BB","Bancos Federais","Programa de Infraestrutura Rodoviária",3,"24/07/2013","R$",1.5e+09,2013-07-24
"214","Minas Gerais","Estados","MG","CREDIT SUISSE","Credores Privados","Programa de Reestruturação da Dívida da CEMIG e o Banco Credit Suisse AG",2,"28/12/2012","USD",1.3e+09,2012-12-28
"215","Minas Gerais","Estados","MG","BB","Bancos Federais","""Programa de Desenvolvimento de Minas Gerais - PDMG - (Lei estadual nº 20.444, de 19 de novembro de 2012)
""",4,"26/12/2012","R$",3653733000,2012-12-26
"216","Minas Gerais","Estados","MG","BNDES","Bancos Federais","PROINVESTE - Programa de Apoio ao Investimento dos Estados e do Distrito Federal",4,"11/12/2012","R$",1326389531.69,2012-12-11
"217","Minas Gerais","Estados","MG","BNDES","Bancos Federais","Programa de Desenvolvimento Integrado II - PDI II",11,"11/12/2012","R$",469773000,2012-12-11
"218","Minas Gerais","Estados","MG","AFD","Agências Governamentais","Programa de Apoio aos Investimentos em Infraestrutura de Serviços Básicos no Estado de Minas Gerais (CRC-CEMIG) e a Agência Francesa de Desenvolvimento - AFD",2,"03/12/2012","EUR",3e+08,2012-12-03
"219","Minas Gerais","Estados","MG","BIRD","Organismos Multilaterais","Terceiro Programa de Parceria para o Desenvolvimento de Minas Gerais",2,"26/11/2012","USD",4.5e+08,2012-11-26
"220","Minas Gerais","Estados","MG","BID","Organismos Multilaterais","Programa de Acesso ao Município - PROACESSO II - MINAS GERAIS",2,"30/09/2010","USD",5e+07,2010-09-30
"221","Minas Gerais","Estados","MG","BIRD","Organismos Multilaterais","Programa de Parceria para o Desenvolvimento de Minas Gerais II - financiamento Adicional",2,"16/09/2010","USD",4.61e+08,2010-09-16
"222","Minas Gerais","Estados","MG","BID","Organismos Multilaterais","Programa de Parceria para o Desenvolvimento de Minas Gerais III",2,"08/07/2010","USD",1.37e+08,2010-07-08
"223","Minas Gerais","Estados","MG","BNDES","Bancos Federais","Programas de desenvolvimento integrado constantes do plano plurianual (PPA) e leis orçamentárias do beneficiário.",4,"29/06/2010","R$",267270000,2010-06-29
"224","Minas Gerais","Estados","MG","BID","Organismos Multilaterais","Programa de Eletrificação Rural - PRONOROESTE - Estado de MG.",2,"26/02/2010","USD",1e+07,2010-02-26
"225","Minas Gerais","Estados","MG","BID","Organismos Multilaterais","Projeto de Fortalecimento Institucional para Modernização da Gestão Fiscal do Estado de Minas Gerais-PROFORT-PROFISCO-MG",2,"26/02/2010","USD",4e+07,2010-02-26
"226","Minas Gerais","Estados","MG","BID","Organismos Multilaterais","Programa Consolidação das Cadeias Produtivas - Minas do Princípio ao Fim",2,"22/10/2009","USD",1e+07,2009-10-22
"227","Minas Gerais","Estados","MG","BIRD","Organismos Multilaterais","Programa de Parceria para o Desenvolvimento de Minas Gerais II",2,"13/08/2008","USD",9.76e+08,2008-08-13
"228","Minas Gerais","Estados","MG","BNB","Bancos Federais","Prodetur II",2,"02/06/2006","R$",59966559.43,2006-06-02
"229","Minas Gerais","Estados","MG","BID","Organismos Multilaterais","Programa de Melhoria da Acessibilidade de Municípios de Pequeno Porte de Minas Gerais - PROACESSO",2,"28/04/2006","USD",5e+07,2006-04-28
"230","Minas Gerais","Estados","MG","BIRD","Organismos Multilaterais","Programa de Ajuste Estrutural e de Políticas de Desenvolvimento do Estado de Minas Gerais",2,"28/04/2006","USD",1.7e+08,2006-04-28
"231","Minas Gerais","Estados","MG","BIRD","Organismos Multilaterais","Projeto de Combate à Pobreza Rural da Região Mineira do Nordeste",2,"31/01/2006","USD",3.5e+07,2006-01-31
"232","Para","Estados","PA","NDB","Organismos Multilaterais","Programa municípios sustentáveis do Estado do Pará",NA,"11/03/2019","USD",5e+07,2019-03-11
"233","Para","Estados","PA","BID","Organismos Multilaterais","Projeto de Modernização da Gestão Fiscal do Estado do Pará - PROFISCO II - PA",NA,"19/02/2019","USD",35100000,2019-02-19
"234","Para","Estados","PA","CAF","Organismos Multilaterais","Programa municípios sustentáveis do Estado do Pará",NA,"19/02/2019","USD",5e+07,2019-02-19
"235","Para","Estados","PA","CAIXA","Bancos Federais","Programa de Investimento nas áreas de Saúde e de Infraestrutura e Logística",NA,"29/07/2017","R$",673900000,2017-07-29
"236","Para","Estados","PA","BID","Organismos Multilaterais","Programa da Melhoria da Qualidade e Expansão da Cobertura da Educação Básica do Estado do Pará",NA,"16/12/2013","USD",200810000,2013-12-16
"237","Para","Estados","PA","BNDES","Bancos Federais","PROINVESTE - Programa de Apoio ao Investimento dos Estados e do Distrito Federal",NA,"28/12/2012","R$",955045575,2012-12-28
"238","Para","Estados","PA","JICA","Agências Governamentais","Projeto Ação Metrópole - 2ª Etapa do Estado do Pará e a Agência Internacional de Cooperação do Japão - JICA",NA,"04/09/2012","JPY",1.6411e+10,2012-09-04
"239","Para","Estados","PA","BNDES","Bancos Federais","Programas de desenvolvimento integrado constantes do plano plurianual (PPA) e leis orçamentárias do beneficiário.",NA,"30/11/2010","R$",366720000,2010-11-30
"240","Para","Estados","PA","BID","Organismos Multilaterais","Programa de Apoio à Modernização e Transparência Fiscal do Estado do Pará - PROGEFAZ.",NA,"28/09/2009","USD",1e+07,2009-09-28
"241","Para","Estados","PA","CAF","Organismos Multilaterais","Programa de Infaestrutura rodoviária do Pará",NA,"08/07/2009","USD",8.5e+07,2009-07-08
"242","Para","Estados","PA","BIRD","Organismos Multilaterais","Programa Pará Rural",NA,"07/11/2007","USD",6e+07,2007-11-07
"243","Para","Estados","PA","UniCredit","Credores Privados","Prefabricated Road Bridges",NA,"18/07/2006","USD",42670000,2006-07-18
"244","Para","Estados","PA","BID","Organismos Multilaterais","Programa de Apoio ao PARÁ URBE - primeira fase",NA,"03/07/2002","USD",4.8e+07,2002-07-03
"245","Para","Estados","PA","BID","Organismos Multilaterais","A definir.",NA,"27/01/1993","USD",3e+07,1993-01-27
"246","Para","Estados","PA","BID","Organismos Multilaterais","A definir.",NA,"27/01/1993","USD",1.15e+08,1993-01-27
"247","Paraiba","Estados","PB","BIRD","Organismos Multilaterais","Projeto Paraíba Rural Sustentável",NA,"13/03/2019","USD",5e+07,2019-03-13
"248","Paraiba","Estados","PB","CAIXA","Bancos Federais","CPAC- Programa de Financiamento de Contrapartidas do Programa de Aceleração do Crescimento",NA,"16/10/2013","R$",211570365.91,2013-10-16
"249","Paraiba","Estados","PB","BNDES","Bancos Federais","PROINVESTE - Programa de Apoio ao Investimento dos Estados e do Distrito Federal",NA,"30/01/2013","R$",689222444.22,2013-01-30
"250","Paraiba","Estados","PB","BNDES","Bancos Federais","Programa Paraíba Sustentável",NA,"09/11/2012","R$",5e+08,2012-11-09
"251","Paraiba","Estados","PB","FIDA","Organismos Multilaterais","Projeto de Desenvolvimento Sustentável do Cariri e Seridó - PROCASE",NA,"17/10/2012","SDR",16064876,2012-10-17
"252","Paraiba","Estados","PB","BID","Organismos Multilaterais","PROFISCO - Programa de Modernização Fiscal do Estado da Paraíba",NA,"18/05/2012","USD",7479000,2012-05-18
"253","Paraiba","Estados","PB","BNDES","Bancos Federais","Programas de desenvolvimento integrado constantes do plano plurianual (PPA) e leis orçamentárias do beneficiário.",NA,"13/09/2010","R$",287334000,2010-09-13
"254","Paraiba","Estados","PB","BIRD","Organismos Multilaterais","Projeto de Redução da Pobreza Rural do Estado da Paraíba - PRPR/COOPERAR",NA,"28/04/2010","USD",20900000,2010-04-28
"255","Paraiba","Estados","PB","CAF","Organismos Multilaterais","Programa de Pavimentação e Recuperação de Rodovias do Estado da Paraíba",NA,"26/04/2010","USD",1e+08,2010-04-26
"256","Parana","Estados","PR","BID","Organismos Multilaterais","Programa Estadual de Apoio ao Desenvolvimento Urbano e Melhorias de Infraestrutura Municipal - Paraná Urbano III",NA,"30/12/2019","USD",118370000,2019-12-30
"257","Parana","Estados","PR","BID","Organismos Multilaterais","Programa Estratégico de Infraestrutura e Logística de Transportes do Paraná",NA,"20/12/2017","USD",2.35e+08,2017-12-20
"258","Parana","Estados","PR","BID","Organismos Multilaterais","Programa Paraná Seguro",NA,"12/01/2017","USD",67200000,2017-01-12
"259","Parana","Estados","PR","BID","Organismos Multilaterais","Programa de Gestão Fiscal do Estado do Paraná - PROFISCO",NA,"06/08/2014","USD",8500000,2014-08-06
"260","Parana","Estados","PR","BID","Organismos Multilaterais","Programa Integrado de Inclusão Social e Requalificação Urbana - Família Paranaense",NA,"06/08/2014","USD",6e+07,2014-08-06
"261","Parana","Estados","PR","BNDES","Bancos Federais","Repactuação, redução e quitação da dívida do BADEP, em liquidação, pelo Estado do Paraná, frente ao BNDES e FINAME",NA,"16/07/2014","R$",4e+08,2014-07-16
"262","Parana","Estados","PR","BB","Bancos Federais","Programa de Apoio ao Investimento dos Estados e do Distrito Federal - PROINVESTE",NA,"30/12/2013","R$",816831240.58,2013-12-30
"263","Parana","Estados","PR","BIRD","Organismos Multilaterais","Projeto Multissetorial  para o Desenvolvimento do Estado do Paraná",NA,"12/12/2013","USD",3.5e+08,2013-12-12
"264","Parana","Estados","PR","BID","Organismos Multilaterais","Paraná Urbano II",NA,"03/07/2002","USD",1e+08,2002-07-03
"265","Parana","Estados","PR","JICA","Agências Governamentais","A definir",NA,"08/01/1998","JPY",2.3686e+10,1998-01-08
"266","Parana","Estados","PR","BID","Organismos Multilaterais","Programa Expansão, Melhoria e Inovação no Ensino Médio dop Paraná (PROEM)",NA,"23/12/1997","USD",1e+08,1997-12-23
"267","Pernambuco","Estados","PE","BID","Organismos Multilaterais","Projeto de Aperfeiçoamento da Gestão Fiscal do Estado de Pernambuco - PROFISCO II - PE",NA,"30/09/2019","USD",3.7e+07,2019-09-30
"268","Pernambuco","Estados","PE","CAIXA","Bancos Federais","Financiamento de Plano de Investimento",NA,"14/12/2017","R$",3.4e+08,2017-12-14
"269","Pernambuco","Estados","PE","BID","Organismos Multilaterais","Programa de Consolidação do Equilíbrio Fiscal para o Desenvolvimento Econômico e Social do Estado de Pernambuco.",NA,"17/12/2013","USD",4e+08,2013-12-17
"270","Pernambuco","Estados","PE","BID","Organismos Multilaterais","Programa de Saneamento Ambiental da Bacia do Rio Ipojuca - PSA, Estado Pernambuco",NA,"07/08/2013","USD",2e+08,2013-08-07
"271","Pernambuco","Estados","PE","BIRD","Organismos Multilaterais","Programa de Desenvolvimento das Políticas Públicas do Estado de Pernambuco II - DPL",NA,"18/07/2013","USD",5.5e+08,2013-07-18
"272","Pernambuco","Estados","PE","BNDES","Bancos Federais","Programa Multissetorial de Apoio à Interiorização do Desenvolvimento Sustentável do Estado de Pernambuco",NA,"23/01/2013","R$",423613990,2013-01-23
"273","Pernambuco","Estados","PE","CAIXA","Bancos Federais","Programa de Financiamento à Infraestrutura e ao Saneamento - FINISA - Modalidade de Despesa de Capital -Art 9º N",NA,"19/12/2012","R$",1069073425.71,2012-12-19
"274","Pernambuco","Estados","PE","BIRD","Organismos Multilaterais","Projeto Pernambuco Rural Sustentável",NA,"18/06/2012","USD",1e+08,2012-06-18
"275","Pernambuco","Estados","PE","BIRD","Organismos Multilaterais","Programa de Desenvolvimento das Políticas Públicas do Estado de Pernambuco (DPL)",NA,"13/04/2012","USD",5e+08,2012-04-13
"276","Pernambuco","Estados","PE","CAIXA","Bancos Federais","Programa de Financiamento de Contrapartidas do Programa de Aceleração do Crescimento - CPAC",NA,"31/10/2011","R$",299555874.16,2011-10-31
"277","Pernambuco","Estados","PE","BID","Organismos Multilaterais","Programa de Produção e Difusão de Inovações para a Competitividade de Arranjos Produtivos Locais (APLs) do Estado de Pernambuco - PROAPL",NA,"20/06/2011","USD",1e+07,2011-06-20
"278","Pernambuco","Estados","PE","BID","Organismos Multilaterais","Programa Nacional do Turismo - PRODETUR NACIONAL",NA,"02/12/2010","USD",7.5e+07,2010-12-02
"279","Pernambuco","Estados","PE","BID","Organismos Multilaterais","Projeto de Apoio à Modernização e à Transparência da Gestão Fiscal do Estado de Pernambuco",NA,"13/07/2010","USD",1.5e+07,2010-07-13
"280","Pernambuco","Estados","PE","BIRD","Organismos Multilaterais","Projeto de Sustentabilidade Hídrica do Estado de Pernambuco - PSHPE",NA,"18/03/2010","USD",1.9e+08,2010-03-18
"281","Pernambuco","Estados","PE","BNDES","Bancos Federais","Programas de desenvolvimento integrado constantes do plano plurianual (PPA) e leis orçamentárias do bneeficiário.",NA,"21/12/2009","R$",414008000,2009-12-21
"282","Pernambuco","Estados","PE","BIRD","Organismos Multilaterais","Programa de Desenvolvimento da Educação e Gestão Pública de Pernambuco",NA,"06/11/2009","USD",1.54e+08,2009-11-06
"283","Pernambuco","Estados","PE","BIRD","Organismos Multilaterais","Projeto de Redução da Pobreza Rural - Pernambuco",NA,"14/03/2007","USD",3e+07,2007-03-14
"284","Pernambuco","Estados","PE","BNB","Bancos Federais","Prodetur II",NA,"05/04/2006","R$",162113687.8,2006-04-05
"285","Pernambuco","Estados","PE","BIRD","Organismos Multilaterais","Projeto Desenvolvimento Integrado de Pernambuco: Melhoria da Qualidade da Educação",NA,"26/08/2003","USD",31500000,2003-08-26
"286","Pernambuco","Estados","PE","BIRD","Organismos Multilaterais","A definir",NA,"23/07/2003","USD",4.6e+07,2003-07-23
"287","Pernambuco","Estados","PE","BNB","Bancos Federais","Prodetur I",NA,"04/07/2002","R$",12736333.32,2002-07-04
"288","Pernambuco","Estados","PE","BID","Organismos Multilaterais","Programa de Apoio ao Desenvolvimento Sustentável da Zona da Mata de Pernambuco",NA,"05/06/2002","USD",9e+07,2002-06-05
"289","Pernambuco","Estados","PE","KFW","Agências Governamentais","Projeto de Esgotamento Sanitário de Pernambuco",NA,"13/12/1995","EUR",6646794.46,1995-12-13
"290","Piaui","Estados","PI","BID","Organismos Multilaterais","Projeto de Modernização da Gestão Fiscal do Estado do Piauí - PRODAF",NA,"22/01/2019","USD",44935000,2019-01-22
"291","Piaui","Estados","PI","CAIXA","Bancos Federais","FINISA - Programa de financiamento à infraestrutura e ao saneamento",NA,"29/01/2018","R$",3.15e+08,2018-01-29
"292","Piaui","Estados","PI","BIRD","Organismos Multilaterais","Programa de Crescimento Sustentável e Inclusivo",NA,"27/04/2016","USD",2e+08,2016-04-27
"293","Piaui","Estados","PI","BIRD","Organismos Multilaterais","Projeto Piauí  Crescimento Sustentável e Inclusivo - DPL",NA,"27/04/2016","USD",1.2e+08,2016-04-27
"294","Piaui","Estados","PI","BB","Bancos Federais","Pró-Desenvolvimento II. Lei estadual nº 6.278, de 31/10/2012",1,"04/07/2013","R$",599978000,2013-07-04
"295","Piaui","Estados","PI","FIDA","Organismos Multilaterais","Projeto de Desenvolvimento Sustentável no Semi-Árido do Estado do Piauí - Viva o Semi-Árido",NA,"09/04/2013","SDR",12770903,2013-04-09
