"","Inicio","Classificador","UF","Credor","tipo_credor","Projeto","honras","data","Moeda","valor","data_date"
"32","SABESP-SP","Entidades Controladas","SP","JICA","Agências Governamentais","Programa de Recuperação Ambiental da Região Metropolitana da Baixada Santista - Fase II",NA,"15/02/2011","JPY",1.9169e+10,2011-02-15
"33","SABESP-SP","Entidades Controladas","SP","JICA","Agências Governamentais","Programa Integrado de Melhoria Ambiental na Área de Mananciais da Represa Billings",NA,"14/10/2010","JPY",6.208e+09,2010-10-14
"34","SABESP-SP","Entidades Controladas","SP","BID","Organismos Multilaterais","Programa de Despoluição do Rio Tietê - Etapa III - SABESP",NA,"03/09/2010","USD",6e+08,2010-09-03
"35","SABESP-SP","Entidades Controladas","SP","BIRD","Organismos Multilaterais","Programa de Saneamento Ambiental dos Mananciais do Alto Tietê - Programa Mananciais",NA,"28/10/2009","USD",1e+08,2009-10-28
"36","SABESP-SP","Entidades Controladas","SP","JICA","Agências Governamentais","A definir",NA,"06/08/2004","JPY",2.132e+10,2004-08-06
"37","SABESP-SP","Entidades Controladas","SP","BID","Organismos Multilaterais","Projeto de Despoluição do  Rio Tietê - Etapa III",NA,"19/07/2000","USD",2e+08,2000-07-19
"38","SABESP-SP","Entidades Controladas","SP","BID","Organismos Multilaterais","A Definir",NA,"17/12/1992","USD",4e+08,1992-12-17
"39","SANEAGO-GO","Entidades Controladas","GO","BID","Organismos Multilaterais","Programa de Água e Saneamento de Goiânia",NA,"11/12/2002","USD",47600000,2002-12-11
"40","Acre","Estados","AC","BIRD","Organismos Multilaterais","Programa de Saneamento Ambiental e Inclusão Socioeconômica do Acre",NA,"17/03/2016","USD",1.5e+08,2016-03-17
"41","Acre","Estados","AC","BNDES","Bancos Federais","Pavimentação de vias secundárias urbanas com implantação de redes de distribuição de água e redes de coleta de esgoto",NA,"07/02/2014","R$",240662000,2014-02-07
"42","Acre","Estados","AC","BIRD","Organismos Multilaterais","Programa de Desenvolvimento de Políticas Públicas do Estado do Acre",NA,"10/12/2013","USD",2.5e+08,2013-12-10
"43","Acre","Estados","AC","BID","Organismos Multilaterais","Programa de Desenvolvimento Sustentável do Estado do Acre(PDSA Fase II)",NA,"17/07/2013","USD",7.2e+07,2013-07-17
