"","x","y","nome"
"451",53,23,"bolha 451"
"452",53,39,"bolha 452"
"453",53,42,"bolha 453"
"454",54,1,"bolha 454"
"455",54,5,"bolha 455"
"456",54,17,"bolha 456"
"457",54,18,"bolha 457"
"458",54,20,"bolha 458"
"459",54,23,"bolha 459"
"460",54,39,"bolha 460"
"461",54,42,"bolha 461"
"462",55,1,"bolha 462"
"463",55,2,"bolha 463"
"464",55,3,"bolha 464"
"465",55,4,"bolha 465"
"466",55,5,"bolha 466"
"467",55,18,"bolha 467"
"468",55,20,"bolha 468"
"469",55,21,"bolha 469"
"470",55,22,"bolha 470"
"471",55,23,"bolha 471"
"472",55,39,"bolha 472"
"473",55,42,"bolha 473"
"474",56,2,"bolha 474"
"475",56,3,"bolha 475"
"476",56,4,"bolha 476"
"477",56,21,"bolha 477"
"478",56,22,"bolha 478"
"479",56,39,"bolha 479"
"480",56,42,"bolha 480"
"481",57,42,"bolha 481"
"482",58,2,"bolha 482"
"483",58,3,"bolha 483"
"484",58,4,"bolha 484"
"485",58,5,"bolha 485"
"486",58,6,"bolha 486"
"487",58,34,"bolha 487"
"488",58,35,"bolha 488"
"489",58,36,"bolha 489"
"490",58,37,"bolha 490"
"491",58,38,"bolha 491"
"492",58,42,"bolha 492"
"493",59,1,"bolha 493"
"494",59,2,"bolha 494"
"495",59,3,"bolha 495"
"496",59,4,"bolha 496"
"497",59,5,"bolha 497"
"498",59,6,"bolha 498"
"499",59,7,"bolha 499"
"500",59,17,"bolha 500"
"501",59,18,"bolha 501"
"502",59,19,"bolha 502"
"503",59,20,"bolha 503"
"504",59,21,"bolha 504"
"505",59,22,"bolha 505"
"506",59,23,"bolha 506"
"507",59,33,"bolha 507"
"508",59,34,"bolha 508"
"509",59,35,"bolha 509"
"510",59,36,"bolha 510"
"511",59,37,"bolha 511"
"512",59,38,"bolha 512"
"513",59,39,"bolha 513"
"514",59,42,"bolha 514"
"515",60,1,"bolha 515"
"516",60,7,"bolha 516"
"517",60,17,"bolha 517"
"518",60,18,"bolha 518"
"519",60,19,"bolha 519"
"520",60,20,"bolha 520"
"521",60,21,"bolha 521"
"522",60,22,"bolha 522"
"523",60,23,"bolha 523"
"524",60,33,"bolha 524"
"525",60,39,"bolha 525"
"526",60,42,"bolha 526"
"527",61,1,"bolha 527"
"528",61,7,"bolha 528"
"529",61,17,"bolha 529"
"530",61,20,"bolha 530"
"531",61,23,"bolha 531"
"532",61,33,"bolha 532"
"533",61,39,"bolha 533"
"534",61,42,"bolha 534"
"535",62,1,"bolha 535"
"536",62,7,"bolha 536"
"537",62,17,"bolha 537"
"538",62,20,"bolha 538"
"539",62,23,"bolha 539"
"540",62,33,"bolha 540"
"541",62,39,"bolha 541"
"542",62,42,"bolha 542"
"543",63,1,"bolha 543"
"544",63,2,"bolha 544"
"545",63,3,"bolha 545"
"546",63,4,"bolha 546"
"547",63,5,"bolha 547"
"548",63,6,"bolha 548"
"549",63,7,"bolha 549"
"550",63,17,"bolha 550"
"551",63,20,"bolha 551"
"552",63,23,"bolha 552"
"553",63,33,"bolha 553"
"554",63,34,"bolha 554"
"555",63,35,"bolha 555"
"556",63,36,"bolha 556"
"557",63,37,"bolha 557"
"558",63,38,"bolha 558"
"559",63,39,"bolha 559"
"560",63,42,"bolha 560"
"561",64,2,"bolha 561"
"562",64,3,"bolha 562"
"563",64,4,"bolha 563"
"564",64,5,"bolha 564"
"565",64,6,"bolha 565"
"566",64,17,"bolha 566"
"567",64,23,"bolha 567"
"568",64,34,"bolha 568"
"569",64,35,"bolha 569"
"570",64,36,"bolha 570"
"571",64,37,"bolha 571"
"572",64,38,"bolha 572"
"573",64,42,"bolha 573"
"574",65,42,"bolha 574"
"575",66,1,"bolha 575"
"576",66,2,"bolha 576"
"577",66,3,"bolha 577"
"578",66,4,"bolha 578"
"579",66,5,"bolha 579"
"580",66,6,"bolha 580"
"581",66,7,"bolha 581"
"582",66,17,"bolha 582"
"583",66,18,"bolha 583"
"584",66,19,"bolha 584"
"585",66,20,"bolha 585"
"586",66,21,"bolha 586"
"587",66,22,"bolha 587"
"588",66,23,"bolha 588"
"589",66,42,"bolha 589"
"590",67,1,"bolha 590"
"591",67,2,"bolha 591"
"592",67,3,"bolha 592"
"593",67,4,"bolha 593"
"594",67,5,"bolha 594"
"595",67,6,"bolha 595"
"596",67,7,"bolha 596"
"597",67,17,"bolha 597"
"598",67,18,"bolha 598"
"599",67,19,"bolha 599"
"600",67,20,"bolha 600"
"601",67,21,"bolha 601"
"602",67,22,"bolha 602"
"603",67,23,"bolha 603"
"604",67,33,"bolha 604"
"605",67,42,"bolha 605"
"606",68,2,"bolha 606"
"607",68,3,"bolha 607"
"608",68,4,"bolha 608"
"609",68,18,"bolha 609"
"610",68,19,"bolha 610"
"611",68,20,"bolha 611"
"612",68,33,"bolha 612"
"613",68,42,"bolha 613"
"614",69,3,"bolha 614"
"615",69,4,"bolha 615"
"616",69,5,"bolha 616"
"617",69,19,"bolha 617"
"618",69,20,"bolha 618"
"619",69,21,"bolha 619"
"620",69,33,"bolha 620"
"621",69,34,"bolha 621"
"622",69,35,"bolha 622"
"623",69,36,"bolha 623"
"624",69,37,"bolha 624"
"625",69,38,"bolha 625"
"626",69,39,"bolha 626"
"627",69,42,"bolha 627"
"628",70,4,"bolha 628"
"629",70,5,"bolha 629"
"630",70,6,"bolha 630"
"631",70,20,"bolha 631"
"632",70,21,"bolha 632"
"633",70,22,"bolha 633"
"634",70,33,"bolha 634"
"635",70,34,"bolha 635"
"636",70,35,"bolha 636"
"637",70,36,"bolha 637"
"638",70,37,"bolha 638"
"639",70,38,"bolha 639"
"640",70,39,"bolha 640"
"641",70,42,"bolha 641"
"642",71,1,"bolha 642"
"643",71,2,"bolha 643"
"644",71,3,"bolha 644"
"645",71,4,"bolha 645"
"646",71,5,"bolha 646"
"647",71,6,"bolha 647"
"648",71,7,"bolha 648"
"649",71,17,"bolha 649"
"650",71,18,"bolha 650"
"651",71,19,"bolha 651"
"652",71,20,"bolha 652"
"653",71,21,"bolha 653"
"654",71,22,"bolha 654"
"655",71,23,"bolha 655"
"656",71,33,"bolha 656"
"657",71,42,"bolha 657"
"658",72,1,"bolha 658"
"659",72,2,"bolha 659"
"660",72,3,"bolha 660"
"661",72,4,"bolha 661"
"662",72,5,"bolha 662"
"663",72,6,"bolha 663"
"664",72,7,"bolha 664"
"665",72,17,"bolha 665"
"666",72,18,"bolha 666"
"667",72,19,"bolha 667"
"668",72,20,"bolha 668"
"669",72,21,"bolha 669"
"670",72,22,"bolha 670"
"671",72,23,"bolha 671"
"672",72,33,"bolha 672"
"673",72,42,"bolha 673"
"674",73,42,"bolha 674"
"675",74,42,"bolha 675"
"676",75,1,"bolha 676"
"677",75,17,"bolha 677"
"678",75,33,"bolha 678"
"679",75,34,"bolha 679"
"680",75,35,"bolha 680"
"681",75,36,"bolha 681"
"682",75,37,"bolha 682"
"683",75,38,"bolha 683"
"684",75,39,"bolha 684"
"685",75,42,"bolha 685"
"686",76,1,"bolha 686"
"687",76,17,"bolha 687"
"688",76,33,"bolha 688"
"689",76,34,"bolha 689"
"690",76,35,"bolha 690"
"691",76,36,"bolha 691"
"692",76,37,"bolha 692"
"693",76,38,"bolha 693"
"694",76,39,"bolha 694"
"695",76,42,"bolha 695"
"696",77,1,"bolha 696"
"697",77,2,"bolha 697"
"698",77,3,"bolha 698"
"699",77,4,"bolha 699"
"700",77,5,"bolha 700"
"701",77,6,"bolha 701"
"702",77,7,"bolha 702"
"703",77,17,"bolha 703"
"704",77,18,"bolha 704"
"705",77,19,"bolha 705"
"706",77,20,"bolha 706"
"707",77,21,"bolha 707"
"708",77,22,"bolha 708"
"709",77,23,"bolha 709"
"710",77,33,"bolha 710"
"711",77,36,"bolha 711"
"712",77,39,"bolha 712"
"713",77,42,"bolha 713"
"714",78,1,"bolha 714"
"715",78,2,"bolha 715"
"716",78,3,"bolha 716"
"717",78,4,"bolha 717"
"718",78,5,"bolha 718"
"719",78,6,"bolha 719"
"720",78,7,"bolha 720"
"721",78,17,"bolha 721"
"722",78,18,"bolha 722"
"723",78,19,"bolha 723"
"724",78,20,"bolha 724"
"725",78,21,"bolha 725"
"726",78,22,"bolha 726"
"727",78,23,"bolha 727"
"728",78,33,"bolha 728"
"729",78,36,"bolha 729"
"730",78,39,"bolha 730"
"731",78,42,"bolha 731"
"732",79,1,"bolha 732"
"733",79,17,"bolha 733"
"734",79,33,"bolha 734"
"735",79,36,"bolha 735"
"736",79,39,"bolha 736"
"737",79,42,"bolha 737"
"738",80,1,"bolha 738"
"739",80,17,"bolha 739"
"740",80,33,"bolha 740"
"741",80,39,"bolha 741"
"742",80,42,"bolha 742"
"743",82,2,"bolha 743"
"744",82,3,"bolha 744"
"745",82,4,"bolha 745"
"746",82,5,"bolha 746"
"747",82,6,"bolha 747"
"748",82,19,"bolha 748"
"749",82,20,"bolha 749"
"750",82,21,"bolha 750"
"751",82,22,"bolha 751"
"752",82,23,"bolha 752"
"753",82,33,"bolha 753"
"754",82,34,"bolha 754"
"755",82,35,"bolha 755"
"756",83,1,"bolha 756"
"757",83,2,"bolha 757"
"758",83,3,"bolha 758"
"759",83,4,"bolha 759"
"760",83,5,"bolha 760"
"761",83,6,"bolha 761"
"762",83,7,"bolha 762"
"763",83,18,"bolha 763"
"764",83,19,"bolha 764"
"765",83,20,"bolha 765"
"766",83,21,"bolha 766"
"767",83,22,"bolha 767"
"768",83,23,"bolha 768"
"769",83,33,"bolha 769"
"770",83,34,"bolha 770"
"771",84,1,"bolha 771"
"772",84,7,"bolha 772"
"773",84,17,"bolha 773"
"774",84,18,"bolha 774"
"775",84,21,"bolha 775"
"776",85,1,"bolha 776"
"777",85,7,"bolha 777"
"778",85,17,"bolha 778"
"779",85,21,"bolha 779"
"780",85,33,"bolha 780"
"781",85,34,"bolha 781"
"782",85,35,"bolha 782"
"783",86,1,"bolha 783"
"784",86,7,"bolha 784"
"785",86,17,"bolha 785"
"786",86,18,"bolha 786"
"787",86,21,"bolha 787"
"788",86,33,"bolha 788"
"789",86,34,"bolha 789"
"790",87,1,"bolha 790"
"791",87,2,"bolha 791"
"792",87,3,"bolha 792"
"793",87,4,"bolha 793"
"794",87,5,"bolha 794"
"795",87,6,"bolha 795"
"796",87,7,"bolha 796"
"797",87,18,"bolha 797"
"798",87,19,"bolha 798"
"799",87,20,"bolha 799"
"800",87,21,"bolha 800"
"801",87,22,"bolha 801"
"802",87,23,"bolha 802"
"803",88,2,"bolha 803"
"804",88,3,"bolha 804"
"805",88,4,"bolha 805"
"806",88,5,"bolha 806"
"807",88,6,"bolha 807"
"808",88,19,"bolha 808"
"809",88,20,"bolha 809"
"810",88,21,"bolha 810"
"811",88,22,"bolha 811"
"812",88,23,"bolha 812"
"813",89,38,"bolha 813"
"814",89,39,"bolha 814"
"815",90,38,"bolha 815"
"816",90,39,"bolha 816"
"817",92,38,"bolha 817"
"818",92,39,"bolha 818"
"819",93,38,"bolha 819"
"820",93,39,"bolha 820"
"821",95,38,"bolha 821"
"822",95,39,"bolha 822"
"823",96,38,"bolha 823"
"824",96,39,"bolha 824"
"825",96,39,"bolha 824"
