Relatório de Percentual Vincendo Garantias
Data de Emissão: 13/01/2022 08:23
Tipo de Dívida: Interna - Externa
Selecionar mutuário(s) por: Não Informado
Credor(es): Não Informado
Selecionar operação de crédito por: Não Informado
Posição: Estatística
Mês de Referência: 12/2021
Base de Cálculo: Valor Desembolsado/Tranches Efetivas
Tipo de Cálculo: Valor Corrente
Tipo Percentual Vincendo: Tipo de Mutuário

Agrupador;Até 12 meses (R$);Até 12 meses (%);De 1 a 2 anos (R$);De 1 a 2 anos (%);De 2 a 3 anos (R$);De 2 a 3 anos (%);De 3 a 4 anos (R$);De 3 a 4 anos (%);De 4 a 5 anos (R$);De 4 a 5 anos (%);Acima de 5 anos (R$);Acima de 5 anos (%);Total (R$);Total (%);
Itajaí;254.620,53;0,1429315644382184%;16.299.618,15;9,149811768615355%;16.274.682,08;9,135813873410122%;16.248.341,17;9,121027369450577%;16.222.702,68;9,106635169868188%;112.841.603,35;63,34378025421754%;178.141.567,96;100%;
Itapipoca;5.907.361,76;14,84871272731679%;5.591.210,95;14,05403775278154%;5.281.582,39;13,27575707074443%;4.944.706,09;12,42898661608695%;4.593.311,72;11,54572361881176%;13.465.489,61;33,84678221425854%;39.783.662,52;100%;
Itatiaia;4.867.989,90;18,64909862561064%;4.552.100,48;17,43893733329429%;4.256.920,88;16,30811463527097%;3.940.648,37;15,0964857385965%;3.623.517,20;13,88156734556835%;4.861.907,28;18,62579632165925%;26.103.084,11;100%;
Ituiutaba;4.581.841,59;16,68161436985738%;4.351.074,79;15,84143631233401%;4.087.835,35;14,88303154456525%;3.802.198,84;13,84308330188235%;3.514.030,28;12,79391634640995%;7.129.435,10;25,95691812495106%;27.466.415,95;100%;
Itá;542.471,15;10,4037575299929%;521.350,46;9,998695366546709%;499.102,60;9,572015826074874%;475.305,22;9,115618888893786%;451.333,59;8,65588010625308%;2.724.621,84;52,25403228223865%;5.214.184,86;100%;
Ivinhema;583.647,08;5,777537960000168%;579.997,03;5,741406018020952%;576.111,74;5,702945429028356%;571.986,81;5,662112637305413%;567.607,47;5,618761434229494%;7.222.653,25;71,49723652141562%;10.102.003,38;100%;
Jacareí;914.133,34;1,611814637789693%;913.070,24;1,609940162736158%;918.087,11;1,618785988774937%;5.308.267,31;9,359622472098565%;5.225.032,88;9,212862183668344%;43.435.954,24;76,5869745549323%;56.714.545,12;100%;
Jaguaré;1.420.640,19;16,24391313994878%;1.344.201,32;15,36989424794782%;1.265.591,43;14,47105143462369%;1.179.824,01;13,49036784526423%;1.092.327,81;12,48991700424192%;2.443.092,33;27,93485632797357%;8.745.677,09;100%;
Jandira;4.477.080,54;14,33172421493834%;4.311.615,66;13,80204935065326%;4.087.009,24;13,08305463086102%;3.829.543,69;12,25887351004352%;3.567.195,25;11,41906161550492%;10.966.508,26;35,10523667799895%;31.238.952,64;100%;
Jaquirana;264.694,87;5,905197887150191%;262.989,31;5,867147775682568%;261.178,12;5,826741116644455%;259.255,25;5,783842937842333%;257.213,75;5,738298188574555%;3.177.073,44;70,8787720941059%;4.482.404,74;100%;
Jaraguá do Sul;7.176.254,04;14,98941587001426%;6.732.085,36;14,06165759615091%;6.364.877,19;13,29465075103135%;5.945.431,24;12,41853213197209%;5.517.686,40;11,52507918879664%;16.139.140,72;33,71066446203475%;47.875.474,95;100%;
Jiquiriçá;1.106.059,79;16,76995025451049%;1.042.573,63;15,80738045975293%;979.858,45;14,85650017433665%;912.638,56;13,8373199983593%;843.451,37;12,78831184795057%;1.710.904,61;25,94053726509005%;6.595.486,41;100%;
Joinville;26.263.548,78;8,846203351511993%;30.377.466,53;10,23187111837555%;29.655.954,74;9,988848362071044%;28.867.944,26;9,723427226199604%;28.069.477,10;9,454484025643131%;153.656.237,67;51,75516591619868%;296.890.629,08;100%;
João Pessoa;2.626.281,63;5,135377019161587%;1.539.757,99;3,010811067096577%;1.732.466,51;3,387629338869144%;2.744.167,74;5,365889091156072%;2.717.081,55;5,312925312986309%;39.781.214,76;77,78736817073031%;51.140.970,18;100%;
Lapão;1.057.003,33;16,15616635709058%;997.690,74;15,24958068804647%;939.240,45;14,35617516882243%;876.324,73;13,39451609931303%;811.319,10;12,40091301158437%;1.860.835,90;28,44264867514312%;6.542.414,25;100%;
Linhares;20.221.413,85;18,79109397455409%;18.932.630,86;17,59347038317021%;17.713.147,22;16,46024439562773%;16.396.444,80;15,23667619736633%;15.099.500,43;14,03146850431281%;19.248.553,13;17,88704654496883%;107.611.690,29;100%;
Maceió;3.036.881,15;1,69369698213889%;16.041.851,56;8,94669044756396%;15.796.405,03;8,809802625286995%;15.548.878,38;8,671754700657495%;15.276.737,83;8,519979374101625%;113.604.114,75;63,35807587025103%;179.304.868,70;100%;
Manaus;366.436.885,12;11,16985289252552%;392.775.665,25;11,97272048410088%;341.283.093,52;10,40310652153932%;323.471.251,80;9,860159946463524%;304.208.734,09;9,272993375909614%;1.552.412.652,32;47,32116677946114%;3.280.588.282,10;100%;
Maracanaú;1.034.227,59;2,858249056166227%;672.419,83;1,858336949263706%;1.907.316,40;5,271165991723704%;1.879.604,70;5,194580391865784%;1.861.553,13;5,144692066110697%;28.828.834,67;79,67297554486988%;36.183.956,32;100%;
Maratá;466.149,96;14,93738956496787%;439.031,08;14,06838750579014%;414.533,69;13,28338892345636%;387.374,94;12,4131092631351%;359.354,55;11,51521906232433%;1.054.248,04;33,7825056803262%;3.120.692,26;100%;
Maringá;3.991.785,69;8,630342594840965%;3.916.076,45;8,466657284672163%;3.845.948,99;8,315039925398046%;3.771.903,65;8,154952009518103%;3.696.763,52;7,992497129701925%;27.030.444,41;58,4405110558688%;46.252.922,71;100%;
Massaranduba;471.795,79;5,931391385924344%;468.738,28;5,892952534071983%;465.492,20;5,852142990286056%;462.045,91;5,808816417110408%;458.387,05;5,762817425287478%;5.627.758,58;70,75187924731973%;7.954.217,81;100%;
Mauá;69.675.701,28;7,643312107276966%;69.675.701,28;7,643312107276966%;69.675.701,26;7,643312105082998%;69.675.701,23;7,643312101792046%;69.675.701,22;7,643312100695062%;563.211.918,17;61,78343947787596%;911.590.424,44;100%;
Mineiros;1.305.395,23;5,879237957360074%;1.297.030,32;5,841564082619548%;1.288.147,23;5,801556429223537%;1.278.716,25;5,759081189298611%;1.268.703,61;5,713986269546697%;15.765.484,06;71,00457407195153%;22.203.476,70;100%;
Mogi das Cruzes;5.592.641,23;16,16610965739485%;5.231.243,70;15,12145260545454%;4.883.823,98;14,11719986338093%;4.535.013,62;13,10892733212196%;4.536.320,12;13,11270390590862%;9.815.806,38;28,37360663573909%;34.594.849,03;100%;
Monte Castelo;2.645,44;14,67986839703078%;2.501,29;13,87996251013408%;2.366,68;13,13299524384783%;2.217,40;12,3046223628493%;2.065,31;11,46065644999381%;6.224,75;34,5418950361442%;18.020,87;100%;
Morro Grande;230.450,69;6,093409254226609%;228.908,82;6,052640250988587%;227.269,89;6,009304857941903%;225.529,84;5,963295723524397%;223.682,45;5,914448383027539%;2.646.124,70;69,96690153029097%;3.781.966,39;100%;
Morro da Fumaça;501.220,32;6,109935267823683%;497.452,84;6,06400923888132%;493.452,95;6,015250104418425%;489.206,37;5,963483789537905%;484.697,88;5,908524760630956%;5.737.335,11;69,93879683870771%;8.203.365,47;100%;
Muriaé;9.732.934,23;17,01343973963666%;9.127.309,11;15,9547901854076%;8.572.266,89;14,98456094725892%;7.969.746,17;13,93133797057365%;7.356.837,08;12,85995583419292%;14.448.234,25;25,25591532293026%;57.207.327,73;100%;
Natal;27.301.692,28;8,416470192238532%;27.010.899,16;8,32682550642611%;26.702.170,48;8,231651708917132%;26.374.400,11;8,130607805824543%;26.026.413,62;8,023331747976208%;190.968.538,55;58,87111303861747%;324.384.114,20;100%;
Niterói;59.517.908,03;12,54560721193212%;58.476.734,67;12,32614129912645%;57.445.855,94;12,10884536152064%;56.399.608,63;11,88830992551062%;55.388.023,85;11,67508090366644%;187.184.203,21;39,45601529824373%;474.412.334,33;100%;
Nova Alvorada do Sul;2.003.051,13;7,941007731687913%;1.949.237,88;7,727667478951951%;1.893.248,99;7,505701997532301%;1.832.353,95;7,264286301138447%;1.768.664,27;7,011791377901651%;15.777.586,58;62,54954511278774%;25.224.142,80;100%;
Nova Santa Rita;584.816,79;14,82040128003841%;550.921,95;13,96143974077977%;520.346,26;13,18659195432333%;486.401,73;12,32637117327787%;451.347,71;11,43803374562212%;1.352.190,90;34,2671621059585%;3.946.025,34;100%;
Novo Hamburgo;7.133.176,01;6,762144876149628%;7.060.807,98;6,693541058919336%;6.989.457,38;6,625901750212554%;6.916.284,86;6,556535288414992%;6.844.842,96;6,488809428664702%;70.542.316,12;66,87306759763879%;105.486.885,31;100%;
Não-Me-Toque;3.444,45;100%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;3.444,45;100%;
Osasco;53.482.553,44;15,091617939543%;50.313.632,48;14,19741709584952%;47.466.723,76;13,39408113023984%;44.265.554,37;12,49078047822745%;41.087.168,74;11,59390890970172%;117.770.183,59;33,23219444643847%;354.385.816,38;100%;
Osório;2.378.092,16;14,35027662299555%;2.258.144,86;13,6264708075046%;2.139.399,82;12,90991986794443%;2.002.789,90;12,08556571783223%;1.863.414,90;11,24452606513433%;5.929.909,71;35,78324091858885%;16.571.751,35;100%;
Ouro Preto;9.343.898,67;14,56089349094728%;8.859.947,12;13,80673644973775%;8.341.125,46;12,99824021076297%;7.820.903,82;12,18756233857603%;7.261.367,52;11,31561918547046%;22.543.947,70;35,13094832450551%;64.171.190,29;100%;
Palmas;12.809.195,41;5,893245272425039%;23.986.636,42;11,0357541718183%;23.238.939,63;10,69175437855768%;22.379.995,68;10,29657207314419%;21.552.931,00;9,91605675899772%;113.386.150,51;52,16661734505707%;217.353.848,65;100%;
Panambi;1.162.536,19;5,878620067456807%;1.155.215,71;5,841602449423414%;1.147.303,89;5,80159459055228%;1.138.904,06;5,759119001726761%;1.129.986,19;5,714023829643584%;14.041.718,60;71,00504006119715%;19.775.664,64;100%;
Paranaguá;10.995.791,69;10,37941070203186%;10.529.173,92;9,938949695472341%;10.165.915,81;9,596054411455382%;9.754.682,99;9,207873691660867%;9.332.824,36;8,809662803130793%;55.160.108,18;52,06804869624875%;105.938.496,95;100%;
Paranavaí;758.815,72;14,71967981565352%;714.877,81;13,86736225037035%;676.488,60;13,12267962890873%;634.665,98;12,31139493985175%;590.934,21;11,46307612514427%;1.779.327,91;34,51580724007137%;5.155.110,23;100%;
Paranã;832.019,26;16,09776125200257%;781.941,03;15,12885652921662%;736.986,67;14,25908753550778%;686.454,88;13,28140741418903%;635.215,27;12,29003251689913%;1.495.923,08;28,94285475218487%;5.168.540,19;100%;
Parauapebas;2.590.307,04;2,07238389631405%;2.263.917,39;1,811254754425303%;1.934.211,24;1,547472235509822%;1.600.961,19;1,280854407429545%;4.026.993,17;3,221809487138894%;112.575.270,28;90,06622521918239%;124.991.660,31;100%;
Paraíso das Águas;533.008,92;5,957753030607389%;529.540,82;5,918988044675354%;525.853,27;5,877770137500336%;521.938,30;5,834010223722088%;517.781,82;5,787550811154173%;6.318.352,45;70,62392775234066%;8.946.475,58;100%;
Passo Fundo;3.158.846,65;7,920231893061988%;3.125.995,65;7,837864001629532%;3.093.532,99;7,756469801925147%;3.060.385,87;7,673359443596371%;3.027.881,80;7,591861415868966%;24.416.616,68;61,220213443918%;39.883.259,64;100%;
Passos Maia;233.175,76;5,96616015225893%;231.432,89;5,92156614495488%;229.582,45;5,874219793892719%;227.617,89;5,823953507256742%;225.532,17;5,770587155828234%;2.760.964,25;70,64351324580849%;3.908.305,41;100%;
Paty do Alferes;305.386,06;14,93982977962858%;287.610,24;14,07021665782034%;270.780,96;13,24690933818136%;253.870,71;12,41964087500736%;235.752,14;11,53326003742006%;690.706,58;33,79014331194229%;2.044.106,69;100%;
Pelotas;8.879.953,32;40,20721365568797%;8.862.259,23;40,12709723711731%;4.343.260,46;19,66568910719472%;0,00;0,00%;0,00;0,00%;0,00;0,00%;22.085.473,01;100%;
Pinhalzinho;919.140,99;14,93879493857126%;865.621,43;14,06894173787508%;818.481,46;13,302775988657%;764.497,65;12,42537733451494%;709.519,91;11,53182433994543%;2.075.450,30;33,73228566043629%;6.152.711,74;100%;
Pinheiro Preto;367.632,59;15,18576341755992%;346.050,27;14,2942646374271%;326.012,48;13,46656560685217%;304.577,49;12,58115257261121%;283.035,94;11,69133787487852%;793.594,15;32,78091589067107%;2.420.902,92;100%;
Piraquara;5.185.151,31;16,15689614358383%;4.894.136,78;15,25009685145597%;4.607.353,71;14,35648275984942%;4.298.661,06;13,3945985662833%;3.979.714,21;12,40076235540266%;9.127.479,31;28,44116332342483%;32.092.496,38;100%;
Piripiri;921.493,44;14,66795229199194%;868.785,47;13,82896857728667%;818.950,07;13,03570924637669%;768.874,71;12,23863033121445%;715.083,29;11,38240070653204%;2.189.172,15;34,84633884659822%;6.282.359,13;100%;
Pojuca;1.471.830,49;16,34548217094606%;1.385.358,65;15,3851651177174%;1.303.513,59;14,47623098562858%;1.215.486,12;13,49863781086123%;1.124.487,17;12,48804472632755%;2.503.833,45;27,80643918851917%;9.004.509,47;100%;
Pomerode;3.206.456,55;16,84757746619908%;3.009.139,43;15,81082071844047%;2.820.436,60;14,81932574667296%;2.631.112,75;13,82456777027872%;2.431.620,58;12,77638273001203%;4.933.386,08;25,92132556839675%;19.032.151,99;100%;
Ponta Grossa;2.418.522,23;7,920232045254589%;2.393.370,32;7,837863993760037%;2.368.515,82;7,756469907351834%;2.343.137,22;7,673359486248242%;2.318.250,98;7,591861456960375%;18.694.205,61;61,22021311042492%;30.536.002,18;100%;
Ponta Porã;3.395.150,94;3,997229468825068%;3.233.113,71;3,806457393518517%;4.947.742,01;5,825149018710718%;6.722.900,37;7,915104792053502%;6.613.447,01;7,786241538611839%;60.025.250,03;70,66981778828036%;84.937.604,07;100%;
Ponte Nova;2.050.142,02;16,57943914138623%;1.939.898,52;15,68790314965849%;1.823.277,00;14,74478829490518%;1.696.559,10;13,72002430749407%;1.568.636,06;12,68551438780513%;3.287.056,50;26,5823307187509%;12.365.569,20;100%;
Ponte Serrada;604.266,81;14,97172311032608%;572.925,33;14,19518540767148%;539.930,52;13,37768368289891%;504.622,43;12,50286656852774%;469.165,60;11,62436417133352%;1.345.143,18;33,32817705924227%;4.036.053,87;100%;
Porto Alegre;108.205.991,66;14,08352202840586%;104.044.883,71;13,54193413130919%;80.639.560,01;10,49562045815635%;59.409.841,09;7,732472045763855%;58.445.654,76;7,606978630753062%;357.570.342,51;46,53947270561168%;768.316.273,74;100%;
Prudentópolis;1.118.802,67;5,777537982178895%;1.111.805,80;5,741405889125016%;1.104.358,03;5,70294533194961%;1.096.450,87;5,662112467981591%;1.088.056,05;5,618761309905114%;13.845.222,64;71,49723701885977%;19.364.696,06;100%;
Recife;42.182.924,78;6,724487109233941%;43.277.119,04;6,898915393539546%;39.259.008,48;6,258378190272703%;34.667.250,30;5,526394363850853%;35.843.176,88;5,713851804743256%;432.073.749,67;68,8779731383597%;627.303.229,15;100%;
Ribeirão Preto;26.061.333,36;8,601456259127588%;25.488.133,80;8,412273653810145%;24.440.443,10;8,06648682837564%;19.031.303,25;6,281218239981398%;18.851.681,95;6,221934828276571%;189.114.558,93;62,41663019042866%;302.987.454,39;100%;
Rio Branco;12.605.026,72;16,63095849340176%;11.837.334,34;15,61807209569004%;11.117.895,15;14,66885052137698%;10.336.815,37;13,63830090892718%;9.356.639,45;12,34506564621352%;20.538.834,09;27,09875233439054%;75.792.545,12;100%;
Rio Grande;2.965.806,12;22,47947825810125%;2.943.678,70;22,31176235332799%;2.921.703,36;22,14519914664596%;2.899.423,89;21,97633077116799%;1.462.781,86;11,08722947075681%;0,00;0,00%;13.193.393,93;100%;
Rio Paranaíba;3.141,55;21,87900888239497%;2.040,22;14,2089069096592%;1.923,04;13,39281858993199%;1.791,54;12,47700007103687%;1.658,55;11,55080459706074%;3.803,84;26,49146094991622%;14.358,74;100%;
Rio de Janeiro;827.606.989,33;10,09761757568945%;802.924.729,35;9,796469778008869%;778.383.091,68;9,497037710532719%;662.133.576,07;8,078679519842206%;501.845.397,27;6,123006413774755%;4.623.168.140,08;56,407189002152%;8.196.061.923,78;100%;
Rio do Campo;106.262,38;15,06372033549468%;100.049,62;14,18300150394256%;94.423,79;13,38548567778624%;88.197,41;12,50283607947575%;81.779,77;11,59307352593719%;234.706,26;33,27188287736358%;705.419,23;100%;
Roca Sales;500.913,36;15,28243017413848%;471.591,44;14,38784394275572%;443.752,95;13,53851586817921%;415.822,96;12,68639620832548%;385.970,73;11,77563068089511%;1.059.656,06;32,329183125706%;3.277.707,50;100%;
Salvador;29.561.548,69;2,302865718224467%;65.317.661,89;5,088292428060127%;64.992.240,43;5,062941864323862%;68.871.440,89;5,365134345750808%;67.626.199,91;5,268129185640901%;987.316.207,60;76,91263645799983%;1.283.685.299,41;100%;
Salvador do Sul;177.078,78;5,703605419153049%;175.988,32;5,66848233119542%;174.828,81;5,631135182544621%;173.597,77;5,591484093830354%;172.290,77;5,549386377306482%;2.230.897,01;71,85590659597007%;3.104.681,46;100%;
Santa Helena;201.089,77;15,05916459651282%;189.343,79;14,1795343390047%;178.206,81;13,3455107338851%;167.033,23;12,50874623635594%;155.059,75;11,61207901100155%;444.598,16;33,29496508323989%;1.335.331,51;100%;
Santa Maria;5.437.394,27;20,34849668361611%;5.398.277,04;20,20210729461798%;5.358.174,94;20,05203220196592%;5.317.411,06;19,8994805134544%;5.210.098,84;19,49788330634559%;0,00;0,00%;26.721.356,15;100%;
Santa Rosa;1.613.771,98;18,85187752440944%;1.508.579,18;17,62302871142553%;1.410.051,37;16,47203945774653%;1.303.668,24;15,22928536219994%;1.198.881,35;14,00517833783348%;1.525.319,81;17,81859060638509%;8.560.271,93;100%;
Santa Vitória;156.205,79;6,106579760773871%;154.947,45;6,057387259163193%;153.611,52;6,0051615183644%;152.193,17;5,949713718358436%;150.687,36;5,890846829560199%;1.790.346,19;69,9903109137799%;2.557.991,48;100%;
Santo André;6.434.441,11;4,226376373019422%;5.893.621,36;3,871146171299187%;8.045.649,46;5,284676975362118%;12.170.217,50;7,993844192088269%;11.789.796,31;7,743969633952492%;107.911.141,78;70,87998665427851%;152.244.867,52;100%;
Santos;5.509.057,71;5,774908599734221%;5.488.470,96;5,753328393848961%;5.464.402,05;5,728097989184126%;5.438.126,09;5,700554028790531%;5.412.953,62;5,674166809572319%;68.083.438,10;71,36894417886984%;95.396.448,53;100%;
Schroeder;481.172,81;5,82791702482161%;478.129,61;5,791058090315445%;474.891,09;5,751833459473929%;471.452,81;5,710189355460438%;467.802,46;5,665976680784249%;5.882.894,06;71,25302538914433%;8.256.342,84;100%;
Serafina Corrêa;211.372,91;5,652342140081888%;210.202,81;5,621052389952082%;208.833,05;5,584423513669882%;207.378,81;5,545535550052441%;205.834,84;5,504248108374024%;2.695.940,84;72,09239829786968%;3.739.563,26;100%;
Serra;30.940.436,04;22,63384222230492%;28.758.231,79;21,03749540199866%;26.675.756,11;19,51410297430399%;24.490.115,84;17,91524260394782%;22.319.986,57;16,32772898792491%;3.515.357,55;2,571587809519712%;136.699.883,90;100%;
Sete Lagoas;5.221.657,89;7,531648630556027%;5.177.407,78;7,467822871112516%;5.130.428,42;7,400060478427614%;5.080.551,48;7,32811865558879%;5.027.598,30;7,2517397058314%;43.691.903,30;63,02060965848365%;69.329.547,17;100%;
Sidrolândia;793,69;5,515512705227329%;789,00;5,48292094448004%;784,05;5,448522391026078%;778,76;5,411761108648005%;773,13;5,372637097345822%;10.471,51;72,76864575327273%;14.390,14;100%;
Sobral;2.374.227,85;1,670074251933695%;2.387.308,99;1,679275759320587%;13.546.220,22;9,528653115767969%;13.322.651,60;9,371390957545729%;13.115.731,63;9,225839756927856%;97.416.871,16;68,52476615850416%;142.163.011,45;100%;
Sonora;304.721,71;5,956101409961883%;302.828,25;5,919091773281561%;300.719,43;5,877872702361554%;298.480,55;5,834111474043639%;296.103,62;5,787651915502894%;3.613.273,40;70,62517072484847%;5.116.126,96;100%;
Sorocaba;3.152.470,50;3,483719280670293%;9.230.574,68;10,20048593139349%;9.104.327,67;10,0609733989641%;8.974.764,79;9,917796578399027%;8.844.128,26;9,773433293057938%;51.185.253,25;56,56359151751515%;90.491.519,15;100%;
Suzano;6.174.672,73;14,8438319143487%;5.805.433,31;13,95618521203811%;5.491.527,44;13,2015596351118%;5.130.904,80;12,33462755842688%;4.758.651,56;11,43973567253227%;14.236.375,84;34,22406000754225%;41.597.565,68;100%;
São Bento do Sul;43.888,90;100%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;43.888,90;100%;
São Bernardo do Campo;249.521.456,45;10,16847052879466%;241.769.848,63;9,85257787254833%;234.574.368,87;9,559348484899416%;226.713.114,80;9,238987536917453%;207.712.883,38;8,464692227875511%;1.293.582.347,01;52,71592334896463%;2.453.874.019,14;100%;
São Caetano do Sul;11.029.102,09;14,91815424670753%;10.390.580,41;14,05447877844402%;9.786.057,28;13,23679033695073%;9.178.626,14;12,41516847083439%;8.527.793,20;11,53484057935886%;25.018.582,63;33,84056758770447%;73.930.741,75;100%;
São Gabriel do Oeste;362.969,62;5,802643524541996%;360.685,29;5,766124896116793%;358.255,76;5,727285016012832%;355.676,34;5,686048907161424%;352.937,81;5,642269173278285%;4.464.721,06;71,37562848288867%;6.255.245,88;100%;
São Gonçalo do Amarante;2.139.853,32;1,987671102167627%;2.176.177,47;2,021411949071004%;2.182.139,56;2,02695002679379%;10.617.995,04;9,862863826557605%;10.410.740,01;9,670348372316151%;80.129.402,41;74,43075472309382%;107.656.307,81;100%;
São José dos Campos;36.513.787,57;10,50347417385524%;36.138.828,43;10,39561426927288%;35.749.305,29;10,28356491714074%;35.351.133,49;10,16902771088571%;34.961.481,10;10,05694117898868%;168.920.798,54;48,59137774985675%;347.635.334,42;100%;
São Luís;10.057.800,14;5,982628626742543%;9.993.476,07;5,94436707677993%;9.938.823,48;5,911858362656722%;9.881.914,62;5,87800756325604%;9.826.752,93;5,845196023843855%;118.417.971,53;70,43794234672091%;168.116.738,77;100%;
São Paulo;193.825.076,77;14,46871727116868%;182.963.219,14;13,65789779565445%;170.275.628,71;12,71079042521915%;155.815.913,89;11,6313969378606%;161.013.329,75;12,01937532472467%;475.721.623,69;35,51182224537245%;1.339.614.791,95;100%;
São Sebastião do Caí;189.962,40;5,538051944696655%;188.837,02;5,505243278889513%;187.639,90;5,470343147368563%;186.368,94;5,433290327970453%;185.019,62;5,393953047276915%;2.492.302,46;72,6591182537979%;3.430.130,34;100%;
Tanguá;3.246.990,56;16,21234521959866%;3.052.154,34;15,23952069130016%;2.876.941,14;14,3646746352554%;2.680.339,28;13,3830342004476%;2.481.110,72;12,38827855436912%;5.690.353,30;28,41214669902905%;20.027.889,34;100%;
Tapejara;2.338.754,46;8,902874663217741%;2.257.399,34;8,59318228252591%;2.177.370,83;8,288539872987087%;2.096.544,28;7,980859585715587%;2.011.122,55;7,655686948437013%;15.388.463,55;58,57885664711666%;26.269.655,01;100%;
Taubaté;62.343.462,58;17,46214818098294%;61.206.203,16;17,1436064816544%;60.095.427,91;16,83248288972399%;58.923.894,97;16,50434131800858%;57.794.424,98;16,18798140607644%;56.657.165,62;15,86943972355365%;357.020.579,22;100%;
Teresina;34.581.345,04;8,182958358734821%;37.800.953,43;8,944811934884884%;37.013.970,79;8,7585888089562%;35.776.554,54;8,465779907669699%;37.032.846,71;8,763055404086151%;240.396.321,63;56,88480558566825%;422.601.992,14;100%;
Timbó;3.201.451,59;9,106525555418386%;3.094.572,57;8,802508299618471%;2.984.382,35;8,489072339030614%;2.860.631,64;8,137063579430357%;2.737.221,71;7,786024168168357%;20.277.316,99;57,67880605833381%;35.155.576,85;100%;
Tio Hugo;89.714,16;5,827997529630885%;89.145,47;5,791054376898632%;88.541,66;5,751829764102096%;87.900,59;5,710184672888842%;87.220,01;5,665972939103271%;1.096.843,21;71,25296071737627%;1.539.365,10;100%;
Toledo;8.453.985,12;10,44184874361618%;8.287.522,03;10,23624364939111%;8.126.684,08;10,03758638630223%;7.944.058,68;9,812018588810956%;7.767.122,58;9,593477868989421%;40.383.159,41;49,8788247628901%;80.962.531,90;100%;
Ubaíra;1.217.677,02;16,83071412259807%;1.142.785,20;15,79556047196823%;1.074.113,63;14,84638302668805%;1.000.381,97;13,82726509076395%;924.510,47;12,77857031737265%;1.875.382,30;25,92150697060905%;7.234.850,59;100%;
Uberaba;7.480.010,62;40,21448414126247%;7.465.090,26;40,13426840213001%;3.655.188,99;19,65124745660751%;0,00;0,00%;0,00;0,00%;0,00;0,00%;18.600.289,87;100%;
Uruguaiana;1.094.553,69;15,92103915576231%;1.080.516,83;15,71686333531082%;1.066.328,53;15,51048471549757%;1.051.784,86;15,29893699366906%;1.037.418,80;15,0899727319214%;1.544.285,79;22,46270306783885%;6.874.888,50;100%;
Vale Real;207.379,80;5,853511419688765%;206.057,86;5,816198282699804%;204.654,45;5,776585569882522%;203.164,42;5,734527917108824%;201.582,51;5,689876855385745%;2.519.988,25;71,12929995523434%;3.542.827,29;100%;
Vargeão;489.295,41;14,76192800842777%;462.953,55;13,96720025709226%;437.264,43;13,19216551879406%;408.802,21;12,33346700249277%;379.768,12;11,45751530212793%;1.136.492,87;34,28772391106521%;3.314.576,59;100%;
Veranópolis;23.908,34;5,487135011047441%;24.000,23;5,508224423200905%;23.848,03;5,473293434739079%;23.686,46;5,436211964267481%;23.515,01;5,396862963138833%;316.758,20;72,69827220360626%;435.716,27;100%;
Vila Velha;738.886,00;1,912224573755798%;804.789,36;2,082781363957636%;2.333.819,07;6,039884605140581%;3.800.796,52;9,83639763832245%;3.724.149,86;9,638037367931205%;27.237.685,99;70,49067445089233%;38.640.126,80;100%;
Virmond;94.508,01;6,137841747819809%;203.768,94;13,23381485697339%;193.864,49;12,59056835650011%;182.856,00;11,87561975582111%;171.179,58;11,11729230673951%;693.582,62;45,04486297614607%;1.539.759,64;100%;
Vitória;14.390.346,91;10,51956859633611%;13.210.501,08;9,65708284672842%;12.120.820,40;8,860509231578361%;11.786.294,53;8,615965590016212%;11.658.348,19;8,522434814928028%;73.629.668,48;53,82443892041287%;136.795.979,59;100%;
Viçosa;890.035,82;16,43615420299297%;840.993,47;15,53049669015584%;791.953,70;14,62488682178076%;737.123,16;13,61233969702192%;681.743,80;12,58965759797667%;1.473.259,99;27,20646499007184%;5.415.109,94;100%;
Votuporanga;4.349.922,09;20,26752757322809%;4.067.770,33;18,95290205642146%;3.804.523,23;17,72635874198193%;3.519.706,22;16,39931506532165%;3.235.623,05;15,07569055850547%;2.484.974,74;11,57820600454141%;21.462.519,66;100%;
Água Doce;996.330,31;15,21965156129895%;944.090,43;14,42165037311461%;889.123,25;13,58198774465638%;830.422,08;12,68528577275654%;771.511,59;11,78538628951651%;2.114.863,47;32,30603825865702%;6.546.341,13;100%;
Bancos Federais;2.873.091.949,94;11,08388218759829%;2.788.498.452,72;10,75753539001564%;2.456.503.552,69;9,476757599770245%;2.256.480.033,29;8,705102128101585%;2.091.950.961,51;8,070377977319531%;13.454.825.541,60;51,90634471719471%;25.921.350.491,75;100%;
BNDES;1.801.013.780,71;9,335202273165511%;1.781.849.008,64;9,235865429822738%;1.762.822.486,29;9,137245176832706%;1.743.499.940,21;9,037090542803059%;1.585.362.497,75;8,217416074935743%;10.618.165.266,89;55,03718050244024%;19.292.712.980,49;100%;
Banco do Brasil;54.027.857,58;7,116639015804701%;47.868.350,38;6,305298510719103%;26.649.971,34;3,510378428896441%;21.251.831,47;2,799326491389411%;34.347.289,48;4,524281941747622%;575.031.292,24;75,74407561144272%;759.176.592,49;100%;
