Relatório de Custo Médio de Garantias
Data de Emissão: 13/01/2022 08:13
Tipo de Dívida: Interna - Externa
Selecionar mutuário(s) por: Não Informado
Credor(es): Não Informado
Selecionar operação de crédito por: Não Informado
Tipo de Cálculo: Apropriação
Posição: Estatístico
Data de Referência: 31/12/2021
Tipo de Custo Médio: Tipo de Mutuário

Agrupador;Custo Médio (% a.a.);Valor Financeiro Principal (R$);
Cachoeirinha;10,3438658133473%;24.003.847,18365;
Barra do Piraí;3,2439822907908%;23.494.274,52000007;
Piraquara;4,730495367709%;23.032.342,10000007;
Pelotas;7,6657023661383%;22.016.340,3896;
Eusébio;3,2252246343306%;22.000.000,00000007;
Jandira;4,5542144743909%;21.901.335,92000007;
Timbó;5,197964607791197%;20.484.364,969758187;
Gaspar;0,1668119163816%;20.000.000,00000006;
Ituiutaba;4,8057855372103%;19.966.666,64000006;
Itatiaia;4,885001255257%;19.500.000,00000006;
Guarulhos;1,3706184869006%;18.689.572,97207;
Uberaba;7,6538601366679%;18.542.230,751545;
Camocim;4,7421225071691%;17.441.332,76000005;
Votuporanga;5,1423435618927%;16.666.666,64000005;
Bagé;7,6538601366679%;15.772.793,226295;
Tapejara;5,0912261622361%;15.204.426,844127966;
Feira de Santana;0,0340230344001%;15.000.000,00000004;
Tanguá;4,8569035986348%;14.362.619,98000004;
Gurupi;5,6515328%;14.347.640,32600129;
Aquidauana;5,759919%;14.340.254,64548713;
Nova Alvorada do Sul;5,316545832068209%;14.087.183,603753682;
Pomerode;4,7554571228629%;13.813.932,08000004;
Camboriú;4,747470071115121%;13.703.412,6600000422;
Rio Grande;8,2738619994954%;12.943.643,62558;
Mineiros;5,54398034%;11.621.966,78440908;
Osório;3,679097058971%;11.395.197,75000003;
Panambi;5,2869105066667%;10.351.598,00752763;
Prudentópolis;5,759919%;10.037.385,47140869;
Araquari;5,3794556466667%;9.987.135,679563009;
Costa Rica;5,759919%;9.912.815,274414883;
Ponte Nova;4,8057855372103%;8.955.659,200000027;
Carandaí;4,5924886042128%;8.000.582,540000024;
Candeias;4,8219303985519%;6.642.005,87000002;
Uruguaiana;8,9603831865521%;6.546.998,346635;
Pojuca;4,8277043921039%;6.472.968,750000019;
Castro;5,82161576%;6.432.740,410991342;
Santa Rosa;4,8362411342233%;6.416.666,690000019;
Jaguaré;4,7407622042799%;6.335.142,090000019;
Ubaíra;4,8931626077106%;5.250.306,200000016;
Ivinhema;5,6262426866667%;5.236.214,467798414;
Fortim;1,0751286705437%;5.000.000,000000015;
Capinzal;3,6782349952874%;4.973.174,253600219;
Betim;8,155737997725%;4.878.174,32003;
Jiquiriçá;4,7385382316294%;4.789.583,360000014;
Paraíso das Águas;5,759919%;4.717.511,078991671;
Lapão;4,7288867780716%;4.695.833,320000014;
Água Doce;4,8282062626379%;4.583.333,300000014;
Concórdia;5,694122601053377%;4.413.612,387846218;
Piripiri;4,575685195417%;4.349.935,950000013;
Schroeder;5,759919%;4.300.502,886199158;
Morro da Fumaça;5,5181344%;4.261.554,353194211;
Pinhalzinho;4,8772459735992%;4.249.999,980000013;
Massaranduba;5,759919%;4.183.977,616466677;
Barrocas;4,8300866529581%;4.114.371,370000012;
Caarapó;5,705485705335421%;4.083.392,040227074;
Viçosa;4,7327757506031%;3.907.470,020000012;
Guarda-Mor;4,8280808375884%;3.724.557,280000011;
Paranã;4,9060766455625%;3.681.250,010000011;
Campinas;10,4680998431287%;3.649.356,869805;
Paranavaí;4,6437911729541%;3.613.268,510000011;
São Gabriel do Oeste;5,48228358%;3.250.231,42976329;
Abdon Batista;4,8040823403246%;3.189.690,80000001;
Itá;5,006223024630325%;3.142.570,862833944;
Barracão;4,8219303985518%;2.957.195,090000009;
Abelardo Luz;4,4909070738773%;2.836.620,200000009;
Ponte Serrada;4,8326649642198%;2.808.202,320000008;
Barão;3,5531876030232%;2.781.977,255605402;
Correia Pinto;5,1200574068525%;2.736.150,751087293;
Nova Santa Rita;4,8907250163749%;2.725.692,400000008;
Sonora;5,8318985533333%;2.698.045,654544812;
Cotiporã;6,0684028%;2.520.021,223503457;
Jaquirana;5,759919%;2.351.990,867491465;
Capitólio;4,7509477265245%;2.319.779,540000007;
Doutor Pedrinho;4,8332615936471%;2.312.477,870000007;
