Relatório de Estoque de Garantias;;;;;;;;;;;;;;;;;;;;;;;;;
Data de Emissão: 11/05/2022 08:42;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Dívida: Interna - Externa;;;;;;;;;;;;;;;;;;;;;;;;;
Selecionar mutuário(s) por: Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Credor(es): Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Selecionar operação de crédito por: Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Cálculo: Apropriação;;;;;;;;;;;;;;;;;;;;;;;;;
Posição: Estatístico;;;;;;;;;;;;;;;;;;;;;;;;;
Data de Referência: 30/04/2022;;;;;;;;;;;;;;;;;;;;;;;;;
Detalhamento: Por tranche;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Nome do Contrato;CADIP/ROF;Inscrição Genérica;Tipo de Dívida;Mutuário;Tipo Mutuário;UF;Região;Agrupador de Tipo Mutuário;CAPAG;Credor;Classificação de Credor;Contragarantia;Moeda;Indexador;Tipo de Indexador de Juros;Indexador de Juros;Saldo Principal (Moeda de Origem);Saldo Juros (Moeda de Origem);Saldo Estoque (Moeda de Origem);Saldo Principal (USD);Saldo Juros (USD);Saldo Estoque (USD);Saldo Principal (BRL);Saldo Juros (BRL);Saldo Estoque (BRL)
AFD CBR 1045;TA612684;12241;Externa;CEEE-D-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,02%;17.677.707,17;61.194,33;17.738.901,50;17.677.707,17;61.194,33;17.738.901,50;86.958.409,34;301.021,03;87.259.430,37
AFD CBR 1045;TA612684;12241;Externa;CEEE-D-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,81%;9.734.086,62;40.318,05;9.774.404,67;9.734.086,62;40.318,05;9.774.404,67;47.882.945,49;198.328,52;48.081.274,01
AFD CBR 1045;TA612684;12241;Externa;CEEE-D-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,70%;10.555.445,64;42.720,23;10.598.165,87;10.555.445,64;42.720,23;10.598.165,87;51.923.292,65;210.145,08;52.133.437,73
AFD CBR 1045;TA612684;12241;Externa;CEEE-D-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,25%;6.218.069,03;22.756,41;6.240.825,44;6.218.069,03;22.756,41;6.240.825,44;30.587.303,37;111.941,06;30.699.244,42
AFD CBR 1046;TA630381;12247;Externa;Minas Gerais;Estados;MG;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;3,21%;220.000.000,00;2.903.266,67;222.903.266,67;231.902.000,00;3.060.333,40;234.962.333,40;1.140.749.128,20;15.054.086,01;1.155.803.214,21
AFD CBR 1049;TA661512;12251;Externa;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;2,38%;39.999.999,98;39.666,67;40.039.666,65;42.163.999,98;41.812,64;42.205.812,62;207.408.932,30;205.680,54;207.614.612,84
AFD CBR 1049;TA661512;12251;Externa;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;2,27%;24.000.000,00;22.700,00;24.022.700,00;25.298.400,00;23.928,07;25.322.328,07;124.445.359,44;117.704,57;124.563.064,01
AFD CBR 1049;TA661512;12251;Externa;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;2,31%;15.999.999,98;15.400,00;16.015.399,98;16.865.599,98;16.233,14;16.881.833,12;82.963.572,86;79.852,44;83.043.425,30
AFD CBR 1049;TA661512;12251;Externa;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;3,10%;80.000.000,02;103.333,33;80.103.333,35;84.328.000,02;108.923,66;84.436.923,68;414.817.864,90;535.806,39;415.353.671,30
AFD CBR 1049;TA661512;12251;Externa;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;2,60%;80.000.000,02;86.666,67;80.086.666,69;84.328.000,02;91.355,34;84.419.355,36;414.817.864,90;449.386,04;415.267.250,94
