Relatório de Custo Médio de Garantias;;
Data de Emissão: 11/05/2022 09:11;;
Tipo de Dívida: Interna - Externa;;
Selecionar mutuário(s) por: Não Informado;;
Credor(es): Não Informado;;
Selecionar operação de crédito por: Não Informado;;
Tipo de Cálculo: Apropriação;;
Posição: Estatístico;;
Data de Referência: 30/04/2022;;
Tipo de Custo Médio: Tipo de Mutuário;;
;;
Agrupador;Custo Médio (% a.a.);Valor Financeiro Principal (R$)
Carandaí;7,53%;7.701.302,19
Porto Nacional;3,37%;7.289.719,62
Castro;5,19%;6.387.839,29
Pojuca;8,03%;6.188.442,67
Jaguaré;7,79%;6.091.836,27
Santa Rosa;7,97%;6.083.333,37
Caarapó;4,94%;5.857.544,53
São Sebastião do Caí;2,36%;5.725.443,06
Capinzal;5,29%;5.510.061,33
Uruguaiana;-7,58%;5.328.145,35
Ivinhema;4,95%;5.197.330,22
Ubaíra;8,03%;5.011.655,92
Não-Me-Toque;3,25%;5.000.000,00
Fortim;5,02%;5.000.000,00
Goioerê;7,91%;4.683.160,29
Paraíso das Águas;5,72%;4.679.557,29
Candeias;7,92%;4.618.330,12
Morro da Fumaça;5,77%;4.583.374,66
Piripiri;8,02%;4.574.963,83
Jiquiriçá;7,90%;4.571.875,04
Lapão;7,89%;4.491.666,64
Água Doce;7,91%;4.398.148,10
Concórdia;5,68%;4.378.975,92
Schroeder;5,42%;4.267.508,78
Santa Vitória;5,43%;4.201.367,46
Massaranduba;5,66%;4.150.634,75
Nova Santa Rita;8,05%;4.095.906,63
Pinhalzinho;8,01%;4.083.333,30
São Gabriel do Oeste;5,04%;4.054.973,03
Barrocas;7,95%;3.925.204,87
Viçosa;7,89%;3.763.012,83
Paranã;8,07%;3.518.518,50
Guarda-Mor;7,93%;3.476.213,40
Itá;6,50%;3.319.551,93
São Bento do Sul;0,82%;3.250.000,00
Barão;5,28%;3.205.047,62
Abdon Batista;8,01%;2.939.321,95
Barracão;7,92%;2.830.003,89
Sonora;4,80%;2.804.854,05
Abelardo Luz;7,68%;2.802.519,44
Correia Pinto;5,12%;2.781.679,67
Ponte Serrada;7,92%;2.723.494,27
Cotiporã;4,77%;2.572.083,27
Alto Feliz;5,00%;2.394.886,21
Jaquirana;4,45%;2.334.380,26
Garça;4,68%;2.257.242,97
Capitólio;7,81%;2.217.811,22
Vargeão;8,02%;2.216.840,89
Roca Sales;7,85%;2.208.216,97
Doutor Pedrinho;7,93%;2.207.365,23
Maratá;8,04%;2.077.940,91
Morro Grande;4,93%;2.002.003,09
Marau;2,66%;2.000.000,00
Serafina Corrêa;4,77%;1.983.093,50
Passos Maia;5,84%;1.973.095,78
Antônio Prado;2,10%;1.900.000,00
Vale Real;5,74%;1.835.554,46
Bom Jesus;5,14%;1.829.349,01
Pinheiro Preto;7,99%;1.714.145,14
Crucilândia;8,01%;1.676.781,70
Rio Paranaíba;7,86%;1.648.332,62
Salvador do Sul;4,83%;1.590.103,75
Paty do Alferes;8,16%;1.361.111,10
Monte Castelo;7,63%;1.225.879,28
Entre Rios;5,06%;1.010.158,00
Relvado;0,56%;1.000.000,00
Virmond;3,83%;1.000.000,00
Campinas das Missões;4,87%;980.899,52
Paranavaí;7,73%;912.110,51
Santa Helena;7,95%;891.783,76
Tio Hugo;4,91%;802.986,44
Guarujá do Sul;4,09%;662.863,28
Veranópolis;3,43%;637.832,89
Rio do Campo;7,88%;470.629,65
Sidrolândia;2,36%;417.285,23
Jundiaí;0,95%;384.979,63
Barra do Guarita;0,81%;200.000,00
Bancos Federais;-5,22%;19.536.212.836,65
BNDES;-7,80%;14.976.902.678,56
CAIXA;5,51%;3.643.638.869,66
Banco do Brasil;-6,10%;557.951.937,39
Banco do Nordeste;-4,88%;357.719.351,05
Entidades Estaduais Controladas;-11,24%;8.001.525.439,43
SABESP-SP;-13,24%;4.637.321.369,44
CELESC-SC;-7,81%;1.147.775.804,49
CAESB-DF;-7,78%;751.523.843,33
CEEE-GT-RS;-6,60%;560.391.944,19
CEEE-D-RS;-4,93%;316.882.075,67
CASAN-SC;-22,68%;213.398.696,75
CAGECE-CE;-5,10%;189.256.851,79
COPASA-MG;-18,60%;115.236.402,84
SANEAGO-GO;-7,19%;69.738.450,91
Estatais Federais;0,33%;5.931.395.483,21
ELETRONUCLEAR;6,50%;2.966.039.840,26
FINEP;-7,79%;1.637.175.518,90
ELETROBRÁS;-1,75%;956.836.247,20
Furnas Centrais Elétricas;-7,78%;371.343.876,86
