Relatório de Custo Médio de Garantias
Data de Emissão: 13/01/2022 08:12
Tipo de Dívida: Interna
Selecionar mutuário(s) por: Não Informado
Credor(es): Não Informado
Selecionar operação de crédito por: Não Informado
Tipo de Cálculo: Apropriação
Posição: Estatístico
Data de Referência: 31/12/2021
Tipo de Custo Médio: Tipo de Mutuário

Agrupador;Custo Médio (% a.a.);Valor Financeiro Principal (R$);
Concórdia;5,694122601053377%;4.413.612,387846218;
Piripiri;4,575685195417%;4.349.935,950000013;
Schroeder;5,759919%;4.300.502,886199158;
Morro da Fumaça;5,5181344%;4.261.554,353194211;
Pinhalzinho;4,8772459735992%;4.249.999,980000013;
Massaranduba;5,759919%;4.183.977,616466677;
Barrocas;4,8300866529581%;4.114.371,370000012;
Caarapó;5,705485705335421%;4.083.392,040227074;
Viçosa;4,7327757506031%;3.907.470,020000012;
Guarda-Mor;4,8280808375884%;3.724.557,280000011;
Paranã;4,9060766455625%;3.681.250,010000011;
Paranavaí;4,6437911729541%;3.613.268,510000011;
Maringá;4,8072732257656%;3.269.739,23000001;
São Gabriel do Oeste;5,48228358%;3.250.231,42976329;
Abdon Batista;4,8040823403246%;3.189.690,80000001;
Itá;5,006223024630325%;3.142.570,862833944;
Barracão;4,8219303985518%;2.957.195,090000009;
Abelardo Luz;4,4909070738773%;2.836.620,200000009;
Ponte Serrada;4,8326649642198%;2.808.202,320000008;
Barão;3,5531876030232%;2.781.977,255605402;
Correia Pinto;5,1200574068525%;2.736.150,751087293;
Nova Santa Rita;4,8907250163749%;2.725.692,400000008;
Sonora;5,8318985533333%;2.698.045,654544812;
Cotiporã;6,0684028%;2.520.021,223503457;
Jaquirana;5,759919%;2.351.990,867491465;
Capitólio;4,7509477265245%;2.319.779,540000007;
Doutor Pedrinho;4,8332615936471%;2.312.477,870000007;
Roca Sales;4,755457122863%;2.301.194,530000007;
Vargeão;4,8887146825635%;2.292.358,710000007;
Garça;5,4514352%;2.275.127,027525265;
Alto Feliz;5,4514352%;2.235.034,066848155;
Maratá;4,8849893134692%;2.162.754,830000006;
Morro Grande;5,1943653666667%;2.019.038,984039929;
Passos Maia;5,801606%;1.988.645,396083471;
Serafina Corrêa;5,54398034%;1.915.306,622058877;
Vale Real;5,759919%;1.849.882,379539807;
Bom Jesus;5,5792753333333%;1.843.544,58443282;
Goioerê;4,807370404433%;1.814.309,690000005;
São Sebastião do Caí;3,2960904171715%;1.735.394,522266058;
Pinheiro Preto;4,8406424967254%;1.687.629,720000005;
Salvador do Sul;5,1429514%;1.597.552,479397167;
Paty do Alferes;4,9775254072718%;1.416.666,660000004;
Crucilândia;4,501251134912%;1.340.134,010000004;
Santa Vitória;5,676545%;1.300.476,427270402;
Entre Rios;5,2680124%;1.016.948,297534215;
Virmond;0,1946704959872%;1.000.000,000000003;
Santa Helena;4,815670726203%;928.558,3600000028;
Campinas das Missões;5,759919%;870.792,8770855404;
Tio Hugo;4,7007912866667%;801.812,4405721012;
Guarujá do Sul;0,4286309567831%;500.000,0000000015;
Rio do Campo;3,8940777402315%;490.037,0500000015;
Veranópolis;1,6097176187052%;220.996,4122511415;
Monte Castelo;4,4608497003453%;12.655,65000000004;
Rio Paranaíba;4,3998440460486%;9.599,740000000029;
Sidrolândia;1,0493162353758%;7.262,912849396577;
Bancos Federais;5,325812932287419%;4.107.870.883,23001219;
CAIXA;5,3139394842525%;4.031.729.362,18001196;
Banco do Brasil;5,9545175918813%;76.141.521,05000023;
Estatais Federais;6,147594828650939%;3.885.816.088,810011578;
ELETRONUCLEAR;6,5180555555556%;3.000.276.088,190009;
ELETROBRÁS;4,892446038345197%;885.540.000,620002578;
