Relatório de Composição de Garantias
Data de Emissão: 13/01/2022 08:07
Tipo de Dívida: Interna - Externa
Selecionar mutuário(s) por: Não Informado
Credor(es): Não Informado
Selecionar operação de crédito por: Não Informado
Tipo de Cálculo: Apropriação
Posição: Estatístico
Data de Referência: 31/12/2021
Tipo de Composição: Indexador

;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;
Agrupador;Total (R$);Total (%);IPCA (R$);IPCA (%);IPCA CS (R$);IPCA CS (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Cambial (R$);Cambial (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);220 - USD (R$);220 - USD (%);IPCA (R$);IPCA (%);IPCA CS (R$);IPCA CS (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);USD (R$);USD (%);EUR (R$);EUR (%);JPY (R$);JPY (%);Demais (R$);Demais (%);
Santa Catarina;9.605.957.821,14709508;3,16599170190331%;0,00;0,00%;0,00;0,00%;0,00;0,00%;3.505.492.682,03001008;1,155362218846853%;0,00;0,00%;4.365.787.746,55708;1,438903650757474%;1.734.677.392,560005;0,5717258322989827%;6.905.671.953,69002008;6,11521177830528%;1.665.501.879,100005;1,474859619188784%;0,00;0,00%;0,00;0,00%;0,00;0,00%;3.505.492.682,03001008;3,104235226009859%;0,00;0,00%;1.734.677.392,560005;1,536116933106637%;2.700.285.867,457075;1,417587655659333%;2.700.285.867,457075;1,417587655659333%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Goiás;8.816.560.431,6725253;2,905817169481495%;0,00;0,00%;0,00;0,00%;0,00;0,00%;4.243.431.874,5100123;1,398576836628917%;0,00;0,00%;2.856.076.660,472508;0,941323621799527%;1.717.051.896,690005;0,5659167110530509%;8.768.825.588,0400253;7,765098874879759%;2.808.341.816,840008;2,486883980446047%;0,00;0,00%;0,00;0,00%;0,00;0,00%;4.243.431.874,5100123;3,757705948596888%;0,00;0,00%;1.717.051.896,690005;1,520508945836825%;47.734.843,6325;0,0250596893809563%;47.734.843,6325;0,0250596893809563%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Paraná;6.806.891.601,33224272;2,24345793796123%;0,00;0,00%;0,00;0,00%;0,00;0,00%;993.265.552,69000301;0,3273666776549966%;0,00;0,00%;3.627.911.762,92223331;1,195709865742218%;2.185.714.285,7200064;0,7203813945640159%;3.178.979.838,41000941;2,815096790175812%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;993.265.552,69000301;0,8795710609376941%;0,00;0,00%;2.185.714.285,7200064;1,935525729238118%;3.627.911.762,92223331;1,904569806078727%;3.534.840.072,457625;1,855709320200532%;0,00;0,00%;93.071.690,46460831;0,0488604858781947%;0,00;0,00%;
Amazonas;6.665.383.032,8971552;2,19681865828134%;0,00;0,00%;0,00;0,00%;0,00;0,00%;381.610.001,1400011;0,125773412653636%;0,00;0,00%;4.895.615.426,66715;1,613527573733106%;1.388.157.605,0900041;0,457517671894598%;1.769.767.606,2300052;1,567190533094742%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;381.610.001,1400011;0,3379288777891428%;0,00;0,00%;1.388.157.605,0900041;1,229261655305599%;4.895.615.426,66715;2,570084922984204%;4.895.615.426,66715;2,570084922984204%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Piauí;5.666.161.743,33348939;1,867489051590863%;0,00;0,00%;0,00;0,00%;0,00;0,00%;645.253.978,01000191;0,2126668446849184%;0,00;0,00%;3.987.726.684,08348438;1,314299919522141%;1.033.181.081,2400031;0,3405222873838028%;2.617.484.135,98563132;2,317872891334427%;939.049.076,73562631;0,8315604930222504%;0,00;0,00%;0,00;0,00%;0,00;0,00%;645.253.978,01000191;0,5713947538757096%;0,00;0,00%;1.033.181.081,2400031;0,9149176444364674%;3.048.677.607,34785807;1,600485265040205%;2.985.522.423,790275;1,567330253683411%;0,00;0,00%;0,00;0,00%;63.155.183,55758307;0,0331550113567938%;
Espírito Santo;5.297.173.957,2241177;1,745875747568834%;0,00;0,00%;0,00;0,00%;0,00;0,00%;3.048.386.690,0100087;1,004706364993355%;717.519.218,201989;0,2364844748519182%;1.531.268.049,01212;0,5046849077235612%;0,00;0%;3.765.905.908,2119977;3,334840160425203%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;3.048.386.690,0100087;2,699452032559586%;717.519.218,201989;0,6353881278656169%;0,00;0%;1.531.268.049,01212;0,8038803261335214%;1.531.268.049,01212;0,8038803261335214%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Maranhão;4.667.288.964,56049021;1,538274309268085%;0,00;0,00%;0,00;0,00%;0,00;0,00%;3.055.480.613,1000091;1,007044424565867%;0,00;0,00%;1.256.250.481,51048;0,4140428965051681%;355.557.869,95000111;0,1171869881970495%;3.411.038.483,05001021;3,020592760224289%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;3.055.480.613,1000091;2,705733947241499%;0,00;0,00%;355.557.869,95000111;0,3148588129827899%;1.256.250.481,51048;0,6595024610051435%;1.256.250.481,51048;0,6595024610051435%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Pará;3.379.087.474,4542107;1,113700799370148%;0,00;0,00%;0,00;0,00%;0,00;0,00%;651.411.550,400002;0,2146962959331523%;0,00;0,00%;1.988.755.022,5942065;0,6554663278648359%;738.920.901,4600022;0,2435381755721595%;1.390.332.451,8600042;1,231187557473136%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;651.411.550,400002;0,5768474975706914%;0,00;0,00%;738.920.901,4600022;0,6543400599024447%;1.988.755.022,5942065;1,044050411157018%;1.655.905.521,01133;0,8693121175849406%;0,00;0,00%;332.849.501,5828765;0,1747382935720779%;0,00;0,00%;
Alagoas;3.182.019.076,74337854;1,048749763411365%;0,00;0,00%;0,00;0,00%;0,00;0,00%;614.867.934,41000184;0,202652022250503%;0,00;0,00%;2.017.347.048,733375;0,6648898667958449%;549.804.093,6000017;0,1812078743650171%;1.164.672.028,01000354;1,031357433615673%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;614.867.934,41000184;0,5444868594716715%;0,00;0,00%;549.804.093,6000017;0,4868705741440015%;2.017.347.048,733375;1,059060563894419%;2.017.347.048,733375;1,059060563894419%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Acre;2.983.871.147,54879674;0,9834429287094344%;0,00;0,00%;0,00;0,00%;0,00;0,00%;601.064.629,23000174;0,1981026425350817%;0,00;0,00%;2.382.806.518,318795;0,7853402861743527%;0,00;0,00%;601.064.629,23000174;0,5322635544866766%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;601.064.629,23000174;0,5322635544866766%;0,00;0,00%;0,00;0,00%;2.382.806.518,318795;1,250918336796063%;2.382.806.518,318795;1,250918336796063%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Tocantins;2.753.422.975,5569787;0,9074903778207862%;0,00;0,00%;0,00;0,00%;0,00;0,00%;354.249.138,6500011;0,1167556483439117%;0,00;0,00%;2.181.109.320,7669769;0,7188636613925511%;218.064.516,1400007;0,0718710680843235%;1.216.306.215,9400037;1,077081296016065%;643.992.561,1500019;0,5702777255414136%;0,00;0,00%;0,00;0,00%;0,00;0,00%;354.249.138,6500011;0,3136998860725534%;0,00;0,00%;218.064.516,1400007;0,1931036844020975%;1.537.116.759,616975;0,8069507639915598%;1.537.116.759,616975;0,8069507639915598%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Mato Grosso;2.619.251.582,72225901;0,8632693303982809%;0,00;0,00%;0,00;0,00%;0,00;0,00%;848.008.681,67000261;0,2794920089487328%;0,00;0,00%;1.287.496.624,862255;0,4243411959990949%;483.746.276,1900014;0,1594361254504533%;1.331.754.957,86000401;1,179315156980524%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;848.008.681,67000261;0,7509410688821592%;0,00;0,00%;483.746.276,1900014;0,4283740880983648%;1.287.496.624,862255;0,6759059639217259%;1.287.496.624,862255;0,6759059639217259%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Distrito Federal;2.505.332.814,99268555;0,8257232699180974%;0,00;0,00%;0,00;0,00%;0,00;0,00%;254.417.971,95000075;0,0838526675846453%;0,00;0,00%;1.909.319.919,3226838;0,6292856093482683%;341.594.923,720001;0,1125849929851838%;1.354.994.220,41000405;1,19989432914768%;758.981.324,7400023;0,6721042597576226%;0,00;0,00%;0,00;0,00%;0,00;0,00%;254.417.971,95000075;0,2252959290731788%;0,00;0,00%;341.594.923,720001;0,3024941403168788%;1.150.338.594,5826815;0,6039011688212815%;1.150.338.594,5826815;0,6039011688212815%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Mato Grosso do Sul;2.245.117.578,68061176;0,7399599036602123%;0,00;0,00%;0,00;0,00%;0,00;0,00%;607.981.818,52000176;0,2003824530756217%;0,00;0,00%;1.637.135.760,16061;0,5395774505845906%;0,00;0,00%;607.981.818,52000176;0,5383889652653297%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;607.981.818,52000176;0,5383889652653297%;0,00;0,00%;0,00;0,00%;1.637.135.760,16061;0,8594584270544947%;1.637.135.760,16061;0,8594584270544947%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Rio Grande do Norte;1.961.448.753,1847771;0,6464665566843014%;0,00;0,00%;0,00;0,00%;0,00;0,00%;397.773.096,4200012;0,1311005467600236%;0,00;0,00%;1.563.675.656,7647759;0,5153660099242779%;0,00;0,00%;440.791.506,4942071;0,390336151263304%;43.018.410,0742059;0,0380942925951155%;0,00;0,00%;0,00;0,00%;0,00;0,00%;397.773.096,4200012;0,3522418586681885%;0,00;0,00%;0,00;0,00%;1.520.657.246,69057;0,7983099002134554%;1.520.657.246,69057;0,7983099002134554%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Sergipe;1.869.859.588,67114668;0,6162800265918984%;0,00;0,00%;0,00;0,00%;0,00;0,00%;533.072.174,85000162;0,1756932638591493%;131.216.825,0315676;0,0432472624734503%;1.205.570.588,78957746;0,3973395002592988%;0,00;0,00%;664.288.999,88156922;0,5882509252562669%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;533.072.174,85000162;0,4720538803740385%;131.216.825,0315676;0,1161970448822284%;0,00;0,00%;1.205.570.588,78957746;0,6328966889359266%;1.151.892.513,92115;0,6047169405507309%;0,00;0,00%;0,00;0,00%;53.678.074,86842746;0,0281797483851957%;
Paraíba;1.461.188.575,7737668;0,4815876763097461%;0,00;0,00%;0,00;0,00%;0,00;0,00%;1.005.714.690,060003;0,3314697422679294%;0,00;0,00%;455.473.885,7137638;0,1501179340418167%;0,00;0,00%;1.005.714.690,060003;0,8905952034085922%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;1.005.714.690,060003;0,8905952034085922%;0,00;0,00%;0,00;0,00%;455.473.885,7137638;0,2391132604308553%;380.190.814,1089;0,1995913882197202%;0,00;0,00%;0,00;0,00%;75.283.071,6048638;0,0395218722111351%;
Amapá;1.383.492.067,0200042;0,455979974656118%;0,00;0,00%;0,00;0,00%;0,00;0,00%;1.383.492.067,0200042;0,455979974656118%;0,00;0,00%;0,00;0,00%;0,00;0,00%;1.383.492.067,0200042;1,22513015969603%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;1.383.492.067,0200042;1,22513015969603%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Roraima;644.610.578,7400019;0,212454789126508%;0,00;0,00%;0,00;0,00%;0,00;0,00%;644.610.578,7400019;0,212454789126508%;0,00;0,00%;0,00;0,00%;0,00;0,00%;644.610.578,7400019;0,5708250015300375%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;644.610.578,7400019;0,5708250015300375%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Rondônia;267.345.194,3148407;0,0881133024424876%;0,00;0,00%;0,00;0,00%;0,00;0,00%;242.814.159,6400007;0,0800282104958345%;0,00;0,00%;24.531.034,67484;0,0080850919466531%;0,00;0,00%;242.814.159,6400007;0,2150203512311936%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;242.814.159,6400007;0,2150203512311936%;0,00;0,00%;0,00;0,00%;24.531.034,67484;0,0128782260999472%;24.531.034,67484;0,0128782260999472%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
