Relatório de Composição de Garantias
Data de Emissão: 13/01/2022 08:07
Tipo de Dívida: Interna - Externa
Selecionar mutuário(s) por: Não Informado
Credor(es): Não Informado
Selecionar operação de crédito por: Não Informado
Tipo de Cálculo: Apropriação
Posição: Estatístico
Data de Referência: 31/12/2021
Tipo de Composição: Indexador

;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;
Agrupador;Total (R$);Total (%);IPCA (R$);IPCA (%);IPCA CS (R$);IPCA CS (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Cambial (R$);Cambial (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);220 - USD (R$);220 - USD (%);IPCA (R$);IPCA (%);IPCA CS (R$);IPCA CS (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);USD (R$);USD (%);EUR (R$);EUR (%);JPY (R$);JPY (%);Demais (R$);Demais (%);
Municípios;30.544.394.414,765447651246;10,06701268705564%;225.369.288,7600006;0,0742786207646296%;0,00;0,00%;0,00;0,00%;1.794.160.115,2100057615;0,5913305203293566%;1.325.489.325,816782389677;0,4368630681741034%;22.351.792.663,44864446;7,366843724771968%;4.847.583.021,530014440069;1,597696753015587%;8.192.601.751,316803191246;7,254832702825754%;0,00;0,00%;225.369.288,7600006;0,1995723136482053%;0,00;0,00%;0,00;0,00%;1.794.160.115,2100057615;1,588790944932609%;1.325.489.325,816782389677;1,173766722718633%;4.847.583.021,530014440069;4,292702721526307%;22.351.792.663,44864446;11,73417442331792%;22.056.413.518,291815;11,5791072006361%;226.705.240,76473446;0,1190150104677661%;68.673.904,392095;0,0360522122140502%;0,00;0,00%;
Rio de Janeiro;7.463.340.887,8590909;2,459814602498007%;225.369.288,7600006;0,0742786207646296%;0,00;0,00%;0,00;0,00%;1.641.494.332,0000053;0,5410139759715017%;0,00;0,00%;5.596.477.267,099085;1,844522005761876%;0,00;0,00%;1.866.863.620,7600059;1,653172418081775%;0,00;0,00%;225.369.288,7600006;0,1995723136482053%;0,00;0,00%;0,00;0,00%;1.641.494.332,0000053;1,45360010443357%;0,00;0,00%;0,00;0,00%;5.596.477.267,099085;2,938021186804533%;5.596.477.267,099085;2,938021186804533%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Manaus;2.573.751.262,59589381;0,8482730501068051%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;1.286.260.131,54589;0,4239336647927374%;1.287.491.131,05000381;0,4243393853140676%;1.287.491.131,05000381;1,140118004715459%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;1.287.491.131,05000381;1,140118004715459%;1.286.260.131,54589;0,6752568335156793%;1.286.260.131,54589;0,6752568335156793%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Fortaleza;2.266.447.523,42630185;0,7469899603525544%;0,00;0,00%;0,00;0,00%;0,00;0,00%;38.222.626,26000012;0,0125976523962772%;137.663.252,39245123;0,0453719163509168%;1.918.147.851,65385;0,6321951745395611%;172.413.793,1200005;0,0568252170657992%;348.299.671,77245185;0,3084314270191538%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;38.222.626,26000012;0,0338474598663806%;137.663.252,39245123;0,1219055796619902%;172.413.793,1200005;0,1526783874907829%;1.918.147.851,65385;1,006983278698063%;1.918.147.851,65385;1,006983278698063%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
São Bernardo do Campo;2.123.835.628,6669159;0,6999870394770381%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;1.824.762.109,086915;0,6014165170076577%;299.073.519,5800009;0,0985705224693804%;299.073.519,5800009;0,2648399636964469%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;299.073.519,5800009;0,2648399636964469%;1.824.762.109,086915;0,9579579227263502%;1.824.762.109,086915;0,9579579227263502%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Belo Horizonte;1.839.026.478,5601056;0,6061178571786071%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;1.652.318.373,100105;0,5445814311844045%;186.708.105,4600006;0,0615364259942026%;186.708.105,4600006;0,1653364963280604%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;186.708.105,4600006;0,1653364963280604%;1.652.318.373,100105;0,867428947858631%;1.652.318.373,100105;0,867428947858631%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
São Paulo;1.123.259.372,177572089;0,3702108543065253%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;1.903.438,533555319;0,0006273471854158%;541.070.219,514015;0,1783293094788764%;580.285.714,13000177;0,1912541976422331%;582.189.152,663557089;0,5155486660016293%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;1.903.438,533555319;0,0016855607705863%;580.285.714,13000177;0,513863105231043%;541.070.219,514015;0,2840493568743037%;541.070.219,514015;0,2840493568743037%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Salvador;1.117.476.842,26244517;0,3683050119045322%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;1.062.391.685,872445;0,3501497012862767%;55.085.156,39000017;0,0181553106182555%;55.085.156,39000017;0,0487798145386734%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;55.085.156,39000017;0,0487798145386734%;1.062.391.685,872445;0,5577310748902872%;1.062.391.685,872445;0,5577310748902872%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Porto Alegre;692.761.858,5745552915;0,2283247893108327%;0,00;0,00%;0,00;0,00%;0,00;0,00%;98.439.738,5700002915;0,0324443851673019%;0,00;0,00%;594.322.120,004555;0,1958804041435309%;0,00;0,00%;98.439.738,5700002915;0,0871717991809461%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;98.439.738,5700002915;0,0871717991809461%;0,00;0,00%;0,00;0,00%;594.322.120,004555;0,3120053735633362%;594.322.120,004555;0,3120053735633362%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Goiânia;614.437.403,2817312;0,2025101251065747%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;212.350.558,02173;0,0699878260043257%;402.086.845,2600012;0,132522299102249%;402.086.845,2600012;0,3560618327260241%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;402.086.845,2600012;0,3560618327260241%;212.350.558,02173;0,111479133876836%;212.350.558,02173;0,111479133876836%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Curitiba;594.008.507,5700418;0,1957770417944795%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;449.982.343,7900414;0,1483079972833099%;144.026.163,7800004;0,0474690445111695%;144.026.163,7800004;0,1275401581537562%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;144.026.163,7800004;0,1275401581537562%;449.982.343,7900414;0,2362303278734458%;196.474.348,643585;0,1031444909768546%;184.834.090,7543614;0,097033624682541%;68.673.904,392095;0,0360522122140502%;0,00;0,00%;
Recife;583.649.831,287565;0,1923629644308639%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;583.649.831,287565;0,1923629644308639%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;583.649.831,287565;0,3064026687070964%;583.649.831,287565;0,3064026687070964%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Mauá;553.398.539,7024511;0,1823925544089208%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;553.398.539,7024511;0,1823925544089208%;0,00;0,00%;0,00;0,00%;553.398.539,7024511;0,4900535807057941%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;553.398.539,7024511;0,4900535807057941%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Niterói;436.260.445,54847;0,1437854481761779%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;436.260.445,54847;0,1437854481761779%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;436.260.445,54847;0,2290266485171621%;436.260.445,54847;0,2290266485171621%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Teresina;362.403.712,8441803;0,1194432839459014%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;262.238.670,50418;0,0864302623634929%;100.165.042,3400003;0,0330130215824085%;100.165.042,3400003;0,0886996154465046%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;100.165.042,3400003;0,0886996154465046%;262.238.670,50418;0,1376692396251081%;262.238.670,50418;0,1376692396251081%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Taubaté;334.830.000,00;0,1103553670842266%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;334.830.000,00;0,1103553670842266%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;334.830.000,00;0,1757780094562376%;334.830.000,00;0,1757780094562376%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
São José dos Campos;327.040.923,651625;0,1077881945498898%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;327.040.923,651625;0,1077881945498898%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;327.040.923,651625;0,1716889244399009%;327.040.923,651625;0,1716889244399009%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Caucaia;295.733.855,41432;0,0974698150508642%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;295.733.855,41432;0,0974698150508642%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;295.733.855,41432;0,1552534373668666%;295.733.855,41432;0,1552534373668666%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Florianópolis;283.342.043,43759;0,0933856440998421%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;283.342.043,43759;0,0933856440998421%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;283.342.043,43759;0,1487480225509136%;283.342.043,43759;0,1487480225509136%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Blumenau;269.536.963,13926;0,0888356793298112%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;269.536.963,13926;0,0888356793298112%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;269.536.963,13926;0,1415006745378204%;269.536.963,13926;0,1415006745378204%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Belém;267.608.729,458545;0,088200160004603%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;267.608.729,458545;0,088200160004603%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;267.608.729,458545;0,1404883964320278%;267.608.729,458545;0,1404883964320278%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Joinville;262.219.796,0478401;0,0864240416020381%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;227.531.242,50784;0,0749911710124029%;34.688.553,5400001;0,0114328705896352%;34.688.553,5400001;0,0307179160265254%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;34.688.553,5400001;0,0307179160265254%;227.531.242,50784;0,1194486422875268%;227.531.242,50784;0,1194486422875268%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Osasco;245.457.892,0900007;0,0808995483836947%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;245.457.892,0900007;0,0808995483836947%;245.457.892,0900007;0,2173614679140225%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;245.457.892,0900007;0,2173614679140225%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Campo Grande;237.810.057,98253;0,0783789273511433%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;237.810.057,98253;0,0783789273511433%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;237.810.057,98253;0,1248447827878075%;237.810.057,98253;0,1248447827878075%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Hortolândia;202.481.603,876275;0,0667351543277761%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;202.481.603,876275;0,0667351543277761%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;202.481.603,876275;0,1062981610992982%;202.481.603,876275;0,1062981610992982%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Camaçari;198.110.352,41037;0,0652944499101988%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;198.110.352,41037;0,0652944499101988%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;198.110.352,41037;0,1040033551335561%;198.110.352,41037;0,1040033551335561%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Natal;198.094.034,9893397;0,0652890719124458%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;198.094.034,9893397;0,0652890719124458%;0,00;0,00%;0,00;0,00%;198.094.034,9893397;0,1754191314187069%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;198.094.034,9893397;0,1754191314187069%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Corumbá;188.578.899,985095;0,0621530141629926%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;188.578.899,985095;0,0621530141629926%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;188.578.899,985095;0,0989995629568047%;188.578.899,985095;0,0989995629568047%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Caxias do Sul;184.765.921,914580126;0,0608963089852732%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;144.036.943,72458;0,0474725974327752%;40.728.978,190000126;0,013423711552498%;40.728.978,190000126;0,0360669213388771%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;40.728.978,190000126;0,0360669213388771%;144.036.943,72458;0,0756160656335059%;144.036.943,72458;0,0756160656335059%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Palmas;178.410.516,68850014;0,0588016547526983%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;130.104.318,3085;0,0428805955445378%;48.306.198,38000014;0,0159210592081605%;48.306.198,38000014;0,0427768123478094%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;48.306.198,38000014;0,0427768123478094%;130.104.318,3085;0,0683017593821607%;130.104.318,3085;0,0683017593821607%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Ribeirão Preto;177.425.202,862423703;0,05847690885487%;0,00;0,00%;0,00;0,00%;0,00;0,00%;16.003.418,38000005;0,0052745067942758%;161.421.784,482423653;0,0532024020605943%;0,00;0,00%;0,00;0,00%;177.425.202,862423703;0,1571161644498238%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;16.003.418,38000005;0,0141715814517123%;161.421.784,482423653;0,1429445829981115%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Itajaí;176.264.627,939765;0,0580943993078798%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;176.264.627,939765;0,0580943993078798%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;176.264.627,939765;0,0925348548122815%;176.264.627,939765;0,0925348548122815%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Aparecida de Goiânia;165.275.808,51935;0,0544726354248282%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;165.275.808,51935;0,0544726354248282%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;165.275.808,51935;0,0867659786542473%;165.275.808,51935;0,0867659786542473%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Cascavel;163.654.737,45850008;0,0539383526783905%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;136.951.033,7585;0,0451371788757984%;26.703.703,70000008;0,0088011738025921%;26.703.703,70000008;0,0236470548392263%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;26.703.703,70000008;0,0236470548392263%;136.951.033,7585;0,0718961267121916%;136.951.033,7585;0,0718961267121916%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
São Luís;158.324.235,36274;0,0521814924343239%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;158.324.235,36274;0,0521814924343239%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;158.324.235,36274;0,083116563452329%;158.324.235,36274;0,083116563452329%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Maceió;156.820.945,317;0,0516860286920317%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;156.820.945,317;0,0516860286920317%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;156.820.945,317;0,0823273709311225%;156.820.945,317;0,0823273709311225%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Canoas;139.512.499,88839;0,045981402914976%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;139.512.499,88839;0,045981402914976%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;139.512.499,88839;0,0732408372148397%;139.512.499,88839;0,0732408372148397%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Santo André;126.191.408,51068006;0,0415909542426655%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;106.996.599,31068;0,0352646088871786%;19.194.809,20000006;0,006326345355487%;19.194.809,20000006;0,0169976685960938%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;19.194.809,20000006;0,0169976685960938%;106.996.599,31068;0,056170741108676%;106.996.599,31068;0,056170741108676%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Vitória;123.935.936,797065;0,0408475817584076%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;123.935.936,797065;0,0408475817584076%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;123.935.936,797065;0,0650635016882662%;123.935.936,797065;0,0650635016882662%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Sobral;123.277.809,849;0,0406306721596807%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;123.277.809,849;0,0406306721596807%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;123.277.809,849;0,0647180002550004%;123.277.809,849;0,0647180002550004%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Aracaju;110.237.656,8332;0,0363328169110677%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;110.237.656,8332;0,0363328169110677%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;110.237.656,8332;0,057872221381775%;110.237.656,8332;0,057872221381775%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Serra;107.634.864,7600003;0,0354749724088371%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;107.634.864,7600003;0,0354749724088371%;107.634.864,7600003;0,0953144020090525%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;107.634.864,7600003;0,0953144020090525%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Parauapebas;103.786.619,425245;0,0342066436254333%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;103.786.619,425245;0,0342066436254333%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;103.786.619,425245;0,054485575876599%;103.786.619,425245;0,054485575876599%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Araguaína;97.815.046,30019;0,0322384951791001%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;97.815.046,30019;0,0322384951791001%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;97.815.046,30019;0,0513506380357707%;97.815.046,30019;0,0513506380357707%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Novo Hamburgo;95.984.466,905075;0,0316351613645532%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;95.984.466,905075;0,0316351613645532%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;95.984.466,905075;0,0503896261723627%;95.984.466,905075;0,0503896261723627%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Santos;91.207.627,098785;0,0300607806031947%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;91.207.627,098785;0,0300607806031947%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;91.207.627,098785;0,0478818957042416%;91.207.627,098785;0,0478818957042416%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
São Gonçalo do Amarante;89.187.599,99679;0,0293950074276705%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;89.187.599,99679;0,0293950074276705%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;89.187.599,99679;0,0468214281743419%;89.187.599,99679;0,0468214281743419%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Paranaguá;87.595.825,31797009;0,028870380366187%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;58.859.930,54797;0,0193994243113619%;28.735.894,77000009;0,009470956054825%;28.735.894,77000009;0,02544663044177%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;28.735.894,77000009;0,02544663044177%;58.859.930,54797;0,0309001028236853%;58.859.930,54797;0,0309001028236853%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Criciúma;86.759.828,55176508;0,0285948473195192%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;59.040.109,211765;0,0194588087231047%;27.719.719,34000008;0,0091360385964144%;27.719.719,34000008;0,0245467718907075%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;27.719.719,34000008;0,0245467718907075%;59.040.109,211765;0,0309946924568376%;59.040.109,211765;0,0309946924568376%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Linhares;81.093.466,77000024;0,0267272923380101%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;81.093.466,77000024;0,0267272923380101%;81.093.466,77000024;0,0718110744994959%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;81.093.466,77000024;0,0718110744994959%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Balneário Camboriú;74.945.519,43000022;0,0247010133739979%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;74.945.519,43000022;0,0247010133739979%;74.945.519,43000022;0,0663668541197717%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;74.945.519,43000022;0,0663668541197717%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Toledo;72.226.715,30912308;0,0238049328949802%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;65.403.434,89912306;0,0215560734308815%;6.823.280,41000002;0,0022488594640987%;6.823.280,41000002;0,0060422512117182%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;6.823.280,41000002;0,0060422512117182%;65.403.434,89912306;0,034335291336405%;23.532.284,88875;0,0123539055511799%;41.871.150,01037306;0,021981385785225%;0,00;0,00%;0,00;0,00%;
