Relatório de Estoque de Garantias
Data de Emissão: 13/01/2022 08:15
Tipo de Dívida: Interna - Externa
Selecionar mutuário(s) por: Não Informado
Credor(es): Não Informado
Selecionar operação de crédito por: Não Informado
Tipo de Cálculo: Apropriação
Posição: Estatístico
Data de Referência: 31/12/2021
Detalhamento: Por tranche

Nome do Contrato;CADIP/ROF;Inscrição Genérica;Tipo de Dívida;Mutuário;Tipo Mutuário;UF;Região;Agrupador de Tipo Mutuário;CAPAG;Credor;Classificação de Credor;Contragarantia;Moeda;Indexador;Tipo de Indexador de Juros;Indexador de Juros;Saldo Principal (Moeda de Origem);Saldo Juros (Moeda de Origem);Saldo Estoque (Moeda de Origem);Saldo Principal (USD);Saldo Juros (USD);Saldo Estoque (USD);Saldo Principal (BRL);Saldo Juros (BRL);Saldo Estoque (BRL)
AFD CBR 1045;TA612684;12241;Externa;CEEE-D-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,81%;10.069.744,78;123.779,54;10.193.524,32;10.069.744,78;123.779,54;10.193.524,32;56.194.210,74479;690.751,72297;56.884.962,46776;
AFD CBR 1045;TA612684;12241;Externa;CEEE-D-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,7%;10.919.426,52;131.154,45;11.050.580,97;10.919.426,52;131.154,45;11.050.580,97;60.935.859,69486;731.907,408225;61.667.767,103085;
AFD CBR 1045;TA612684;12241;Externa;CEEE-D-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,25%;6.432.485,20;69.863,94;6.502.349,14;6.432.485,20;69.863,94;6.502.349,14;35.896.483,6586;389.875,71717;36.286.359,37577;
AFD CBR 1046;TA630381;12247;Externa;Minas Gerais;Estados;MG;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;3,21%;220.000.000,00;549.266,67;220.549.266,67;249.194.000,00;622.154,357109;249.816.154,357109;1.390.627.117,00;3.471.932,389846774;1.394.099.049,389846774;
AFD CBR 1049;TA661512;12251;Externa;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;2,38%;41.666.666,65;212.106,48;41.878.773,13;47.195.833,314455;240.253,009896;47.436.086,324351;263.376.347,8113161;1.340.731,921724628;264.717.079,733040728;
AFD CBR 1049;TA661512;12251;Externa;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;2,27%;25.000.000,00;121.381,94;25.121.381,94;28.317.500,00;137.489,323438;28.454.989,323438;158.025.808,75;767.259,169445759;158.793.067,919445759;
AFD CBR 1049;TA661512;12251;Externa;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;2,31%;16.666.666,65;82.347,22;16.749.013,87;18.878.333,314455;93.274,696094;18.971.608,010549;105.350.539,0613161;520.519,441552567;105.871.058,502868667;
AFD CBR 1049;TA661512;12251;Externa;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;3,1%;83.333.333,35;552.546,30;83.885.879,65;94.391.666,685545;625.869,19401;95.017.535,879555;526.752.695,9386839;3.492.663,037172805;530.245.358,975856705;
AFD CBR 1049;TA661512;12251;Externa;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;2,6%;83.333.333,35;463.425,93;83.796.759,28;94.391.666,685545;524.922,550911;94.916.589,236456;526.752.695,9386839;2.929.330,295358836;529.682.026,234042736;
AFD CBR 1070 01K;TB035996;13082;Externa;Curitiba;Municípios;PR;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;EUR;;Pós-fixado;100% EURIBOR6m + 1,38%;5.141.124,00;13.164,70;5.154.288,70;5.823.351,1548;14.911,65569;5.838.262,81049;32.497.211,1193614;83.214,494578045;32.580.425,613939445;
