Relatório de Atm Garantias
Data de Emissão: 13/01/2022 08:04
Tipo de Dívida: Interna - Externa
Selecionar mutuário(s) por: Não Informado
Credor(es): Não Informado
Selecionar operação de crédito por: Não Informado
Posição: Estatística
Mês de Referência: 12/2021
Base de Cálculo: Valor Desembolsado/Tranches Efetivas
Tipo de Cálculo: Valor Corrente
Tipo Atm: Tipo de Mutuário

Agrupador;ATM (anos);Valor Financeiro Principal (R$);
Mineiros;10,9139243311827;11.624.416,86;
Mogi das Cruzes;4,474898474377061;26.457.710,78;
Monte Castelo;4,284970491007617;12.655,65;
Morro Grande;10,45307493376081;2.019.464,21;
Morro da Fumaça;10,59530980143891;4.262.452,96;
Muriaé;3,639615802767751;41.637.254,82;
Natal;7,276163632796551;198.135.805,61;
Niterói;5,087356267516212;436.260.445,34;
Nova Alvorada do Sul;9,213075046308331;14.089.170,49;
Nova Santa Rita;4,287538426194497;2.725.692,40;
Novo Hamburgo;8,043835684315776;95.984.466,76;
Osasco;4,206890003022782;245.457.892,09;
Osório;4,387929675231495;11.395.197,75;
Ouro Preto;4,341004554542758;43.749.999,99;
Palmas;6,093333567835369;178.410.516,68;
Panambi;10,92725112423267;10.353.780,77;
Paranaguá;6,319820295935486;87.595.825,18;
Paranavaí;4,298363999501883;3.613.268,51;
Paranã;3,884371879408921;3.681.250,01;
Parauapebas;14,04794517069747;103.786.619,53;
Paraíso das Águas;10,73106458453979;4.718.504,43;
Passo Fundo;6,792896928827057;36.792.714,34;
Passos Maia;10,93858133672869;1.989.064,73;
Paty do Alferes;4,234864077572608;1.416.666,66;
Pelotas;1,035774634269217;22.016.340,38;
Pinhalzinho;4,281520169814728;4.249.999,98;
Pinheiro Preto;4,168246264027665;1.687.629,72;
Piraquara;3,801488986851578;23.032.342,10;
Piripiri;4,318203241300536;4.349.935,95;
Pojuca;3,79804306395108;6.472.968,75;
Pomerode;3,670298896350115;13.813.932,08;
Ponta Grossa;6,792896891170617;28.169.773,96;
Ponta Porã;8,949223924913258;58.320.845,83;
Ponte Nova;3,681822400809462;8.955.659,20;
Ponte Serrada;4,171734869247802;2.808.202,32;
Porto Alegre;5,003327668265628;692.855.775,51;
Prudentópolis;11,11571323977624;10.039.497,29;
Recife;8,227941409299693;583.649.831,31;
Ribeirão Preto;8,468874224960948;177.477.027,40;
Rio Branco;3,838361828673818;54.056.044,00;
Rio Grande;2,293105991484146;12.943.643,62;
Rio Paranaíba;3,80419691446552;9.599,74;
Rio de Janeiro;7,03123925728678;7.468.416.597,80;
Rio do Campo;4,223329381442228;490.037,05;
Roca Sales;4,129071415542022;2.301.194,53;
Salvador;12,44405141536222;1.117.476.841,99;
Salvador do Sul;11,29717509445223;1.597.888,91;
Santa Helena;4,212396009258263;928.558,36;
Santa Maria;2,450680139372661;26.169.379,48;
Santa Rosa;3,206119943920816;6.416.666,69;
Santa Vitória;10,69398329278412;1.300.750,65;
Santo André;9,588133755835868;126.191.408,63;
Santos;8,961274489515118;91.207.626,95;
Schroeder;11,00509710043326;4.301.407,87;
Serafina Corrêa;11,44483358122814;1.915.710,49;
Serra;2,578038001542215;107.634.864,76;
Sete Lagoas;8,184355782735626;41.210.907,59;
Sidrolândia;11,79245649458654;7.264,44;
Sobral;7,625653802944468;123.277.809,93;
Sonora;10,73831012988767;2.698.614,16;
Sorocaba;6,571218354934552;68.639.794,97;
Suzano;4,325947580784299;28.641.963,64;
São Bernardo do Campo;6,463061468524802;2.123.835.628,79;
São Caetano do Sul;4,234864361641761;51.392.547,07;
São Gabriel do Oeste;11,06722666876418;3.250.915,71;
São Gonçalo do Amarante;8,377429856996581;89.187.600,05;
São José dos Campos;4,885205483519176;327.040.923,68;
São Luís;8,894983067006872;158.324.235,10;
São Paulo;4,905872608000705;1.123.259.773,57;
São Sebastião do Caí;11,6942779329901;1.735.759,92;
Tanguá;3,842674219366112;14.362.619,98;
Tapejara;8,39606430259158;15.206.469,34;
Taubaté;3,16986301369863;334.830.000,00;
Teresina;7,067523441675238;362.403.712,69;
Timbó;8,11499914664663;20.486.762,66;
