Relatório de Composição de Garantias
Data de Emissão: 13/01/2022 08:08
Tipo de Dívida: Interna - Externa
Selecionar mutuário(s) por: Não Informado
Credor(es): Não Informado
Selecionar operação de crédito por: Não Informado
Tipo de Cálculo: Apropriação
Posição: Estatístico
Data de Referência: 31/12/2021
Tipo de Composição: Tipo de Mutuário

Agrupador;Financeiro (R$);Percentual do Agrupador;Percentual da Garantia Total;
Sorocaba;68.635.631,851196884;0,2247077840836739%;0,022621361132505%;
Cariacica;62.169.164,05000019;0,2035370654457861%;0,020490102201288%;
Contagem;58.930.565,894135;0,1929341439673376%;0,0194227047508541%;
Ponta Porã;58.316.847,494408537;0,1909248770904347%;0,0192204315994395%;
Alagoinhas;56.153.781,194195;0,1838431642535684%;0,0185075146696913%;
Rio Branco;54.056.044,00000016;0,1769753338893141%;0,0178161293155963%;
São Caetano do Sul;51.392.547,07000015;0,1682552496282477%;0,0169382773267128%;
Jacareí;48.550.350,00;0,1589501148417934%;0,0160015282272129%;
Colatina;44.262.498,26952;0,144912017794411%;0,0145883112164317%;
Ouro Preto;43.749.999,99000013;0,1432341378123737%;0,0144193988257664%;
Aracati;42.184.858,67000013;0,1381099854106375%;0,0139035497533796%;
João Pessoa;41.853.750,00;0,1370259610705115%;0,0137944208855283%;
Muriaé;41.637.254,82000012;0,1363171724886851%;0,0137230670490715%;
Maringá;41.604.285,46881501;0,1362092333665751%;0,0137122008039544%;
Sete Lagoas;41.202.219,58159549;0,1348929005502821%;0,0135796854123343%;
Cachoeiro de Itapemirim;40.000.000,00000012;0,1309569260298176%;0,0131834503579998%;
Passo Fundo;36.792.714,41402;0,1204565194988251%;0,0121263731003324%;
Chapecó;35.674.286,731665;0,1167948732171286%;0,0117577547045989%;
Belford Roxo;35.322.466,50878;0,1156430408445249%;0,0116417995935153%;
Jaraguá do Sul;33.055.555,5800001;0,1082213486741146%;0,0108946569011258%;
Catanduva;32.965.687,65;0,1079271279775777%;0,0108650376662775%;
Vila Velha;32.063.320,80;0,1049728482568975%;0,0105676299519855%;
Maracanaú;30.692.750,00;0,1004857047850418%;0,0101159086493874%;
Suzano;28.641.963,64000009;0,0937715878438051%;0,0094399976450894%;
Ponta Grossa;28.169.773,91793;0,0922256749811758%;0,0092843704010777%;
Itapipoca;27.641.496,12000008;0,0904961340685082%;0,0091102572979716%;
Mogi das Cruzes;26.457.710,68000007;0,0866205115109768%;0,0087200978834025%;
Santa Maria;26.169.379,461375;0,0856765372592376%;0,0086250678757174%;
Boa Vista;25.463.691,34000008;0,0833661685814622%;0,008392482767808%;
Cachoeirinha;24.003.847,18365;0,0785867510015072%;0,0079113381936666%;
Barra do Piraí;23.494.274,52000007;0,0769184492609967%;0,007743390045791%;
Piraquara;23.032.342,10000007;0,0754061180170788%;0,0075911434675955%;
Pelotas;22.016.340,3896;0,0720798064962031%;0,0072562832647779%;
Eusébio;22.000.000,00000007;0,0720263093163997%;0,0072508976968999%;
Jandira;21.901.335,92000007;0,0717032907007407%;0,00721837937188%;
Timbó;20.484.364,969758187;0,06706423670281%;0,0067513652173489%;
Gaspar;20.000.000,00000006;0,0654784630149088%;0,0065917251789999%;
Ituiutaba;19.966.666,64000006;0,0653693321559127%;0,0065807389615793%;
Itatiaia;19.500.000,00000006;0,0638415014395361%;0,0064269320495249%;
Guarulhos;18.689.572,97207;0,061188225630806%;0,0061598264372375%;
Uberaba;18.542.230,751545;0,060705838523947%;0,0061112644659893%;
Camocim;17.441.332,76000005;0,0571015831028188%;0,0057484236154704%;
Votuporanga;16.666.666,64000005;0,0545653857584527%;0,0054931043070443%;
Bagé;15.772.793,226295;0,0516389128954879%;0,0051984959126464%;
Tapejara;15.204.426,844127966;0,0497781250388058%;0,005011170163035%;
Feira de Santana;15.000.000,00000004;0,0491088472611816%;0,0049437938842499%;
Tanguá;14.362.619,98000004;0,047022114057881%;0,0047337221879287%;
Gurupi;14.347.640,32600129;0,0469730718218643%;0,0047287850998068%;
Aquidauana;14.340.254,64548713;0,046948891671445%;0,0047263508809964%;
Nova Alvorada do Sul;14.087.183,603753682;0,0461203565291306%;0,0046429421431029%;
Pomerode;13.813.932,08000004;0,0452257520395371%;0,0045528821956365%;
Camboriú;13.703.412,6600000422;0,0448639199517922%;0,0045164565134574%;
Rio Grande;12.943.643,62558;0,0423764945207849%;0,0042660470797369%;
Mineiros;11.621.966,78440908;0,0380494261126713%;0,0038304405541145%;
Osório;11.395.197,75000003;0,0373070017210473%;0,0037557005964179%;
Panambi;10.351.598,00752763;0,033890336364055%;0,0034117444614552%;
Prudentópolis;10.037.385,47140869;0,0328616286678007%;0,0033081843271606%;
Araquari;9.987.135,679563009;0,032697114710957%;0,0032916226862532%;
Costa Rica;9.912.815,274414883;0,0324537954159698%;0,0032671277019568%;
Ponte Nova;8.955.659,200000027;0,0293201399850664%;0,0029516622121591%;
Carandaí;8.000.582,540000024;0,0261932923971558%;0,0026368820687793%;
Candeias;6.642.005,87000002;0,0217454167851801%;0,0021891138666172%;
