Relatório de Custo Médio de Garantias;;
Data de Emissão: 11/05/2022 09:16;;
Tipo de Dívida: Interna;;
Selecionar mutuário(s) por: Não Informado;;
Credor(es): Não Informado;;
Selecionar operação de crédito por: Não Informado;;
Tipo de Cálculo: Apropriação;;
Posição: Estatístico;;
Data de Referência: 30/04/2022;;
Tipo de Custo Médio: Tipo de Mutuário;;
;;
Agrupador;Custo Médio (% a.a.);Valor Financeiro Principal (R$)
Roca Sales;7,85%;2.208.216,97
Doutor Pedrinho;7,93%;2.207.365,23
Maratá;8,04%;2.077.940,91
Morro Grande;4,93%;2.002.003,09
Marau;2,66%;2.000.000,00
Serafina Corrêa;4,77%;1.983.093,50
Passos Maia;5,84%;1.973.095,78
Antônio Prado;2,10%;1.900.000,00
Vale Real;5,74%;1.835.554,46
Bom Jesus;5,14%;1.829.349,01
Pinheiro Preto;7,99%;1.714.145,14
Crucilândia;8,01%;1.676.781,70
Rio Paranaíba;7,86%;1.648.332,62
Salvador do Sul;4,83%;1.590.103,75
Paty do Alferes;8,16%;1.361.111,10
Monte Castelo;7,63%;1.225.879,28
Entre Rios;5,06%;1.010.158,00
Relvado;0,56%;1.000.000,00
Virmond;3,83%;1.000.000,00
Campinas das Missões;4,87%;980.899,52
Paranavaí;7,73%;912.110,51
Santa Helena;7,95%;891.783,76
Tio Hugo;4,91%;802.986,44
Guarujá do Sul;4,09%;662.863,28
Veranópolis;3,43%;637.832,89
Rio do Campo;7,88%;470.629,65
Sidrolândia;2,36%;417.285,23
Jundiaí;0,95%;384.979,63
Barra do Guarita;0,81%;200.000,00
Bancos Federais;5,76%;3.647.900.106,20
CAIXA;5,74%;3.581.858.168,81
Banco do Brasil;6,44%;66.041.937,39
Estatais Federais;6,73%;3.490.699.840,91
ELETRONUCLEAR;6,50%;2.966.039.840,26
ELETROBRÁS;8,02%;524.660.000,65
