Relatório de Composição de Garantias;;;
Data de Emissão: 11/05/2022 08:53;;;
Tipo de Dívida: Interna - Externa;;;
Selecionar mutuário(s) por: Não Informado;;;
Credor(es): Não Informado;;;
Selecionar operação de crédito por: Não Informado;;;
Tipo de Cálculo: Apropriação;;;
Posição: Estatístico;;;
Data de Referência: 30/04/2022;;;
Tipo de Composição: Tipo de Mutuário;;;
;;;
Agrupador;Financeiro (R$);Percentual do Agrupador;Percentual da Garantia Total
Ituiutaba;19.059.090,88;0,07%;0,01%
Itatiaia;18.500.000,00;0,07%;0,01%
Barra do Piraí;17.770.205,56;0,06%;0,01%
Camocim;16.757.358,92;0,06%;0,01%
Guarulhos;16.474.487,66;0,06%;0,01%
Votuporanga;15.714.285,68;0,06%;0,01%
Pelotas;15.511.323,60;0,06%;0,01%
Osório;15.450.861,98;0,06%;0,01%
Tapejara;14.952.082,45;0,05%;0,01%
Feira de Santana;14.375.000,00;0,05%;0,01%
Camboriú;14.268.527,84;0,05%;0,01%
Aquidauana;14.231.357,79;0,05%;0,01%
Tanguá;14.223.977,51;0,05%;0,01%
Gurupi;14.216.754,39;0,05%;0,01%
Nova Alvorada do Sul;13.974.620,61;0,05%;0,01%
Pomerode;13.186.026,08;0,05%;0,00%
Uberaba;13.063.096,19;0,05%;0,00%
Bagé;12.836.376,40;0,05%;0,00%
Mineiros;11.531.092,35;0,04%;0,00%
Panambi;10.628.571,02;0,04%;0,00%
Araquari;10.541.889,42;0,04%;0,00%
Ponte Nova;10.232.046,92;0,04%;0,00%
Costa Rica;10.187.548,47;0,04%;0,00%
Rio Grande;10.143.929,10;0,04%;0,00%
Prudentópolis;9.961.824,09;0,04%;0,00%
Carandaí;7.701.302,19;0,03%;0,00%
Porto Nacional;7.289.719,62;0,03%;0,00%
Castro;6.387.839,29;0,02%;0,00%
Pojuca;6.188.442,67;0,02%;0,00%
Jaguaré;6.091.836,27;0,02%;0,00%
Santa Rosa;6.083.333,37;0,02%;0,00%
Caarapó;5.857.544,53;0,02%;0,00%
São Sebastião do Caí;5.725.443,06;0,02%;0,00%
Capinzal;5.510.061,33;0,02%;0,00%
Uruguaiana;5.328.145,35;0,02%;0,00%
Ivinhema;5.197.330,22;0,02%;0,00%
Ubaíra;5.011.655,92;0,02%;0,00%
Não-Me-Toque;5.000.000,00;0,02%;0,00%
Fortim;5.000.000,00;0,02%;0,00%
Goioerê;4.683.160,29;0,02%;0,00%
Paraíso das Águas;4.679.557,29;0,02%;0,00%
Candeias;4.618.330,12;0,02%;0,00%
Morro da Fumaça;4.583.374,66;0,02%;0,00%
