Relatório de Atm Garantias;;
Data de Emissão: 11/05/2022 09:56;;
Tipo de Dívida: Interna;;
Selecionar mutuário(s) por: Não Informado;;
Credor(es): Não Informado;;
Selecionar operação de crédito por: Não Informado;;
Posição: Estatística;;
Mês de Referência: 04/2022;;
Base de Cálculo: Valor Desembolsado/Tranches Efetivas;;
Tipo de Cálculo: Valor Corrente;;
Tipo Atm: Tipo de Mutuário;;
;;
Agrupador;ATM (anos);Valor Financeiro Principal (R$)
Passos Maia;10,71793775;1.973.978,54
Paty do Alferes;4,072826115;1.361.111,10
Pinhalzinho;4,119401634;4.083.333,30
Pinheiro Preto;4,006164149;1.714.145,14
Piraquara;3,639508097;22.030.935,94
Piripiri;4,15616428;4.574.963,83
Pojuca;3,636057314;6.188.442,67
Pomerode;3,508251811;13.186.026,08
Ponta Porã;10,05389075;22.819.426,71
Ponte Nova;3,519742179;10.232.046,92
Ponte Serrada;4,051439571;2.723.494,27
Porto Alegre;1,089886604;91.455.279,98
Porto Nacional;4,320284433;7.289.719,62
Prudentópolis;10,8940999;9.966.270,47
Relvado;4,990030131;1.000.000,00
Ribeirão Preto;8,426855378;191.589.735,62
Rio Branco;3,684830743;51.600.114,00
Rio Paranaíba;3,64224806;1.648.332,62
Rio de Janeiro;3,246566642;1.831.720.192,40
Rio do Campo;4,061320015;470.629,65
Roca Sales;3,967036649;2.208.216,97
Salvador;4,211718426;81.661.542,96
Salvador do Sul;11,07482593;1.590.814,34
Santa Helena;4,050359576;891.783,76
Santa Rosa;3,044173422;6.083.333,37
Santa Vitória;10,46620608;4.203.247,15
Santo André;3,675000007;18.360.252,28
Schroeder;10,78397164;4.269.414,05
Serafina Corrêa;11,22390087;1.983.980,74
Serra;2,416013226;100.690.679,92
Sete Lagoas;7,976328663;41.004.256,23
Sidrolândia;11,5684326;417.471,92
Sonora;10,51938088;2.806.108,55
Sorocaba;10,13450608;24.815.729,51
Suzano;4,163885412;27.529.654,36
São Bento do Sul;5,145814491;3.250.000,00
São Bernardo do Campo;4,044937155;287.229.023,74
São Caetano do Sul;4,072826396;49.377.153,07
São Gabriel do Oeste;10,84585532;4.056.784,52
São Paulo;2,758417979;548.031.718,57
São Sebastião do Caí;6,075707875;5.726.213,96
Tanguá;3,680728491;14.223.977,51
Tapejara;8,269407744;14.956.413,64
Teresina;3,831571535;110.679.332,99
Timbó;8,112926348;21.016.715,08
Tio Hugo;10,83327106;803.345,70
Toledo;4,142602818;6.449.116,27
Ubaíra;3,491976542;5.011.655,92
