Relatório de Atm Garantias
Data de Emissão: 13/01/2022 08:03
Tipo de Dívida: Interna
Selecionar mutuário(s) por: Não Informado
Credor(es): Não Informado
Selecionar operação de crédito por: Não Informado
Posição: Estatística
Mês de Referência: 12/2021
Base de Cálculo: Valor Desembolsado/Tranches Efetivas
Tipo de Cálculo: Valor Corrente
Tipo Atm: Tipo de Mutuário

Agrupador;ATM (anos);Valor Financeiro Principal (R$);
Ponte Serrada;4,171734869247802;2.808.202,32;
Porto Alegre;1,249621699643003;98.533.655,58;
Prudentópolis;11,11571323977624;10.039.497,29;
Ribeirão Preto;8,468874224960948;177.477.027,40;
Rio Branco;3,838361828673818;54.056.044,00;
Rio Paranaíba;3,80419691446552;9.599,74;
Rio de Janeiro;3,383150311634828;1.871.939.331,01;
Rio do Campo;4,223329381442228;490.037,05;
Roca Sales;4,129071415542022;2.301.194,53;
Salvador;4,373672527184962;55.085.156,39;
Salvador do Sul;11,29717509445223;1.597.888,91;
Santa Helena;4,212396009258263;928.558,36;
Santa Rosa;3,206119943920816;6.416.666,69;
Santa Vitória;10,69398329278412;1.300.750,65;
Santo André;3,837045867839203;19.194.809,20;
Schroeder;11,00509710043326;4.301.407,87;
Serafina Corrêa;11,44483358122814;1.915.710,49;
Serra;2,578038001542215;107.634.864,76;
Sete Lagoas;8,184355782735626;41.210.907,59;
Sidrolândia;11,79245649458654;7.264,44;
Sonora;10,73831012988767;2.698.614,16;
Sorocaba;10,39489742905264;19.747.121,63;
Suzano;4,325947580784299;28.641.963,64;
São Bernardo do Campo;4,206890002692005;299.073.519,58;
São Caetano do Sul;4,234864361641761;51.392.547,07;
São Gabriel do Oeste;11,06722666876418;3.250.915,71;
São Paulo;2,916054979569158;582.189.554,03;
São Sebastião do Caí;11,6942779329901;1.735.759,92;
Tanguá;3,842674219366112;14.362.619,98;
Tapejara;8,39606430259158;15.206.469,34;
Teresina;3,923838080319635;100.165.042,34;
Timbó;8,11499914664663;20.486.762,66;
Tio Hugo;11,05440718749683;801.981,51;
Toledo;4,304557397263079;6.823.280,41;
Ubaíra;3,653953947900807;5.250.306,20;
Vale Real;10,99508890184446;1.850.272,45;
Vargeão;4,304003155556248;2.292.358,71;
Veranópolis;11,66295490546223;221.042,83;
Virmond;5,488330486438356;1.000.000,00;
Viçosa;3,720791561774125;3.907.470,02;
Votuporanga;2,944422684972994;16.666.666,64;
Água Doce;4,088390684067997;4.583.333,30;
Bancos Federais;4,735271648912462;4.122.613.894,71;
Banco do Brasil;1,249621700107109;76.211.608,87;
CAIXA;4,800921817084247;4.046.402.285,84;
Estatais Federais;7,572536993192474;3.885.816.088,81;
ELETROBRÁS;0,45766394110341;885.540.000,62;
ELETRONUCLEAR;9,672511962749068;3.000.276.088,19;
