;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa
Agrupador;Total (R$);Total (%);IPCA (R$);IPCA (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Cambial (R$);Cambial (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);220 - USD (R$);220 - USD (%);IPCA (R$);IPCA (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);USD (R$);USD (%);EUR (R$);EUR (%);JPY (R$);JPY (%);Demais (R$);Demais (%)
Goiás;9.027.618.584,29;3,53%;0;0,00%;0;0,00%;4.685.211.808,94;1,83%;0;0,00%;2.286.596.373,56;0,89%;2.055.810.401,79;0,80%;8.986.467.264,77;7,94%;2.245.445.054,04;1,98%;0;0,00%;0;0,00%;4.685.211.808,94;4,14%;0;0,00%;2.055.810.401,79;1,82%;41.151.319,52;0,03%;41.151.319,52;0,03%;0;0,00%;0;0,00%;0;0,00%
Ceará;8.520.396.955,39;3,33%;0;0,00%;0;0,00%;1.302.069.001,17;0,51%;358.566.447,33;0,14%;5.709.761.506,89;2,23%;1.150.000.000,00;0,45%;2.919.506.979,73;2,58%;108.871.531,23;0,10%;0;0,00%;0;0,00%;1.302.069.001,17;1,15%;358.566.447,33;0,32%;1.150.000.000,00;1,02%;5.600.889.975,66;3,93%;5.469.683.359,34;3,84%;34.153.618,08;0,02%;1.415.308,21;0,00%;95.637.690,03;0,07%
Amazonas;5.330.442.791,92;2,08%;0;0,00%;0;0,00%;447.637.126,55;0,18%;0;0,00%;3.706.544.699,59;1,45%;1.176.260.965,78;0,46%;1.623.898.092,33;1,43%;0;0,00%;0;0,00%;0;0,00%;447.637.126,55;0,40%;0;0,00%;1.176.260.965,78;1,04%;3.706.544.699,59;2,60%;3.706.544.699,59;2,60%;0;0,00%;0;0,00%;0;0,00%
Maranhão;4.909.209.051,33;1,92%;0;0,00%;0;0,00%;2.901.876.723,32;1,13%;0;0,00%;1.664.719.865,92;0,65%;342.612.462,09;0,13%;3.244.489.185,41;2,87%;0;0,00%;0;0,00%;0;0,00%;2.901.876.723,32;2,56%;0;0,00%;342.612.462,09;0,30%;1.664.719.865,92;1,17%;1.664.719.865,92;1,17%;0;0,00%;0;0,00%;0;0,00%
Espírito Santo;4.843.088.727,67;1,89%;0;0,00%;0;0,00%;2.842.676.747,86;1,11%;848.009.428,20;0,33%;1.152.402.551,61;0,45%;0;0,00%;3.690.686.176,06;3,26%;0;0,00%;0;0,00%;0;0,00%;2.842.676.747,86;2,51%;848.009.428,20;0,75%;0;0,00%;1.152.402.551,61;0,81%;1.152.402.551,61;0,81%;0;0,00%;0;0,00%;0;0,00%
Piauí;3.969.255.331,86;1,55%;0;0,00%;0;0,00%;551.985.424,41;0,22%;0;0,00%;3.111.019.907,46;1,22%;306.249.999,99;0,12%;1.612.702.458,44;1,42%;754.467.034,04;0,67%;0;0,00%;0;0,00%;551.985.424,41;0,49%;0;0,00%;306.249.999,99;0,27%;2.356.552.873,42;1,65%;2.307.595.655,25;1,62%;0;0,00%;0;0,00%;48.957.218,17;0,03%
Mato Grosso;3.028.279.765,37;1,18%;0;0,00%;0;0,00%;1.441.336.829,67;0,56%;0;0,00%;1.036.123.025,38;0,41%;550.819.910,32;0,22%;1.992.156.739,99;1,76%;0;0,00%;0;0,00%;0;0,00%;1.441.336.829,67;1,27%;0;0,00%;550.819.910,32;0,49%;1.036.123.025,38;0,73%;1.036.123.025,38;0,73%;0;0,00%;0;0,00%;0;0,00%
Paraná;2.882.789.732,68;1,13%;0;0,00%;0;0,00%;941.850.840,11;0,37%;0;0,00%;1.940.938.892,57;0,76%;0;0,00%;941.850.840,11;0,83%;0;0,00%;0;0,00%;0;0,00%;941.850.840,11;0,83%;0;0,00%;0;0,00%;1.940.938.892,57;1,36%;1.759.598.712,54;1,23%;0;0,00%;181.340.180,03;0,13%;0;0,00%
Acre;2.486.795.390,10;0,97%;0;0,00%;0;0,00%;623.660.614,46;0,24%;0;0,00%;1.863.134.775,64;0,73%;0;0,00%;623.660.614,46;0,55%;0;0,00%;0;0,00%;0;0,00%;623.660.614,46;0,55%;0;0,00%;0;0,00%;1.863.134.775,64;1,31%;1.863.134.775,64;1,31%;0;0,00%;0;0,00%;0;0,00%
Alagoas;2.451.224.113,94;0,96%;0;0,00%;0;0,00%;596.641.291,94;0,23%;0;0,00%;1.634.582.822,00;0,64%;220.000.000,00;0,09%;817.705.073,31;0,72%;1.063.781,37;0,00%;0;0,00%;0;0,00%;596.641.291,94;0,53%;0;0,00%;220.000.000,00;0,19%;1.633.519.040,63;1,15%;1.633.519.040,63;1,15%;0;0,00%;0;0,00%;0;0,00%
