Relatório de Estoque de Garantias;;;;;;;;;;;;;;;;;;;;;;;;;
Data de Emissão: 21/05/2019 15:59;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Dívida: Interna - Externa;;;;;;;;;;;;;;;;;;;;;;;;;
Selecionar mutuário(s) por: Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Credor(es): Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Selecionar operação de crédito por: Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Cálculo: Apropriação;;;;;;;;;;;;;;;;;;;;;;;;;
Posição: Estatístico;;;;;;;;;;;;;;;;;;;;;;;;;
Data de Referência: 30/04/2019;;;;;;;;;;;;;;;;;;;;;;;;;
Detalhamento: Por tranche;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Nome do Contrato;CADIP/ROF;Inscrição Genérica;Tipo de Dívida;Mutuário;Tipo Mutuário;UF;Região;Agrupador de Tipo Mutuário;CAPAG;Credor;Classificação de Credor;Contragarantia;Moeda;Indexador;Tipo de Indexador de Juros;Indexador de Juros;Saldo Principal (Moeda de Origem);Saldo Juros (Moeda de Origem);Saldo Estoque (Moeda de Origem);Saldo Principal (USD);Saldo Juros (USD);Saldo Estoque (USD);Saldo Principal (BRL);Saldo Juros (BRL);Saldo Estoque (BRL)
AFD CBR 1045;TA612684;12241;Externa;CEEE-D-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,02%;21.335.163,83;76.237,65;21.411.401,48;21.335.163,83;76.237,65;21.411.401,48;84.173.621,86;300.780,40;84.474.402,26
AFD CBR 1045;TA612684;12241;Externa;CEEE-D-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,81%;11.748.035,58;50.229,38;11.798.264,96;11.748.035,58;50.229,38;11.798.264,96;46.349.524,77;198.169,97;46.547.694,75
AFD CBR 1045;TA612684;12241;Externa;CEEE-D-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,70%;12.739.330,92;53.222,09;12.792.553,01;12.739.330,92;53.222,09;12.792.553,01;50.260.482,28;209.977,11;50.470.459,39
AFD CBR 1045;TA612684;12241;Externa;CEEE-D-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,25%;7.504.566,10;28.350,58;7.532.916,68;7.504.566,10;28.350,58;7.532.916,68;29.607.764,63;111.851,54;29.719.616,18
AFD CBR 1046;AFD10460;12247;Externa;Minas Gerais;Estados;MG;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;3,21%;280.000.000,00;3.695.066,67;283.695.066,67;313.684.000,00;4.139.583,19;317.823.583,19;1.237.577.485,20;16.331.897,56;1.253.909.382,76
AFD CBR 1049;AFD01049;12251;Externa;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;2,38%;50.000.000,00;49.583,33;50.049.583,33;56.015.000,00;55.548,20;56.070.548,20;220.995.979,50;219.154,33;221.215.133,83
AFD CBR 1049;AFD01049;12251;Externa;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;2,27%;30.000.000,00;28.375,00;30.028.375,00;33.609.000,00;31.788,51;33.640.788,51;132.597.587,70;125.415,22;132.723.002,92
AFD CBR 1049;AFD01049;12251;Externa;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;2,31%;20.000.000,00;19.250,00;20.019.250,00;22.406.000,00;21.565,78;22.427.565,78;88.398.391,80;85.083,45;88.483.475,25
AFD CBR 1049;AFD01049;12251;Externa;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;3,10%;100.000.000,00;129.166,67;100.129.166,67;112.030.000,00;144.705,42;112.174.705,42;441.991.959,00;570.906,30;442.562.865,30
AFD CBR 1049;AFD01049;12251;Externa;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;2,60%;100.000.000,00;108.333,33;100.108.333,33;112.030.000,00;121.365,83;112.151.365,83;441.991.959,00;478.824,61;442.470.783,61
AFD CBR 3005;AFD30005;12231;Externa;Curitiba;Municípios;PR;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;1,06%;30.125.000,00;0;30.125.000,00;33.749.037,50;0;33.749.037,50;133.150.077,65;0;133.150.077,65
BANK OF AMERICA-MA/2013;BOFAMA13;12203;Externa;Maranhão;Estados;MA;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;C;BOFA;Credores Privados;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;USD;;Pré-fixado;5,48%;408.392.617,59;6.026.842,71;414.419.460,30;408.392.617,59;6.026.842,71;414.419.460,30;1.611.231.394,18;23.777.702,54;1.635.009.096,72
BANK OF AMERICA-MT/2012;TA621756;12204;Externa;Mato Grosso;Estados;MT;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;C;BOFA;Credores Privados;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;USD;;Pré-fixado;5%;248.883.036,22;1.728.354,42;250.611.390,64;248.883.036,22;1.728.354,42;250.611.390,64;981.918.242,80;6.818.876,69;988.737.119,49
BANK OF AMERICA-SC/2012;SClinha1;12202;Externa;Santa Catarina;Estados;SC;Sul;Garantias a Estados, Municípios e Entidades Controladas;C;BOFA;Credores Privados;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;USD;;Pré-fixado;4%;413.318.188,00;5.648.681,90;418.966.869,90;413.318.188,00;5.648.681,90;418.966.869,90;1.630.664.247,12;22.285.744,70;1.652.949.991,82
BB - 2012735;2012000998;12465;Interna;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 3,85%;5.570.446.537,65;139.237.041,19;5.709.683.578,84;1.411.919.635,43;35.291.876,71;1.447.211.512,14;5.570.446.537,65;139.237.041,19;5.709.683.578,84
BB - 2012769;2012001828;12464;Interna;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;742.132.939,05;2.124.663,50;744.257.602,55;188.105.578,55;538.530,28;188.644.108,83;742.132.939,05;2.124.663,50;744.257.602,55
BB - 2012772;2018000203;12468;Interna;Acre;Estados;AC;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;60.130.315,29;344.847,36;60.475.162,65;15.240.999,49;87.407,13;15.328.406,62;60.130.315,29;344.847,36;60.475.162,65
BB - 2012784;2012001845;12448;Interna;Tocantins;Estados;TO;Norte;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;439.251.043,26;1.257.538,41;440.508.581,67;111.335.270,64;318.743,42;111.654.014,06;439.251.043,26;1.257.538,41;440.508.581,67
BB - 2012786;2018000204;12471;Interna;Rio Grande do Sul;Estados;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;D;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;683.328.309,49;3.918.887,82;687.247.197,31;173.200.595,52;993.305,41;174.193.900,92;683.328.309,49;3.918.887,82;687.247.197,31
BB - 2012790;2013000008;12463;Interna;Minas Gerais;Estados;MG;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 3,6%;6.096.753.816,31;143.584.576,86;6.240.338.393,17;1.545.320.714,85;36.393.829,84;1.581.714.544,69;6.096.753.816,31;143.584.576,86;6.240.338.393,17
BB - 2012796;2018000199;12441;Interna;Ceará;Estados;CE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;732.339.202,92;4.199.965,28;736.539.168,20;185.623.197,96;1.064.549,03;186.687.746,99;732.339.202,92;4.199.965,28;736.539.168,20
BB - 2012800;2013000009;12440;Interna;Amazonas;Estados;AM;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;431.322.680,85;1.234.840,19;432.557.521,04;109.325.699,15;312.990,19;109.638.689,34;431.322.680,85;1.234.840,19;432.557.521,04
BB - 2012802;2013000010;12437;Interna;Mato Grosso;Estados;MT;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 3,8%;202.884.905,92;792.070,44;203.676.976,36;51.424.455,91;200.763,04;51.625.218,96;202.884.905,92;792.070,44;203.676.976,36
BB - 2012802;2013000012;12437;Interna;Mato Grosso;Estados;MT;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 3,8%;289.899.190,62;1.131.777,54;291.030.968,16;73.479.631,62;286.867,30;73.766.498,91;289.899.190,62;1.131.777,54;291.030.968,16
BB - 2012802;2013000011;12437;Interna;Mato Grosso;Estados;MT;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 3,8%;307.101.234,74;1.198.934,98;308.300.169,72;77.839.767,51;303.889,43;78.143.656,94;307.101.234,74;1.198.934,98;308.300.169,72
